,CWCO
1995-01-25,1.71875
1995-01-26,1.71875
1995-01-27,1.71875
1995-01-30,1.71875
1995-01-31,1.71875
1995-02-01,1.75
1995-02-02,1.75
1995-02-03,1.75
1995-02-06,1.75
1995-02-07,1.75
1995-02-08,1.75
1995-02-09,1.75
1995-02-10,1.75
1995-02-13,1.75
1995-02-14,1.75
1995-02-15,1.75
1995-02-16,1.75
1995-02-17,1.75
1995-02-21,1.75
1995-02-22,1.75
1995-02-23,1.75
1995-02-24,1.75
1995-02-27,1.75
1995-02-28,1.75
1995-03-01,1.75
1995-03-02,1.75
1995-03-03,1.71875
1995-03-06,1.71875
1995-03-07,1.71875
1995-03-08,1.71875
1995-03-09,1.71875
1995-03-10,1.71875
1995-03-13,1.71875
1995-03-14,1.71875
1995-03-15,1.71875
1995-03-16,1.71875
1995-03-17,1.71875
1995-03-20,1.71875
1995-03-21,1.71875
1995-03-22,1.71875
1995-03-23,1.71875
1995-03-24,1.71875
1995-03-27,1.84375
1995-03-28,1.84375
1995-03-29,1.84375
1995-03-30,1.84375
1995-03-31,1.84375
1995-04-03,1.84375
1995-04-04,1.84375
1995-04-05,1.84375
1995-04-06,1.84375
1995-04-07,1.84375
1995-04-10,1.84375
1995-04-11,1.84375
1995-04-12,1.84375
1995-04-13,1.84375
1995-04-17,1.84375
1995-04-18,1.84375
1995-04-19,1.84375
1995-04-20,1.84375
1995-04-21,1.84375
1995-04-24,1.84375
1995-04-25,2.0
1995-04-26,2.0
1995-04-27,2.0
1995-04-28,2.0
1995-05-01,2.0
1995-05-02,2.0
1995-05-03,2.0
1995-05-04,2.0
1995-05-05,2.15625
1995-05-08,2.15625
1995-05-09,2.15625
1995-05-10,2.15625
1995-05-11,2.15625
1995-05-12,2.15625
1995-05-15,2.15625
1995-05-16,2.15625
1995-05-17,2.15625
1995-05-18,2.15625
1995-05-19,2.15625
1995-05-22,2.15625
1995-05-23,2.15625
1995-05-24,2.15625
1995-05-25,2.15625
1995-05-26,2.15625
1995-05-30,2.15625
1995-05-31,2.15625
1995-06-01,2.03125
1995-06-02,2.03125
1995-06-05,2.03125
1995-06-06,2.03125
1995-06-07,2.03125
1995-06-08,2.03125
1995-06-09,2.03125
1995-06-12,2.03125
1995-06-13,2.03125
1995-06-14,2.03125
1995-06-15,2.03125
1995-06-16,2.03125
1995-06-19,2.0
1995-06-20,2.0
1995-06-21,2.0
1995-06-22,2.0
1995-06-23,2.0
1995-06-26,2.0
1995-06-27,2.0
1995-06-28,2.0
1995-06-29,2.0
1995-06-30,2.0
1995-07-03,2.0
1995-07-05,2.0
1995-07-06,2.0
1995-07-07,2.0
1995-07-10,2.0
1995-07-11,2.0
1995-07-12,2.0
1995-07-13,2.0
1995-07-14,2.0
1995-07-17,2.0
1995-07-18,1.75
1995-07-19,1.75
1995-07-20,1.75
1995-07-21,1.75
1995-07-24,1.75
1995-07-25,1.75
1995-07-26,1.75
1995-07-27,1.75
1995-07-28,1.75
1995-07-31,1.75
1995-08-01,1.75
1995-08-02,1.75
1995-08-03,1.75
1995-08-04,1.75
1995-08-07,1.75
1995-08-08,1.75
1995-08-09,1.75
1995-08-10,1.75
1995-08-11,1.75
1995-08-14,1.75
1995-08-15,1.75
1995-08-16,1.875
1995-08-17,1.875
1995-08-18,1.875
1995-08-21,1.875
1995-08-22,1.75
1995-08-23,1.75
1995-08-24,1.75
1995-08-25,1.75
1995-08-28,1.75
1995-08-29,1.75
1995-08-30,1.75
1995-08-31,1.75
1995-09-01,1.75
1995-09-05,1.875
1995-09-06,1.90625
1995-09-07,2.0
1995-09-08,2.0
1995-09-11,2.0
1995-09-12,2.0
1995-09-13,2.0
1995-09-14,2.0
1995-09-15,2.0
1995-09-18,2.0625
1995-09-19,2.0625
1995-09-20,2.140625
1995-09-21,2.125
1995-09-22,2.5
1995-09-25,2.125
1995-09-26,2.125
1995-09-27,2.25
1995-09-28,2.4375
1995-09-29,2.4375
1995-10-02,2.25
1995-10-03,2.25
1995-10-04,2.25
1995-10-05,2.25
1995-10-06,2.4375
1995-10-09,2.4375
1995-10-10,2.125
1995-10-11,2.125
1995-10-12,2.125
1995-10-13,2.25
1995-10-16,2.1875
1995-10-17,2.1875
1995-10-18,2.1875
1995-10-19,2.25
1995-10-20,2.1875
1995-10-23,2.1875
1995-10-24,2.1875
1995-10-25,2.1875
1995-10-26,2.25
1995-10-27,2.25
1995-10-30,2.25
1995-10-31,2.5
1995-11-01,2.5
1995-11-02,2.5
1995-11-03,2.5
1995-11-06,2.25
1995-11-07,2.25
1995-11-08,2.375
1995-11-09,2.375
1995-11-10,2.375
1995-11-13,2.4375
1995-11-14,2.5
1995-11-15,2.5
1995-11-16,2.5
1995-11-17,2.5
1995-11-20,2.5
1995-11-21,2.5
1995-11-22,2.53125
1995-11-24,2.5625
1995-11-27,2.5
1995-11-28,2.5
1995-11-29,2.5
1995-11-30,2.5
1995-12-01,2.5
1995-12-04,2.5
1995-12-05,2.5
1995-12-06,2.5
1995-12-07,2.625
1995-12-08,2.625
1995-12-11,2.5625
1995-12-12,2.5625
1995-12-13,2.5625
1995-12-14,2.5625
1995-12-15,2.5
1995-12-18,2.5
1995-12-19,2.5
1995-12-20,2.5
1995-12-21,2.53125
1995-12-22,2.53125
1995-12-26,2.53125
1995-12-27,2.5625
1995-12-28,2.5625
1995-12-29,2.5
1996-01-02,2.5
1996-01-03,2.53125
1996-01-04,2.5
1996-01-05,2.5
