,CMTL
1980-03-17,6.851851940155029
1980-03-18,6.481481075286865
1980-03-19,6.481481075286865
1980-03-20,5.925926208496094
1980-03-21,5.740740776062012
1980-03-24,5.740740776062012
1980-03-25,5.555555820465088
1980-03-26,5.185184955596924
1980-03-27,4.444444179534912
1980-03-28,4.814815044403076
1980-03-31,4.444444179534912
1980-04-01,4.259259223937988
1980-04-02,4.444444179534912
1980-04-03,4.629630088806152
1980-04-07,4.444444179534912
1980-04-08,4.444444179534912
1980-04-09,4.444444179534912
1980-04-10,5.0
1980-04-11,5.740740776062012
1980-04-14,5.925926208496094
1980-04-15,5.925926208496094
1980-04-16,5.555555820465088
1980-04-17,5.555555820465088
1980-04-18,5.740740776062012
1980-04-21,5.370369911193848
1980-04-22,5.555555820465088
1980-04-23,5.370369911193848
1980-04-24,5.370369911193848
1980-04-25,4.814815044403076
1980-04-28,4.814815044403076
1980-04-29,4.814815044403076
1980-04-30,4.814815044403076
1980-05-01,4.629630088806152
1980-05-02,4.444444179534912
1980-05-05,5.0
1980-05-06,5.370369911193848
1980-05-07,5.555555820465088
1980-05-08,5.555555820465088
1980-05-09,5.555555820465088
1980-05-12,5.555555820465088
1980-05-13,5.555555820465088
1980-05-14,5.555555820465088
1980-05-15,5.555555820465088
1980-05-16,5.555555820465088
1980-05-19,5.555555820465088
1980-05-20,5.555555820465088
1980-05-21,5.185184955596924
1980-05-22,5.185184955596924
1980-05-23,5.185184955596924
1980-05-27,5.0
1980-05-28,5.0
1980-05-29,4.814815044403076
1980-05-30,5.925926208496094
1980-06-02,5.925926208496094
1980-06-03,5.925926208496094
1980-06-04,5.740740776062012
1980-06-05,5.740740776062012
1980-06-06,5.555555820465088
1980-06-09,5.370369911193848
1980-06-10,5.185184955596924
1980-06-11,5.185184955596924
1980-06-12,4.814815044403076
1980-06-13,4.814815044403076
1980-06-16,4.814815044403076
1980-06-17,4.814815044403076
1980-06-18,4.259259223937988
1980-06-19,4.259259223937988
1980-06-20,4.259259223937988
1980-06-23,4.259259223937988
1980-06-24,4.259259223937988
1980-06-25,4.259259223937988
1980-06-26,4.444444179534912
1980-06-27,4.444444179534912
1980-06-30,4.444444179534912
1980-07-01,4.444444179534912
1980-07-02,4.444444179534912
1980-07-03,4.444444179534912
1980-07-07,4.629630088806152
1980-07-08,4.444444179534912
1980-07-09,4.444444179534912
1980-07-10,4.629630088806152
1980-07-11,4.814815044403076
1980-07-14,5.185184955596924
1980-07-15,5.370369911193848
1980-07-16,5.370369911193848
1980-07-17,5.740740776062012
1980-07-18,5.925926208496094
1980-07-21,5.925926208496094
1980-07-22,5.740740776062012
1980-07-23,5.740740776062012
1980-07-24,5.740740776062012
1980-07-25,5.555555820465088
1980-07-28,5.555555820465088
