,FDNI
2018-11-09,18.90999984741211
2018-11-12,18.389999389648438
2018-11-13,18.770000457763672
2018-11-14,19.030000686645508
2018-11-15,19.43000030517578
2018-11-16,19.34000015258789
2018-11-19,18.850000381469727
2018-11-20,18.399999618530273
2018-11-21,18.81999969482422
2018-11-23,18.780000686645508
2018-11-26,19.40999984741211
2018-11-27,19.3700008392334
2018-11-28,19.780000686645508
2018-11-29,19.81999969482422
2018-11-30,19.81999969482422
2018-12-03,20.360000610351562
2018-12-04,19.670000076293945
2018-12-06,19.170000076293945
2018-12-07,19.139999389648438
2018-12-10,19.06999969482422
2018-12-11,19.280000686645508
2018-12-12,19.790000915527344
2018-12-13,19.510000228881836
2018-12-14,19.15999984741211
2018-12-17,18.610000610351562
2018-12-18,18.610000610351562
2018-12-19,18.610000610351562
2018-12-20,18.610000610351562
2018-12-21,17.729999542236328
2018-12-24,17.920000076293945
2018-12-26,17.93000030517578
2018-12-27,18.299999237060547
2018-12-28,18.299999237060547
2018-12-31,18.360000610351562
2019-01-02,18.360000610351562
2019-01-03,17.850000381469727
2019-01-04,18.829999923706055
2019-01-07,19.209999084472656
2019-01-08,19.139999389648438
2019-01-09,20.049999237060547
2019-01-10,19.670000076293945
2019-01-11,19.610000610351562
2019-01-14,19.239999771118164
2019-01-15,19.239999771118164
2019-01-16,19.770000457763672
2019-01-17,19.770000457763672
2019-01-18,20.299999237060547
2019-01-22,19.65999984741211
2019-01-23,19.6200008392334
2019-01-24,19.700000762939453
2019-01-25,20.290000915527344
2019-01-28,20.290000915527344
2019-01-29,20.049999237060547
2019-01-30,20.389999389648438
2019-01-31,20.649999618530273
2019-02-01,20.649999618530273
2019-02-04,20.649999618530273
2019-02-05,20.790000915527344
2019-02-06,20.799999237060547
2019-02-07,20.260000228881836
2019-02-08,20.260000228881836
2019-02-11,20.469999313354492
2019-02-12,20.469999313354492
2019-02-13,20.700000762939453
2019-02-14,20.700000762939453
2019-02-15,20.420000076293945
2019-02-19,20.420000076293945
2019-02-20,20.690000534057617
2019-02-21,20.489999771118164
2019-02-22,20.700000762939453
2019-02-25,20.700000762939453
2019-02-26,21.010000228881836
2019-02-27,21.280000686645508
2019-02-28,21.309999465942383
2019-03-01,21.309999465942383
2019-03-04,21.309999465942383
2019-03-05,21.920000076293945
2019-03-06,21.889999389648438
2019-03-07,21.6299991607666
2019-03-08,21.06999969482422
2019-03-11,21.06999969482422
2019-03-12,21.06999969482422
2019-03-13,21.739999771118164
2019-03-14,21.68000030517578
2019-03-15,21.84000015258789
2019-03-18,22.049999237060547
2019-03-19,22.09000015258789
2019-03-20,22.100000381469727
2019-03-21,22.1200008392334
2019-03-22,21.84000015258789
2019-03-25,21.690000534057617
2019-03-26,21.899999618530273
2019-03-27,21.75
2019-03-28,21.75
2019-03-29,22.1299991607666
2019-04-01,22.610000610351562
2019-04-02,22.520000457763672
2019-04-03,22.809999465942383
2019-04-04,22.729999542236328
2019-04-05,23.049999237060547
2019-04-08,23.0
2019-04-09,23.049999237060547
2019-04-10,23.020000457763672
2019-04-11,22.889999389648438
2019-04-12,23.25
2019-04-15,22.959999084472656
2019-04-16,23.059999465942383
2019-04-17,23.25
2019-04-18,22.940000534057617
2019-04-22,23.520000457763672
2019-04-23,23.149999618530273
2019-04-24,22.940000534057617
2019-04-25,22.829999923706055
2019-04-26,22.940000534057617
2019-04-29,23.110000610351562
2019-04-30,23.15999984741211
2019-05-01,23.309999465942383
2019-05-02,23.1200008392334
2019-05-03,23.65999984741211
2019-05-06,22.969999313354492
2019-05-07,22.920000076293945
2019-05-08,22.760000228881836
2019-05-09,22.139999389648438
2019-05-10,22.610000610351562
2019-05-13,22.100000381469727
2019-05-14,22.389999389648438
2019-05-15,22.520000457763672
2019-05-16,22.6299991607666
2019-05-17,21.889999389648438
2019-05-20,21.229999542236328
2019-05-21,21.469999313354492
2019-05-22,21.360000610351562
2019-05-23,20.799999237060547
2019-05-24,20.8799991607666
2019-05-28,20.93000030517578
2019-05-29,20.56999969482422
2019-05-30,20.6200008392334
2019-05-31,20.809999465942383
2019-06-03,20.809999465942383
2019-06-04,20.809999465942383
2019-06-05,20.809999465942383
2019-06-06,20.809999465942383
2019-06-07,21.09000015258789
2019-06-10,21.579999923706055
2019-06-11,21.81999969482422
2019-06-12,21.510000228881836
2019-06-13,21.510000228881836
2019-06-14,21.25
2019-06-17,21.190000534057617
2019-06-18,21.549999237060547
2019-06-19,21.690000534057617
2019-06-20,21.989999771118164
2019-06-21,21.989999771118164
