,XPP
2009-06-04,60.0
2009-06-05,61.220001220703125
2009-06-08,59.380001068115234
2009-06-09,58.459999084472656
2009-06-10,61.439998626708984
2009-06-11,64.95999908447266
2009-06-12,63.130001068115234
2009-06-15,58.63999938964844
2009-06-16,55.400001525878906
2009-06-17,55.75
2009-06-18,55.29999923706055
2009-06-19,55.630001068115234
2009-06-22,53.13999938964844
2009-06-23,52.18000030517578
2009-06-24,55.459999084472656
2009-06-25,58.41999816894531
2009-06-26,60.06999969482422
2009-06-29,60.97999954223633
2009-06-30,59.7599983215332
2009-07-01,60.88999938964844
2009-07-02,56.9900016784668
2009-07-06,59.220001220703125
2009-07-07,54.900001525878906
2009-07-08,54.16999816894531
2009-07-09,56.25
2009-07-10,54.9900016784668
2009-07-13,54.619998931884766
2009-07-14,56.63999938964844
2009-07-15,61.54999923706055
2009-07-16,60.79999923706055
2009-07-17,62.650001525878906
2009-07-20,67.5
2009-07-21,66.87000274658203
2009-07-22,65.9800033569336
2009-07-23,71.44999694824219
2009-07-24,72.1500015258789
2009-07-27,73.38999938964844
2009-07-28,73.9000015258789
2009-07-29,68.68000030517578
2009-07-30,71.0
2009-07-31,70.91999816894531
2009-08-03,76.29000091552734
2009-08-04,73.83999633789062
2009-08-05,70.33999633789062
2009-08-06,70.69999694824219
2009-08-07,70.36000061035156
2009-08-10,70.66000366210938
2009-08-11,68.91999816894531
2009-08-12,69.38999938964844
2009-08-13,70.0999984741211
2009-08-14,67.75
2009-08-17,61.43000030517578
2009-08-18,64.11000061035156
2009-08-19,64.33000183105469
2009-08-20,66.20999908447266
2009-08-21,66.7699966430664
2009-08-24,65.80999755859375
2009-08-25,65.86000061035156
2009-08-26,65.04000091552734
2009-08-27,65.23999786376953
2009-08-28,63.709999084472656
2009-08-31,62.09000015258789
2009-09-01,59.060001373291016
2009-09-02,60.2400016784668
2009-09-03,63.09000015258789
2009-09-04,67.55999755859375
2009-09-08,71.79000091552734
2009-09-09,71.18000030517578
2009-09-10,72.4800033569336
2009-09-11,71.94000244140625
2009-09-14,72.13999938964844
2009-09-15,71.91000366210938
2009-09-16,76.69999694824219
2009-09-17,75.9000015258789
2009-09-18,75.33999633789062
2009-09-21,73.05000305175781
2009-09-22,74.52999877929688
2009-09-23,71.66000366210938
2009-09-24,67.75
2009-09-25,68.05000305175781
2009-09-28,68.41999816894531
2009-09-29,68.44000244140625
2009-09-30,66.91999816894531
2009-10-01,62.849998474121094
2009-10-02,62.31999969482422
2009-10-05,65.29000091552734
2009-10-06,68.63999938964844
2009-10-07,70.30999755859375
2009-10-08,72.77999877929688
2009-10-09,73.26000213623047
2009-10-12,71.81999969482422
2009-10-13,72.79000091552734
2009-10-14,77.87999725341797
2009-10-15,77.58999633789062
2009-10-16,74.18000030517578
2009-10-19,78.5
2009-10-20,77.5999984741211
2009-10-21,76.5199966430664
2009-10-22,77.9000015258789
2009-10-23,78.22000122070312
2009-10-26,76.86000061035156
2009-10-27,76.45999908447266
2009-10-28,70.7300033569336
2009-10-29,73.88999938964844
2009-10-30,68.93000030517578
2009-11-02,72.16000366210938
2009-11-03,71.72000122070312
2009-11-04,74.16999816894531
2009-11-05,77.29000091552734
2009-11-06,77.04000091552734
2009-11-09,82.73999786376953
2009-11-10,81.38999938964844
2009-11-11,81.80000305175781
2009-11-12,78.63999938964844
2009-11-13,81.44000244140625
2009-11-16,85.0
2009-11-17,84.4800033569336
2009-11-18,82.44000244140625
2009-11-19,78.70999908447266
2009-11-20,78.5199966430664
2009-11-23,82.13999938964844
2009-11-24,80.19999694824219
2009-11-25,80.62000274658203
2009-11-27,73.5199966430664
2009-11-30,75.27999877929688
2009-12-01,79.30000305175781
2009-12-02,79.72000122070312
2009-12-03,78.69999694824219
2009-12-04,80.88999938964844
2009-12-07,78.66999816894531
2009-12-08,75.12000274658203
2009-12-09,74.7699966430664
2009-12-10,74.4800033569336
2009-12-11,74.75
2009-12-14,75.33000183105469
2009-12-15,73.7699966430664
2009-12-16,72.80999755859375
2009-12-17,68.87000274658203
2009-12-18,67.8499984741211
2009-12-21,68.16999816894531
2009-12-22,68.04000091552734
2009-12-23,69.91999816894531
2009-12-24,71.4000015258789
2009-12-28,70.73999786376953
2009-12-29,70.38999938964844
2009-12-30,70.37000274658203
2009-12-31,71.16999816894531
2010-01-04,74.13999938964844
2010-01-05,77.11000061035156
2010-01-06,78.93000030517578
2010-01-07,76.66999816894531
2010-01-08,77.12000274658203
2010-01-11,77.19000244140625
2010-01-12,73.69000244140625
2010-01-13,71.83000183105469
2010-01-14,70.52999877929688
2010-01-15,68.48999786376953
2010-01-19,72.66999816894531
2010-01-20,67.3499984741211
2010-01-21,62.22999954223633
2010-01-22,60.4900016784668
2010-01-25,62.400001525878906
2010-01-26,58.849998474121094
2010-01-27,58.15999984741211
2010-01-28,58.72999954223633
2010-01-29,58.31999969482422
2010-02-01,62.06999969482422
2010-02-02,62.75
2010-02-03,62.75
2010-02-04,56.900001525878906
2010-02-05,55.95000076293945
2010-02-08,54.56999969482422
2010-02-09,58.349998474121094
2010-02-10,58.939998626708984
2010-02-11,62.11000061035156
2010-02-12,59.79999923706055
2010-02-16,61.66999816894531
2010-02-17,62.209999084472656
2010-02-18,62.220001220703125
2010-02-19,60.099998474121094
2010-02-22,60.560001373291016
2010-02-23,58.810001373291016
2010-02-24,60.9900016784668
2010-02-25,60.099998474121094
2010-02-26,61.7400016784668
2010-03-01,65.05000305175781
2010-03-02,65.98999786376953
2010-03-03,65.61000061035156
2010-03-04,63.70000076293945
2010-03-05,66.69999694824219
2010-03-08,67.2300033569336
2010-03-09,67.33000183105469
2010-03-10,67.91000366210938
2010-03-11,67.54000091552734
2010-03-12,66.95999908447266
2010-03-15,65.55000305175781
2010-03-16,66.0999984741211
2010-03-17,68.26000213623047
2010-03-18,67.70999908447266
2010-03-19,66.41999816894531
2010-03-22,66.58999633789062
2010-03-23,67.16000366210938
2010-03-24,65.45999908447266
2010-03-25,63.25
2010-03-26,65.58000183105469
2010-03-29,68.16999816894531
2010-03-30,70.19999694824219
2010-03-31,69.87000274658203
2010-04-01,73.75
2010-04-05,75.48999786376953
2010-04-06,75.62999725341797
2010-04-07,74.62000274658203
2010-04-08,75.47000122070312
2010-04-09,78.36000061035156
2010-04-12,76.31999969482422
2010-04-13,75.62000274658203
2010-04-14,77.12000274658203
2010-04-15,75.98999786376953
2010-04-16,70.38999938964844
2010-04-19,69.16000366210938
2010-04-20,71.1500015258789
2010-04-21,69.26000213623047
2010-04-22,69.9000015258789
2010-04-23,69.58999633789062
2010-04-26,69.63999938964844
2010-04-27,64.5199966430664
2010-04-28,65.76000213623047
2010-04-29,65.97000122070312
2010-04-30,65.5
2010-05-03,66.70999908447266
2010-05-04,61.7599983215332
2010-05-05,59.86000061035156
2010-05-06,55.939998626708984
2010-05-07,57.099998474121094
2010-05-10,63.630001068115234
2010-05-11,61.34000015258789
2010-05-12,61.88999938964844
2010-05-13,61.279998779296875
2010-05-14,59.029998779296875
2010-05-17,58.36000061035156
2010-05-18,57.65999984741211
2010-05-19,57.560001373291016
