,CELH
2007-01-22,40.0
2007-01-23,31.799999237060547
2007-01-24,35.79999923706055
2007-01-25,40.0
2007-01-26,38.20000076293945
2007-01-29,48.0
2007-01-30,54.0
2007-01-31,56.0
2007-02-01,65.0
2007-02-02,63.20000076293945
2007-02-05,65.80000305175781
2007-02-06,57.0
2007-02-07,55.0
2007-02-08,61.0
2007-02-09,61.0
2007-02-12,66.0
2007-02-13,65.4000015258789
2007-02-14,63.0
2007-02-15,61.79999923706055
2007-02-16,67.0
2007-02-20,71.19999694824219
2007-02-21,69.0
2007-02-22,71.80000305175781
2007-02-23,71.0
2007-02-26,73.0
2007-02-27,59.0
2007-02-28,63.0
2007-03-01,60.79999923706055
2007-03-02,64.0
2007-03-05,62.0
2007-03-06,56.0
2007-03-07,60.599998474121094
2007-03-08,62.0
2007-03-09,62.20000076293945
2007-03-12,64.19999694824219
2007-03-13,61.599998474121094
2007-03-14,58.0
2007-03-15,48.0
2007-03-16,41.599998474121094
2007-03-19,33.599998474121094
2007-03-20,37.20000076293945
2007-03-21,38.79999923706055
2007-03-22,36.0
2007-03-23,32.20000076293945
2007-03-26,27.0
2007-03-27,29.799999237060547
2007-03-28,30.399999618530273
2007-03-29,27.799999237060547
2007-03-30,24.600000381469727
2007-04-02,21.0
2007-04-03,22.600000381469727
2007-04-04,21.799999237060547
2007-04-05,21.399999618530273
2007-04-09,23.600000381469727
2007-04-10,22.799999237060547
2007-04-11,22.0
2007-04-12,21.200000762939453
2007-04-13,21.399999618530273
2007-04-16,22.399999618530273
2007-04-17,24.399999618530273
2007-04-18,26.200000762939453
2007-04-19,25.799999237060547
2007-04-20,26.0
2007-04-23,23.0
2007-04-24,22.799999237060547
2007-04-25,22.0
2007-04-26,21.399999618530273
2007-04-27,22.0
2007-04-30,22.399999618530273
2007-05-01,20.399999618530273
2007-05-02,20.0
2007-05-03,19.399999618530273
2007-05-04,18.600000381469727
2007-05-07,15.199999809265137
2007-05-08,15.199999809265137
2007-05-09,14.600000381469727
2007-05-10,14.800000190734863
2007-05-11,14.399999618530273
2007-05-14,14.600000381469727
2007-05-15,17.0
2007-05-16,14.800000190734863
2007-05-17,15.600000381469727
2007-05-18,18.200000762939453
2007-05-21,18.600000381469727
2007-05-22,16.399999618530273
2007-05-23,16.399999618530273
2007-05-24,16.0
2007-05-25,17.0
2007-05-29,17.799999237060547
2007-05-30,17.399999618530273
2007-05-31,18.200000762939453
2007-06-01,18.0
2007-06-04,17.399999618530273
2007-06-05,17.0
2007-06-06,18.0
2007-06-07,20.0
2007-06-08,25.600000381469727
2007-06-11,34.20000076293945
2007-06-12,30.399999618530273
2007-06-13,26.0
2007-06-14,22.600000381469727
2007-06-15,26.799999237060547
2007-06-18,25.399999618530273
2007-06-19,26.399999618530273
2007-06-20,26.0
2007-06-21,26.0
