,EWI
1996-03-18,27.0
1996-03-19,27.0
1996-03-20,27.0
1996-03-21,27.0
1996-03-22,27.0
1996-03-25,27.0
1996-03-26,26.5
1996-03-27,26.375
1996-03-28,26.25
1996-03-29,27.0
1996-04-01,27.0
1996-04-02,27.25
1996-04-03,27.25
1996-04-04,27.625
1996-04-08,27.0
1996-04-09,27.75
1996-04-10,28.125
1996-04-11,28.25
1996-04-12,28.125
1996-04-15,28.5
1996-04-16,28.375
1996-04-17,28.0
1996-04-18,28.5
1996-04-19,28.75
1996-04-22,30.875
1996-04-23,30.875
1996-04-24,30.875
1996-04-25,30.875
1996-04-26,31.0
1996-04-29,30.5
1996-04-30,30.625
1996-05-01,30.5
1996-05-02,30.625
1996-05-03,30.75
1996-05-06,30.75
1996-05-07,30.75
1996-05-08,30.375
1996-05-09,30.375
1996-05-10,30.5
1996-05-13,30.5
1996-05-14,30.75
1996-05-15,30.375
1996-05-16,30.125
1996-05-17,31.0
1996-05-20,31.0
1996-05-21,30.625
1996-05-22,30.625
1996-05-23,30.625
1996-05-24,30.5
1996-05-28,30.625
1996-05-29,30.75
1996-05-30,30.75
1996-05-31,30.625
1996-06-03,30.125
1996-06-04,30.375
1996-06-05,30.5
1996-06-06,30.375
1996-06-07,30.25
1996-06-10,30.25
1996-06-11,30.0
1996-06-12,30.375
1996-06-13,30.375
1996-06-14,30.125
1996-06-17,30.5
1996-06-18,30.625
1996-06-19,31.375
1996-06-20,31.125
1996-06-21,30.75
1996-06-24,30.875
1996-06-25,31.0
1996-06-26,30.875
1996-06-27,31.0
1996-06-28,30.75
1996-07-01,30.875
1996-07-02,30.625
1996-07-03,31.0
1996-07-05,30.75
1996-07-08,30.625
1996-07-09,30.25
1996-07-10,30.5
1996-07-11,30.125
1996-07-12,29.75
1996-07-15,28.125
1996-07-16,28.5
1996-07-17,28.625
1996-07-18,29.25
1996-07-19,29.25
1996-07-22,29.125
1996-07-23,29.25
1996-07-24,28.75
1996-07-25,28.375
1996-07-26,28.375
1996-07-29,27.75
1996-07-30,28.125
1996-07-31,28.625
1996-08-01,29.0
1996-08-02,29.25
1996-08-05,29.25
1996-08-06,28.875
1996-08-07,28.875
1996-08-08,29.0
1996-08-09,28.5
1996-08-12,28.375
1996-08-13,28.75
1996-08-14,28.75
1996-08-15,28.875
1996-08-16,29.0
1996-08-19,28.625
1996-08-20,28.75
1996-08-21,28.875
1996-08-22,29.0
1996-08-23,29.125
1996-08-26,28.5
1996-08-27,28.0
1996-08-28,27.75
1996-08-29,27.5
1996-08-30,27.625
1996-09-03,26.875
1996-09-04,27.0
1996-09-05,27.0
1996-09-06,27.375
1996-09-09,27.25
1996-09-10,27.375
1996-09-11,27.125
1996-09-12,27.125
1996-09-13,27.375
1996-09-16,28.0
1996-09-17,27.5
1996-09-18,27.375
1996-09-19,27.75
1996-09-20,27.625
1996-09-23,27.5
1996-09-24,27.5
1996-09-25,28.25
1996-09-26,28.5
1996-09-27,29.375
1996-09-30,29.5
1996-10-01,29.375
1996-10-02,29.25
1996-10-03,29.5
1996-10-04,29.125
1996-10-07,29.0
1996-10-08,29.125
1996-10-09,28.75
1996-10-10,28.75
1996-10-11,28.375
1996-10-14,28.125
1996-10-15,28.5
1996-10-16,28.25
1996-10-17,28.375
1996-10-18,28.75
1996-10-21,28.75
1996-10-22,28.625
1996-10-23,28.875
1996-10-24,28.375
1996-10-25,28.5
1996-10-28,28.375
1996-10-29,27.75
1996-10-30,27.625
1996-10-31,27.625
1996-11-01,27.375
1996-11-04,27.625
1996-11-05,28.375
1996-11-06,28.875
1996-11-07,29.0
1996-11-08,28.625
1996-11-11,28.875
1996-11-12,28.875
1996-11-13,29.0
1996-11-14,29.5
1996-11-15,29.5
1996-11-18,30.0
1996-11-19,30.0
1996-11-20,30.0
1996-11-21,30.125
1996-11-22,30.25
1996-11-25,30.375
1996-11-26,29.625
1996-11-27,29.5
1996-11-29,30.0
1996-12-02,29.875
1996-12-03,29.375
1996-12-04,29.25
1996-12-05,29.375
1996-12-06,28.875
1996-12-09,29.375
1996-12-10,29.0
1996-12-11,28.75
1996-12-12,28.5
1996-12-13,28.25
1996-12-16,28.75
1996-12-17,29.25
1996-12-18,29.25
1996-12-19,29.5
1996-12-20,29.875
1996-12-23,29.625
1996-12-24,29.75
1996-12-26,29.75
1996-12-27,29.75
1996-12-30,30.0
1996-12-31,30.0
1997-01-02,29.75
1997-01-03,29.625
1997-01-06,29.625
1997-01-07,29.875
1997-01-08,30.0
1997-01-09,30.625
1997-01-10,31.875
1997-01-13,32.5
1997-01-14,33.25
1997-01-15,33.0
1997-01-16,33.25
1997-01-17,33.625
1997-01-20,33.75
1997-01-21,33.25
1997-01-22,33.625
1997-01-23,34.125
1997-01-24,33.25
1997-01-27,33.125
1997-01-28,32.875
1997-01-29,32.5
1997-01-30,32.5
1997-01-31,32.5
1997-02-03,32.0
1997-02-04,32.625
1997-02-05,33.5
1997-02-06,33.25
1997-02-07,33.5
1997-02-10,33.5
1997-02-11,32.75
1997-02-12,32.25
1997-02-13,32.125
1997-02-14,31.875
1997-02-18,31.25
1997-02-19,31.0
1997-02-20,31.625
1997-02-21,31.5
1997-02-24,31.5
