,BSCS
2018-08-09,20.049999237060547
2018-08-10,20.049999237060547
2018-08-13,20.049999237060547
2018-08-14,20.049999237060547
2018-08-15,20.100000381469727
2018-08-16,20.1299991607666
2018-08-17,20.110000610351562
2018-08-20,20.110000610351562
2018-08-21,20.15999984741211
2018-08-22,20.170000076293945
2018-08-23,20.15999984741211
2018-08-24,20.15999984741211
2018-08-27,20.149999618530273
2018-08-28,20.1200008392334
2018-08-29,20.079999923706055
2018-08-30,20.059999465942383
2018-08-31,20.1299991607666
2018-09-04,20.049999237060547
2018-09-05,20.049999237060547
2018-09-06,20.1200008392334
2018-09-07,20.010000228881836
2018-09-10,20.030000686645508
2018-09-11,20.0
2018-09-12,20.040000915527344
2018-09-13,20.079999923706055
2018-09-14,20.040000915527344
2018-09-17,20.020000457763672
2018-09-18,19.950000762939453
2018-09-19,19.93000030517578
2018-09-20,19.950000762939453
2018-09-21,19.979999542236328
2018-09-24,19.8700008392334
2018-09-25,19.940000534057617
2018-09-26,19.969999313354492
2018-09-27,20.0
2018-09-28,20.0
2018-10-01,20.0
2018-10-02,19.90999984741211
2018-10-03,19.829999923706055
2018-10-04,19.739999771118164
2018-10-05,19.649999618530273
2018-10-08,19.610000610351562
2018-10-09,19.65999984741211
2018-10-10,19.6200008392334
2018-10-11,19.709999084472656
2018-10-12,19.709999084472656
2018-10-15,19.700000762939453
2018-10-16,19.709999084472656
2018-10-17,19.670000076293945
2018-10-18,19.639999389648438
2018-10-19,19.6200008392334
2018-10-22,19.579999923706055
2018-10-23,19.579999923706055
2018-10-24,19.649999618530273
2018-10-25,19.649999618530273
2018-10-26,19.649999618530273
2018-10-29,19.639999389648438
2018-10-30,19.610000610351562
2018-10-31,19.56999969482422
2018-11-01,19.549999237060547
2018-11-02,19.510000228881836
2018-11-05,19.540000915527344
2018-11-06,19.5
2018-11-07,19.639999389648438
2018-11-08,19.559999465942383
2018-11-09,19.559999465942383
2018-11-12,19.579999923706055
2018-11-13,19.579999923706055
2018-11-14,19.520000457763672
2018-11-15,19.520000457763672
2018-11-16,19.549999237060547
2018-11-19,19.389999389648438
2018-11-20,19.43000030517578
2018-11-21,19.43000030517578
2018-11-23,19.479999542236328
