,ANY
2013-08-12,210.0
2013-08-13,210.0
2013-08-14,232.60000610351562
2013-08-15,232.60000610351562
2013-08-16,214.0
2013-08-19,269.0
2013-08-20,286.0
2013-08-21,286.79998779296875
2013-08-22,358.6000061035156
2013-08-23,402.0
2013-08-26,376.0
2013-08-27,345.6000061035156
2013-08-28,424.79998779296875
2013-08-29,458.0
2013-08-30,505.20001220703125
2013-09-03,533.2000122070312
2013-09-04,518.7999877929688
2013-09-05,489.20001220703125
2013-09-06,539.4000244140625
2013-09-09,513.4000244140625
2013-09-10,470.0
2013-09-11,505.20001220703125
2013-09-12,532.4000244140625
2013-09-13,520.0
2013-09-16,519.4000244140625
2013-09-17,512.0
2013-09-18,488.3999938964844
2013-09-19,482.0
2013-09-20,480.0
2013-09-23,469.0
2013-09-24,478.3999938964844
2013-09-25,486.79998779296875
2013-09-26,471.6000061035156
2013-09-27,484.0
2013-09-30,490.0
2013-10-01,524.2000122070312
2013-10-02,598.4000244140625
2013-10-03,614.5999755859375
2013-10-04,622.0
2013-10-07,632.7999877929688
2013-10-08,602.0
2013-10-09,585.5999755859375
2013-10-10,590.7999877929688
2013-10-11,610.2000122070312
2013-10-14,610.2000122070312
2013-10-15,608.4000244140625
2013-10-16,616.0
2013-10-17,618.5999755859375
2013-10-18,620.0
2013-10-21,630.0
2013-10-22,719.0
2013-10-23,750.0
2013-10-24,763.0
2013-10-25,748.4000244140625
2013-10-28,824.5999755859375
2013-10-29,820.0
2013-10-30,820.0
2013-10-31,829.2000122070312
2013-11-01,817.4000244140625
2013-11-04,770.0
2013-11-05,758.5999755859375
2013-11-06,767.4000244140625
2013-11-07,784.4000244140625
2013-11-08,784.4000244140625
2013-11-11,890.0
2013-11-12,913.4000244140625
2013-11-13,1020.4000244140625
2013-11-14,1051.5999755859375
2013-11-15,1144.4000244140625
2013-11-18,1144.0
2013-11-19,1180.4000244140625
2013-11-20,1040.800048828125
2013-11-21,935.5999755859375
2013-11-22,1063.0
2013-11-25,1071.5999755859375
2013-11-26,1080.5999755859375
2013-11-27,1051.5999755859375
2013-11-29,1051.5999755859375
2013-12-02,1156.0
2013-12-03,1202.0
2013-12-04,1150.199951171875
2013-12-05,1049.800048828125
2013-12-06,1080.0
2013-12-09,1048.0
2013-12-10,1118.0
2013-12-11,1082.0
2013-12-12,1026.0
2013-12-13,1020.0
2013-12-16,1102.0
2013-12-17,1124.4000244140625
2013-12-18,1192.0
2013-12-19,1201.199951171875
2013-12-20,1233.199951171875
2013-12-23,1192.800048828125
2013-12-24,1208.800048828125
2013-12-26,1266.0
2013-12-27,1194.0
2013-12-30,1210.0
2013-12-31,1238.0
2014-01-02,1215.4000244140625
2014-01-03,1222.0
2014-01-06,1173.4000244140625
2014-01-07,1136.0
2014-01-08,1078.800048828125
2014-01-09,1118.0
2014-01-10,1177.5999755859375
2014-01-13,1157.800048828125
2014-01-14,1144.199951171875
2014-01-15,1148.800048828125
2014-01-16,1152.0
2014-01-17,1081.199951171875
2014-01-21,1055.4000244140625
2014-01-22,1089.199951171875
2014-01-23,1097.4000244140625
2014-01-24,1078.5999755859375
2014-01-27,1112.800048828125
2014-01-28,1148.0
2014-01-29,1161.5999755859375
2014-01-30,1176.0
2014-01-31,1204.800048828125
2014-02-03,1201.0
2014-02-04,1182.800048828125
2014-02-05,1171.800048828125
2014-02-06,1179.4000244140625
2014-02-07,1217.800048828125
2014-02-10,1286.4000244140625
2014-02-11,1273.5999755859375
2014-02-12,1408.0
2014-02-13,1434.199951171875
2014-02-14,1387.199951171875
2014-02-18,1346.5999755859375
2014-02-19,1271.0
2014-02-20,1298.0
2014-02-21,1284.4000244140625
2014-02-24,1349.199951171875
2014-02-25,1364.800048828125
2014-02-26,1404.5999755859375
2014-02-27,1396.0
2014-02-28,1454.0
2014-03-03,1430.0
2014-03-04,1533.0
2014-03-05,1539.0
2014-03-06,1462.4000244140625
2014-03-07,1470.0
2014-03-10,1481.199951171875
2014-03-11,1470.0
2014-03-12,1416.0
2014-03-13,1436.0
2014-03-14,1421.5999755859375
2014-03-17,1419.0
2014-03-18,1390.800048828125
2014-03-19,1344.800048828125
2014-03-20,1348.0
2014-03-21,1388.0
2014-03-24,1290.0
2014-03-25,1308.0
2014-03-26,1296.0
2014-03-27,1275.4000244140625
2014-03-28,1267.4000244140625
2014-03-31,1264.800048828125
