,BCPC
1986-06-03,0.25020599365234375
1986-06-04,0.25020599365234375
1986-06-05,0.2304529994726181
1986-06-06,0.23703700304031372
1986-06-09,0.23703700304031372
1986-06-10,0.21728399395942688
1986-06-11,0.21728399395942688
1986-06-12,0.2238679975271225
1986-06-13,0.2304529994726181
1986-06-16,0.2304529994726181
1986-06-17,0.2304529994726181
1986-06-18,0.2304529994726181
1986-06-19,0.2304529994726181
1986-06-20,0.2304529994726181
1986-06-23,0.2238679975271225
1986-06-24,0.2238679975271225
1986-06-25,0.21070000529289246
1986-06-26,0.2238679975271225
1986-06-27,0.2304529994726181
1986-06-30,0.2304529994726181
1986-07-01,0.23703700304031372
1986-07-02,0.25020599365234375
1986-07-03,0.25020599365234375
1986-07-07,0.25020599365234375
1986-07-08,0.23703700304031372
1986-07-09,0.21728399395942688
1986-07-10,0.2304529994726181
1986-07-11,0.23703700304031372
1986-07-14,0.23703700304031372
1986-07-15,0.21070000529289246
1986-07-16,0.20411500334739685
1986-07-17,0.21728399395942688
1986-07-18,0.2304529994726181
1986-07-21,0.25020599365234375
1986-07-22,0.263374000787735
1986-07-23,0.263374000787735
1986-07-24,0.263374000787735
1986-07-25,0.263374000787735
1986-07-28,0.263374000787735
1986-07-29,0.263374000787735
1986-07-30,0.25020599365234375
1986-07-31,0.25679001212120056
1986-08-01,0.25679001212120056
1986-08-04,0.263374000787735
1986-08-05,0.25020599365234375
1986-08-06,0.28971201181411743
1986-08-07,0.3094649910926819
1986-08-08,0.33580198884010315
1986-08-11,0.34897100925445557
1986-08-12,0.3292180001735687
1986-08-13,0.34897100925445557
1986-08-14,0.34897100925445557
1986-08-15,0.34897100925445557
1986-08-18,0.3226340115070343
1986-08-19,0.35555601119995117
1986-08-20,0.34897100925445557
1986-08-21,0.3621399998664856
1986-08-22,0.36872398853302
1986-08-25,0.36872398853302
1986-08-26,0.34897100925445557
1986-08-27,0.36872398853302
1986-08-28,0.3621399998664856
1986-08-29,0.36872398853302
1986-09-02,0.3753089904785156
1986-09-03,0.4016459882259369
1986-09-04,0.43456798791885376
1986-09-05,0.4477370083332062
1986-09-08,0.46748998761177063
1986-09-09,0.47407400608062744
1986-09-10,0.47407400608062744
1986-09-11,0.42798399925231934
1986-09-12,0.44115200638771057
1986-09-15,0.4082300066947937
1986-09-16,0.44115200638771057
1986-09-17,0.460904985666275
1986-09-18,0.48724299669265747
1986-09-19,0.47407400608062744
1986-09-22,0.4641979932785034
1986-09-23,0.47407400608062744
1986-09-24,0.46748998761177063
1986-09-25,0.4477370083332062
1986-09-26,0.460904985666275
1986-09-29,0.460904985666275
1986-09-30,0.4543209969997406
1986-10-01,0.4477370083332062
1986-10-02,0.43456798791885376
1986-10-03,0.42798399925231934
1986-10-06,0.38847699761390686
1986-10-07,0.38189300894737244
1986-10-08,0.4148150086402893
1986-10-09,0.42798399925231934
1986-10-10,0.4543209969997406
1986-10-13,0.4543209969997406
1986-10-14,0.5465019941329956
1986-10-15,0.5596709847450256
1986-10-16,0.5333330035209656
1986-10-17,0.5925930142402649
1986-10-20,0.6189299821853638
1986-10-21,0.6452670097351074
1986-10-22,0.6979420185089111
1986-10-23,0.7637860178947449
1986-10-24,0.7901229858398438
1986-10-27,0.8888890147209167
1986-10-28,0.8823050260543823
1986-10-29,0.8823050260543823
1986-10-30,0.9218109846115112
1986-10-31,0.9152259826660156
1986-11-03,0.8954730033874512
1986-11-04,0.9283949732780457
1986-11-05,0.9086419939994812
1986-11-06,0.8823050260543823
1986-11-07,0.8032919764518738
1986-11-10,0.7703700065612793
1986-11-11,0.7572020292282104
1986-11-12,0.6716049909591675
1986-11-13,0.5201650261878967
1986-11-14,0.460904985666275
1986-11-17,0.55308598279953
1986-11-18,0.6584360003471375
1986-11-19,0.7242799997329712
1986-11-20,0.6320989727973938
1986-11-21,0.7176949977874756
1986-11-24,0.7637860178947449
1986-11-25,0.7111110091209412
1986-11-26,0.7111110091209412
1986-11-28,0.651852011680603
1986-12-01,0.6781889796257019
1986-12-02,0.6584360003471375
1986-12-03,0.5925930142402649
1986-12-04,0.5991770029067993
1986-12-05,0.5662549734115601
1986-12-08,0.5267490148544312
1986-12-09,0.46748998761177063
1986-12-10,0.5004119873046875
1986-12-11,0.5004119873046875
1986-12-12,0.4938269853591919
1986-12-15,0.47407400608062744
1986-12-16,0.48724299669265747
1986-12-17,0.46748998761177063
1986-12-18,0.46748998761177063
1986-12-19,0.47407400608062744
1986-12-22,0.460904985666275
1986-12-23,0.460904985666275
1986-12-24,0.460904985666275
1986-12-26,0.460904985666275
1986-12-29,0.4148150086402893
1986-12-30,0.42139899730682373
1986-12-31,0.4082300066947937
1987-01-02,0.39506199955940247
1987-01-05,0.43456798791885376
1987-01-06,0.460904985666275
1987-01-07,0.47407400608062744
1987-01-08,0.5004119873046875
1987-01-09,0.48724299669265747
1987-01-12,0.4477370083332062
1987-01-13,0.460904985666275
1987-01-14,0.43456798791885376
1987-01-15,0.43456798791885376
1987-01-16,0.4082300066947937
1987-01-19,0.39506199955940247
1987-01-20,0.35555601119995117
1987-01-21,0.36872398853302
1987-01-22,0.34897100925445557
1987-01-23,0.42139899730682373
1987-01-26,0.46748998761177063
1987-01-27,0.47407400608062744
1987-01-28,0.47407400608062744
1987-01-29,0.47407400608062744
1987-01-30,0.46748998761177063
1987-02-02,0.4477370083332062
1987-02-03,0.42139899730682373
1987-02-04,0.460904985666275
1987-02-05,0.4477370083332062
1987-02-06,0.460904985666275
1987-02-09,0.460904985666275
1987-02-10,0.47407400608062744
