,DWCR
2017-12-29,30.200000762939453
2018-01-02,30.82900047302246
2018-01-03,30.743999481201172
2018-01-04,31.110000610351562
2018-01-05,31.420000076293945
2018-01-08,31.309999465942383
2018-01-09,31.5
2018-01-10,31.469999313354492
2018-01-11,31.700000762939453
2018-01-12,31.743999481201172
2018-01-16,31.93000030517578
2018-01-17,32.31999969482422
2018-01-18,32.2400016784668
2018-01-19,32.5
2018-01-22,32.70500183105469
2018-01-23,32.54999923706055
2018-01-24,32.93000030517578
2018-01-25,32.54999923706055
2018-01-26,32.900001525878906
2018-01-29,32.64799880981445
2018-01-30,32.290000915527344
2018-01-31,32.33599853515625
2018-02-01,32.38999938964844
2018-02-02,31.709999084472656
2018-02-05,30.81999969482422
2018-02-06,31.3799991607666
2018-02-07,31.3799991607666
2018-02-08,30.229999542236328
2018-02-09,29.805999755859375
2018-02-12,30.43000030517578
2018-02-13,30.43000030517578
2018-02-14,30.982999801635742
2018-02-15,31.33300018310547
2018-02-16,31.280000686645508
2018-02-20,31.0
2018-02-21,30.937000274658203
2018-02-22,30.989999771118164
2018-02-23,31.239999771118164
2018-02-26,31.489999771118164
2018-02-27,31.489999771118164
2018-02-28,31.489999771118164
2018-03-01,31.489999771118164
2018-03-02,31.489999771118164
2018-03-05,30.584999084472656
2018-03-06,30.881999969482422
2018-03-07,30.80699920654297
2018-03-08,30.80699920654297
2018-03-09,30.80699920654297
2018-03-12,30.80699920654297
2018-03-13,30.80699920654297
2018-03-14,30.80699920654297
2018-03-15,30.80699920654297
2018-03-16,30.80699920654297
2018-03-19,31.0
2018-03-20,30.920000076293945
2018-03-21,30.920000076293945
2018-03-22,30.920000076293945
2018-03-23,30.920000076293945
2018-03-26,30.920000076293945
2018-03-27,30.920000076293945
2018-03-28,30.920000076293945
2018-03-29,30.920000076293945
2018-04-02,29.93000030517578
2018-04-03,29.93000030517578
2018-04-04,29.93000030517578
2018-04-05,30.520000457763672
2018-04-06,30.520000457763672
2018-04-09,30.610000610351562
2018-04-10,30.610000610351562
2018-04-11,30.610000610351562
2018-04-12,30.610000610351562
2018-04-13,30.948999404907227
2018-04-16,30.42099952697754
2018-04-17,30.42099952697754
2018-04-18,30.42099952697754
2018-04-19,30.42099952697754
2018-04-20,30.531999588012695
2018-04-23,30.531999588012695
2018-04-24,30.531999588012695
2018-04-25,29.979999542236328
2018-04-26,30.09000015258789
2018-04-27,30.18000030517578
2018-04-30,30.18000030517578
2018-05-01,30.18000030517578
2018-05-02,30.18000030517578
2018-05-03,30.18000030517578
2018-05-04,30.18000030517578
2018-05-07,30.18000030517578
2018-05-08,30.18000030517578
2018-05-09,29.808000564575195
2018-05-10,29.808000564575195
2018-05-11,30.200000762939453
2018-05-14,30.200000762939453
2018-05-15,30.200000762939453
2018-05-16,30.200000762939453
2018-05-17,30.200000762939453
2018-05-18,30.200000762939453
2018-05-21,30.200000762939453
2018-05-22,30.200000762939453
2018-05-23,29.704999923706055
2018-05-24,29.704999923706055
2018-05-25,29.704999923706055
2018-05-29,28.979999542236328
2018-05-30,29.270999908447266
2018-05-31,29.270999908447266
2018-06-01,29.270999908447266
2018-06-04,29.270999908447266
2018-06-05,29.670000076293945
2018-06-06,29.670000076293945
