,FFHL
2006-12-19,44.31999969482422
2006-12-20,40.880001068115234
2006-12-21,41.0
2006-12-22,50.040000915527344
2006-12-26,54.0
2006-12-27,52.0
2006-12-28,70.0
2006-12-29,63.20000076293945
2007-01-03,59.599998474121094
2007-01-04,60.20000076293945
2007-01-05,57.599998474121094
2007-01-08,55.20000076293945
2007-01-09,57.20000076293945
2007-01-10,52.400001525878906
2007-01-11,51.720001220703125
2007-01-12,57.0
2007-01-16,55.959999084472656
2007-01-17,55.52000045776367
2007-01-18,52.84000015258789
2007-01-19,54.279998779296875
2007-01-22,53.040000915527344
2007-01-23,54.2400016784668
2007-01-24,54.119998931884766
2007-01-25,52.720001220703125
2007-01-26,53.91999816894531
2007-01-29,52.47999954223633
2007-01-30,52.52000045776367
2007-01-31,46.7599983215332
2007-02-01,45.63999938964844
2007-02-02,46.0
2007-02-05,45.0
2007-02-06,44.68000030517578
2007-02-07,47.560001373291016
2007-02-08,45.880001068115234
2007-02-09,44.040000915527344
2007-02-12,41.720001220703125
2007-02-13,42.08000183105469
2007-02-14,45.20000076293945
2007-02-15,46.20000076293945
2007-02-16,46.31999969482422
2007-02-20,45.7599983215332
2007-02-21,44.63999938964844
2007-02-22,44.84000015258789
2007-02-23,43.560001373291016
2007-02-26,42.31999969482422
2007-02-27,37.439998626708984
2007-02-28,37.36000061035156
2007-03-01,36.68000030517578
2007-03-02,36.20000076293945
2007-03-05,34.20000076293945
2007-03-06,35.63999938964844
2007-03-07,36.720001220703125
2007-03-08,36.279998779296875
2007-03-09,36.0
2007-03-12,35.7599983215332
2007-03-13,34.119998931884766
2007-03-14,34.279998779296875
2007-03-15,34.279998779296875
2007-03-16,32.84000015258789
2007-03-19,32.91999816894531
2007-03-20,34.0
2007-03-21,37.279998779296875
2007-03-22,40.7599983215332
2007-03-23,40.15999984741211
2007-03-26,39.119998931884766
2007-03-27,38.15999984741211
2007-03-28,41.84000015258789
2007-03-29,42.119998931884766
2007-03-30,40.7599983215332
2007-04-02,40.279998779296875
2007-04-03,40.08000183105469
2007-04-04,39.15999984741211
2007-04-05,48.0
2007-04-09,45.400001525878906
2007-04-10,44.560001373291016
2007-04-11,45.599998474121094
2007-04-12,45.0
2007-04-13,46.400001525878906
2007-04-16,45.84000015258789
2007-04-17,44.959999084472656
2007-04-18,44.31999969482422
2007-04-19,42.119998931884766
2007-04-20,41.720001220703125
2007-04-23,40.47999954223633
2007-04-24,41.599998474121094
2007-04-25,40.63999938964844
2007-04-26,40.0
2007-04-27,42.52000045776367
2007-04-30,39.880001068115234
2007-05-01,38.2400016784668
2007-05-02,39.31999969482422
2007-05-03,38.880001068115234
2007-05-04,38.31999969482422
2007-05-07,37.400001525878906
2007-05-08,37.400001525878906
2007-05-09,38.52000045776367
2007-05-10,36.439998626708984
2007-05-11,28.399999618530273
2007-05-14,27.479999542236328
2007-05-15,26.559999465942383
2007-05-16,27.68000030517578
2007-05-17,26.8799991607666
2007-05-18,26.200000762939453
2007-05-21,27.15999984741211
2007-05-22,27.920000076293945
2007-05-23,27.15999984741211
2007-05-24,26.559999465942383
2007-05-25,26.0
2007-05-29,25.760000228881836
2007-05-30,25.200000762939453
2007-05-31,24.8799991607666
2007-06-01,25.600000381469727
2007-06-04,24.799999237060547
2007-06-05,25.31999969482422
2007-06-06,24.760000228881836
2007-06-07,24.15999984741211
2007-06-08,24.440000534057617
2007-06-11,23.959999084472656
2007-06-12,23.559999465942383
2007-06-13,23.15999984741211
2007-06-14,23.1200008392334
2007-06-15,22.8799991607666
2007-06-18,24.600000381469727
2007-06-19,29.200000762939453
2007-06-20,31.68000030517578
2007-06-21,30.399999618530273
2007-06-22,28.600000381469727
2007-06-25,24.559999465942383
2007-06-26,25.31999969482422
2007-06-27,24.760000228881836
2007-06-28,24.799999237060547
2007-06-29,25.1200008392334
2007-07-02,25.079999923706055
2007-07-03,30.68000030517578
2007-07-05,32.279998779296875
2007-07-06,31.040000915527344
2007-07-09,34.91999816894531
2007-07-10,34.2400016784668
2007-07-11,33.36000061035156
2007-07-12,34.2400016784668
2007-07-13,33.47999954223633
2007-07-16,33.279998779296875
