,FLGT
2016-09-29,9.180000305175781
2016-09-30,9.220000267028809
2016-10-03,10.390000343322754
2016-10-04,9.949999809265137
2016-10-05,9.569999694824219
2016-10-06,9.640000343322754
2016-10-07,9.755000114440918
2016-10-10,9.800000190734863
2016-10-11,9.6899995803833
2016-10-12,9.619999885559082
2016-10-13,9.399999618530273
2016-10-14,8.609999656677246
2016-10-17,8.140000343322754
2016-10-18,8.170000076293945
2016-10-19,8.550000190734863
2016-10-20,8.550000190734863
2016-10-21,8.880000114440918
2016-10-24,9.109999656677246
2016-10-25,9.300000190734863
2016-10-26,9.020000457763672
2016-10-27,8.989999771118164
2016-10-28,9.09000015258789
2016-10-31,9.0
2016-11-01,9.029999732971191
2016-11-02,9.020000457763672
2016-11-03,8.930000305175781
2016-11-04,8.739999771118164
2016-11-07,8.699999809265137
2016-11-08,8.649999618530273
2016-11-09,8.600000381469727
2016-11-10,8.850000381469727
2016-11-11,8.649999618530273
2016-11-14,8.65999984741211
2016-11-15,8.510000228881836
2016-11-16,8.680000305175781
2016-11-17,8.5
2016-11-18,8.5
2016-11-21,8.890000343322754
2016-11-22,9.479999542236328
2016-11-23,9.25
2016-11-25,9.260000228881836
2016-11-28,9.319999694824219
2016-11-29,9.9399995803833
2016-11-30,9.970000267028809
2016-12-01,10.0
2016-12-02,9.880000114440918
2016-12-05,10.170000076293945
2016-12-06,9.399999618530273
2016-12-07,9.90999984741211
2016-12-08,9.949999809265137
2016-12-09,10.0
2016-12-12,9.5
2016-12-13,8.869999885559082
2016-12-14,9.359999656677246
2016-12-15,9.899999618530273
2016-12-16,9.9399995803833
2016-12-19,10.479999542236328
2016-12-20,10.819999694824219
2016-12-21,11.229999542236328
2016-12-22,11.789999961853027
2016-12-23,10.350000381469727
2016-12-27,10.079999923706055
2016-12-28,9.859999656677246
2016-12-29,10.1899995803833
2016-12-30,11.569999694824219
2017-01-03,11.149999618530273
2017-01-04,11.529999732971191
2017-01-05,11.5
2017-01-06,13.039999961853027
2017-01-09,13.5
2017-01-10,12.930000305175781
2017-01-11,13.369999885559082
2017-01-12,13.140000343322754
2017-01-13,13.670000076293945
2017-01-17,13.229999542236328
2017-01-18,13.300000190734863
2017-01-19,13.270000457763672
2017-01-20,13.229999542236328
2017-01-23,13.350000381469727
2017-01-24,13.229999542236328
2017-01-25,12.90999984741211
2017-01-26,13.0
2017-01-27,13.0
2017-01-30,12.710000038146973
2017-01-31,13.069999694824219
2017-02-01,12.899999618530273
2017-02-02,12.1899995803833
2017-02-03,11.989999771118164
2017-02-06,12.130000114440918
2017-02-07,11.989999771118164
2017-02-08,11.869999885559082
2017-02-09,11.859999656677246
2017-02-10,11.819999694824219
2017-02-13,11.710000038146973
2017-02-14,11.789999961853027
2017-02-15,11.5600004196167
2017-02-16,11.350000381469727
2017-02-17,11.34000015258789
2017-02-21,11.130000114440918
2017-02-22,10.5
2017-02-23,11.180000305175781
2017-02-24,11.229999542236328
2017-02-27,11.460000038146973
2017-02-28,11.350000381469727
2017-03-01,11.210000038146973
2017-03-02,10.960000038146973
