,ESGD
2016-08-25,56.540000915527344
2016-08-26,56.540000915527344
2016-08-29,56.2599983215332
2016-08-30,56.2599983215332
2016-08-31,56.08000183105469
2016-09-01,56.5099983215332
2016-09-02,56.95000076293945
2016-09-06,56.95000076293945
2016-09-07,56.95000076293945
2016-09-08,56.95000076293945
2016-09-09,56.41999816894531
2016-09-12,55.810001373291016
2016-09-13,55.650001525878906
2016-09-14,55.650001525878906
2016-09-15,55.650001525878906
2016-09-16,55.650001525878906
2016-09-19,55.650001525878906
2016-09-20,56.0099983215332
2016-09-21,56.0099983215332
2016-09-22,56.0099983215332
2016-09-23,57.029998779296875
2016-09-26,56.39799880981445
2016-09-27,56.220001220703125
2016-09-28,57.03300094604492
2016-09-29,56.41999816894531
2016-09-30,56.84000015258789
2016-10-03,56.470001220703125
2016-10-04,56.470001220703125
2016-10-05,56.470001220703125
2016-10-06,56.470001220703125
2016-10-07,56.470001220703125
2016-10-10,56.470001220703125
2016-10-11,56.470001220703125
2016-10-12,55.380001068115234
2016-10-13,55.2400016784668
2016-10-14,55.290000915527344
2016-10-17,55.16899871826172
2016-10-18,55.16899871826172
2016-10-19,55.16899871826172
2016-10-20,55.83000183105469
2016-10-21,55.74399948120117
2016-10-24,55.66699981689453
2016-10-25,55.599998474121094
2016-10-26,55.45000076293945
2016-10-27,55.400001525878906
2016-10-28,55.29999923706055
2016-10-31,55.37300109863281
2016-11-01,55.400001525878906
2016-11-02,55.400001525878906
2016-11-03,54.75
2016-11-04,54.29999923706055
2016-11-07,54.856998443603516
2016-11-08,55.0
2016-11-09,55.06999969482422
2016-11-10,55.06999969482422
2016-11-11,54.56999969482422
2016-11-14,54.29999923706055
2016-11-15,54.5
2016-11-16,54.099998474121094
2016-11-17,54.36899948120117
2016-11-18,53.80799865722656
2016-11-21,54.08000183105469
2016-11-22,54.32099914550781
2016-11-23,54.32099914550781
2016-11-25,54.32099914550781
2016-11-28,54.150001525878906
2016-11-29,54.5
2016-11-30,54.5
2016-12-01,54.09000015258789
2016-12-02,54.09000015258789
2016-12-05,54.09000015258789
2016-12-06,54.09000015258789
2016-12-07,55.909000396728516
2016-12-08,55.91999816894531
2016-12-09,56.07400131225586
2016-12-12,55.93000030517578
2016-12-13,56.529998779296875
2016-12-14,55.79899978637695
2016-12-15,55.470001220703125
2016-12-16,55.470001220703125
2016-12-19,55.46799850463867
2016-12-20,55.46799850463867
2016-12-21,55.56999969482422
2016-12-22,55.5
2016-12-23,55.58000183105469
2016-12-27,55.599998474121094
2016-12-28,55.349998474121094
2016-12-29,55.52000045776367
2016-12-30,55.73899841308594
2017-01-03,55.880001068115234
2017-01-04,56.459999084472656
2017-01-05,57.130001068115234
2017-01-06,56.90999984741211
2017-01-09,56.75
2017-01-10,56.81999969482422
2017-01-11,57.040000915527344
2017-01-12,57.18000030517578
2017-01-13,57.36000061035156
2017-01-17,57.185001373291016
2017-01-18,57.15999984741211
2017-01-19,56.849998474121094
2017-01-20,57.150001525878906
2017-01-23,57.29800033569336
2017-01-24,57.29800033569336
2017-01-25,58.00899887084961
2017-01-26,57.904998779296875
2017-01-27,57.720001220703125
2017-01-30,57.34000015258789
2017-01-31,57.334999084472656
2017-02-01,57.334999084472656
2017-02-02,57.70000076293945
2017-02-03,57.90999984741211
2017-02-06,57.400001525878906
2017-02-07,57.5
2017-02-08,57.7400016784668
2017-02-09,57.849998474121094
2017-02-10,58.029998779296875
2017-02-13,58.29999923706055
2017-02-14,58.15999984741211
2017-02-15,58.36000061035156
2017-02-16,58.513999938964844
2017-02-17,58.40999984741211
2017-02-21,58.59299850463867
2017-02-22,58.56999969482422
