,DLN
2006-06-16,50.41999816894531
2006-06-19,50.02000045776367
2006-06-20,50.15999984741211
2006-06-21,50.43000030517578
2006-06-22,50.18000030517578
2006-06-23,50.130001068115234
2006-06-26,50.33000183105469
2006-06-27,50.060001373291016
2006-06-28,50.22999954223633
2006-06-29,51.2400016784668
2006-06-30,51.31999969482422
2006-07-03,51.599998474121094
2006-07-05,51.38999938964844
2006-07-06,51.630001068115234
2006-07-07,51.43000030517578
2006-07-10,51.61000061035156
2006-07-11,51.7400016784668
2006-07-12,51.2599983215332
2006-07-13,50.68000030517578
2006-07-14,50.290000915527344
2006-07-17,50.38999938964844
2006-07-18,50.34000015258789
2006-07-19,51.47999954223633
2006-07-20,51.2400016784668
2006-07-21,51.060001373291016
2006-07-24,51.81999969482422
2006-07-25,52.09000015258789
2006-07-26,52.33000183105469
2006-07-27,52.06999969482422
2006-07-28,52.720001220703125
2006-07-31,52.56999969482422
2006-08-01,52.36000061035156
2006-08-02,52.63999938964844
2006-08-03,52.83000183105469
2006-08-04,52.79999923706055
2006-08-07,52.689998626708984
2006-08-08,52.56999969482422
2006-08-09,52.33000183105469
2006-08-10,52.439998626708984
2006-08-11,52.29999923706055
2006-08-14,52.310001373291016
2006-08-15,52.959999084472656
2006-08-16,53.209999084472656
2006-08-17,53.2400016784668
2006-08-18,53.43000030517578
2006-08-21,53.38999938964844
2006-08-22,53.470001220703125
2006-08-23,53.27000045776367
2006-08-24,53.43000030517578
2006-08-25,53.369998931884766
2006-08-28,53.66999816894531
2006-08-29,53.720001220703125
2006-08-30,53.75
2006-08-31,53.66999816894531
2006-09-01,53.91999816894531
2006-09-05,54.0
2006-09-06,53.65999984741211
2006-09-07,53.41999816894531
2006-09-08,53.59000015258789
2006-09-11,53.5099983215332
2006-09-12,53.939998626708984
2006-09-13,54.15999984741211
2006-09-14,54.09000015258789
2006-09-15,54.189998626708984
2006-09-18,54.15999984741211
2006-09-19,54.16999816894531
2006-09-20,54.38999938964844
2006-09-21,54.150001525878906
2006-09-22,54.16999816894531
2006-09-25,54.54999923706055
2006-09-26,54.869998931884766
2006-09-27,54.91999816894531
2006-09-28,55.0099983215332
2006-09-29,54.86000061035156
2006-10-02,54.779998779296875
2006-10-03,54.91999816894531
2006-10-04,55.220001220703125
2006-10-05,55.279998779296875
2006-10-06,55.119998931884766
2006-10-09,55.189998626708984
2006-10-10,55.31999969482422
2006-10-11,55.189998626708984
2006-10-12,55.61000061035156
