,CTXS
1995-12-08,1.9907629489898682
1995-12-11,2.1898388862609863
1995-12-12,2.1234800815582275
1995-12-13,2.0820059776306152
1995-12-14,1.9409940242767334
1995-12-15,1.8746349811553955
1995-12-18,1.6755590438842773
1995-12-19,1.8082760572433472
1995-12-20,1.79168701171875
1995-12-21,1.8248660564422607
1995-12-22,1.8082760572433472
1995-12-26,1.7750970125198364
1995-12-27,2.040532112121582
1995-12-28,2.0073530673980713
1995-12-29,2.1566600799560547
1996-01-02,2.1234800815582275
1996-01-03,1.9409940242767334
1996-01-04,1.8414560556411743
1996-01-05,1.7087379693984985
1996-01-08,1.7585070133209229
1996-01-09,1.6589690446853638
1996-01-10,1.6092000007629395
1996-01-11,1.7750970125198364
1996-01-12,1.8082760572433472
1996-01-15,1.858044981956482
1996-01-16,1.7419179677963257
1996-01-17,1.8082760572433472
1996-01-18,1.79168701171875
1996-01-19,1.858044981956482
1996-01-22,1.8414560556411743
1996-01-23,2.0737109184265137
1996-01-24,2.0322370529174805
1996-01-25,2.040532112121582
1996-01-26,2.106890916824341
1996-01-29,2.106890916824341
1996-01-30,2.106890916824341
1996-01-31,2.106890916824341
1996-02-01,2.057121992111206
1996-02-02,2.305967092514038
1996-02-05,2.3889150619506836
1996-02-06,2.4884541034698486
1996-02-07,2.4386849403381348
1996-02-08,2.4386849403381348
1996-02-09,2.4718639850616455
1996-02-12,2.604581117630005
1996-02-13,2.637761116027832
1996-02-14,2.7372989654541016
1996-02-15,2.8036580085754395
1996-02-16,2.919785976409912
1996-02-20,2.8783109188079834
1996-02-21,2.916675090789795
1996-02-22,3.284759044647217
1996-02-23,3.4091811180114746
1996-02-26,3.467245101928711
1996-02-27,3.6331419944763184
1996-02-28,3.1354520320892334
1996-02-29,2.886605978012085
1996-03-01,2.820246934890747
1996-03-04,3.0359129905700684
1996-03-05,3.1354520320892334
1996-03-06,3.0027339458465576
1996-03-07,2.6543500423431396
1996-03-08,2.4220950603485107
1996-03-11,2.5216329097747803
1996-03-12,3.060797929763794
1996-03-13,3.0981249809265137
1996-03-14,2.83683705329895
1996-03-15,2.9363749027252197
1996-03-18,2.969554901123047
1996-03-19,2.919785976409912
1996-03-20,2.853426933288574
1996-03-21,2.8036580085754395
1996-03-22,2.886605978012085
1996-03-25,2.853426933288574
1996-03-26,2.853426933288574
1996-03-27,2.853426933288574
1996-03-28,2.886605978012085
1996-03-29,2.9363749027252197
1996-04-01,3.0359129905700684
1996-04-02,3.1188619136810303
1996-04-03,3.201809883117676
1996-04-04,3.2681689262390137
1996-04-08,3.185220956802368
1996-04-09,3.3842968940734863
1996-04-10,3.3345279693603516
1996-04-11,3.3013479709625244
1996-04-12,3.3677070140838623
1996-04-15,3.5999629497528076
1996-04-16,3.6331419944763184
1996-04-17,3.5833730697631836
1996-04-18,3.6995010375976562
1996-04-19,4.097653865814209
1996-04-22,4.4958062171936035
1996-04-23,5.0432658195495605
1996-04-24,5.059855937957764
1996-04-25,5.109624862670898
1996-04-26,5.0930352210998535
1996-04-29,5.209163188934326
1996-04-30,5.17598295211792
1996-05-01,5.375060081481934
1996-05-02,5.159393787384033
1996-05-03,5.2672271728515625
1996-05-06,5.109624862670898
1996-05-07,5.07644510269165
1996-05-08,5.07644510269165
1996-05-09,5.375060081481934
1996-05-10,5.6404948234558105
1996-05-13,5.806392192840576
1996-05-14,5.524366855621338
1996-05-15,5.474597930908203
1996-05-16,5.209163188934326
1996-05-17,5.059855937957764
1996-05-20,5.275522232055664
1996-05-21,5.167688846588135
1996-05-22,5.209163188934326
1996-05-23,5.17598295211792
1996-05-24,5.242341995239258
1996-05-28,5.059855937957764
1996-05-29,4.794421195983887
1996-05-30,5.010087013244629
1996-05-31,5.026676177978516
1996-06-03,4.927137851715088
1996-06-04,4.976906776428223
1996-06-05,4.744650840759277
1996-06-06,4.4460368156433105
1996-06-07,4.313320159912109
1996-06-10,4.2469611167907715
1996-06-11,4.213780879974365
1996-06-12,4.4792160987854
1996-06-13,4.8441901206970215
1996-06-14,4.777831077575684
1996-06-17,4.910548210144043
1996-06-18,4.379677772521973
1996-06-19,4.014705181121826
1996-06-20,3.7824490070343018
1996-06-21,3.765860080718994
1996-06-24,4.047883987426758
1996-06-25,4.545575141906738
1996-06-26,4.379677772521973
1996-06-27,4.711472034454346
1996-06-28,5.0432658195495605
1996-07-01,5.109624862670898
1996-07-02,5.308701038360596
1996-07-03,5.308701038360596
1996-07-05,4.877368927001953
1996-07-08,4.877368927001953
1996-07-09,5.109624862670898
1996-07-10,5.109624862670898
1996-07-11,4.645112991333008
1996-07-12,4.213780879974365
1996-07-15,3.550194025039673
1996-07-16,3.8985769748687744
1996-07-17,4.628523826599121
1996-07-18,5.17598295211792
1996-07-19,5.17598295211792
1996-07-22,5.17598295211792
1996-07-23,4.4460368156433105
1996-07-24,4.578754901885986
1996-07-25,4.744650840759277
1996-07-26,4.811009883880615
1996-07-29,4.678293228149414
1996-07-30,4.910548210144043
1996-07-31,5.010087013244629
1996-08-01,5.018381118774414
1996-08-02,5.4580078125
1996-08-05,5.275522232055664
1996-08-06,5.308701038360596
1996-08-07,5.375060081481934
1996-08-08,5.740033149719238
1996-08-09,5.756622791290283
1996-08-12,5.706853866577148
1996-08-13,5.706853866577148
1996-08-14,5.806392192840576
1996-08-15,6.2045440673828125
1996-08-16,6.246017932891846
1996-08-19,6.2377238273620605
1996-08-20,6.038647174835205
1996-08-21,5.8727498054504395
1996-08-22,5.972289085388184
1996-08-23,5.756622791290283
1996-08-26,5.540956974029541
1996-08-27,5.740033149719238
1996-08-28,5.325291156768799
1996-08-29,4.976906776428223
1996-08-30,5.574135780334473
1996-09-03,5.789802074432373
1996-09-04,5.424829006195068
1996-09-05,5.308701038360596
1996-09-06,5.325291156768799
1996-09-09,5.209163188934326
1996-09-10,5.341879844665527
1996-09-11,5.3584699630737305
1996-09-12,5.341879844665527
1996-09-13,5.6404948234558105
1996-09-16,5.839570999145508
1996-09-17,6.005467891693115
1996-09-18,6.304081916809082
1996-09-19,6.337262153625488
1996-09-20,6.403621196746826
1996-09-23,6.4699788093566895
1996-09-24,6.304081916809082
1996-09-25,6.635876178741455
1996-09-26,6.635876178741455
1996-09-27,6.619287014007568
1996-09-30,6.8017730712890625
1996-10-01,6.4699788093566895
1996-10-02,6.403621196746826
1996-10-03,6.337262153625488
1996-10-04,6.4699788093566895
1996-10-07,6.353850841522217
1996-10-08,6.304081916809082
1996-10-09,5.839570999145508
1996-10-10,6.171364784240723
1996-10-11,6.105006217956543
1996-10-14,6.304081916809082
1996-10-15,6.635876178741455
1996-10-16,6.768593788146973
1996-10-17,6.768593788146973
1996-10-18,6.602696895599365
1996-10-21,6.536337852478027
1996-10-22,6.403621196746826
1996-10-23,6.403621196746826
1996-10-24,6.68564510345459
1996-10-25,6.669055938720703
1996-10-28,6.96766996383667
1996-10-29,7.166746139526367
1996-10-30,7.299464225769043
1996-10-31,7.332643032073975
1996-11-01,7.116977214813232
1996-11-04,6.702235221862793
1996-11-05,7.034029006958008
1996-11-06,7.316053867340088
1996-11-07,7.133566856384277
1996-11-08,7.0672078132629395
1996-11-11,7.034029006958008
1996-11-12,6.8681321144104
1996-11-13,6.901310920715332
1996-11-14,6.8681321144104
1996-11-15,7.017438888549805
1996-11-18,6.718824863433838
1996-11-19,6.403621196746826
1996-11-20,5.839570999145508
1996-11-21,5.6073150634765625
1996-11-22,5.8727498054504395
1996-11-25,6.105006217956543
1996-11-26,6.038647174835205
1996-11-27,6.005467891693115
1996-11-29,6.05523681640625
1996-12-02,6.022058010101318
1996-12-03,6.105006217956543
1996-12-04,6.403621196746826
1996-12-05,6.420209884643555
1996-12-06,6.071826934814453
1996-12-09,6.436800003051758
1996-12-10,6.503159046173096
1996-12-11,6.071826934814453
1996-12-12,5.77321195602417
1996-12-13,5.507777214050293
1996-12-16,5.375060081481934
1996-12-17,5.6736741065979
1996-12-18,5.806392192840576
1996-12-19,5.574135780334473
1996-12-20,5.308701038360596
1996-12-23,5.17598295211792
