,EQBK
2015-11-11,23.889999389648438
2015-11-12,24.149999618530273
2015-11-13,23.989999771118164
2015-11-16,24.209999084472656
2015-11-17,24.450000762939453
2015-11-18,24.170000076293945
2015-11-19,24.110000610351562
2015-11-20,24.100000381469727
2015-11-23,24.09000015258789
2015-11-24,24.1200008392334
2015-11-25,24.18000030517578
2015-11-27,24.09000015258789
2015-11-30,24.190000534057617
2015-12-01,24.239999771118164
2015-12-02,24.149999618530273
2015-12-03,24.0
2015-12-04,24.0
2015-12-07,24.0
2015-12-08,23.850000381469727
2015-12-09,23.860000610351562
2015-12-10,23.510000228881836
2015-12-11,23.0
2015-12-14,23.049999237060547
2015-12-15,23.65999984741211
2015-12-16,23.729999542236328
2015-12-17,23.799999237060547
2015-12-18,23.75
2015-12-21,23.6299991607666
2015-12-22,23.8700008392334
2015-12-23,24.360000610351562
2015-12-24,23.700000762939453
2015-12-28,23.360000610351562
2015-12-29,23.299999237060547
2015-12-30,23.299999237060547
2015-12-31,23.389999389648438
2016-01-04,23.229999542236328
2016-01-05,23.520000457763672
2016-01-06,23.93000030517578
2016-01-07,23.899999618530273
2016-01-08,23.84000015258789
2016-01-11,23.940000534057617
2016-01-12,23.93000030517578
2016-01-13,23.8799991607666
2016-01-14,23.469999313354492
2016-01-15,23.350000381469727
2016-01-19,22.719999313354492
2016-01-20,22.959999084472656
2016-01-21,22.790000915527344
2016-01-22,22.989999771118164
2016-01-25,22.09000015258789
2016-01-26,21.860000610351562
2016-01-27,20.799999237060547
2016-01-28,21.209999084472656
2016-01-29,22.0
2016-02-01,21.8799991607666
2016-02-02,21.75
2016-02-03,21.899999618530273
2016-02-04,22.100000381469727
2016-02-05,22.020000457763672
2016-02-08,22.110000610351562
2016-02-09,22.010000228881836
2016-02-10,21.059999465942383
2016-02-11,20.8799991607666
2016-02-12,20.770000457763672
2016-02-16,20.84000015258789
2016-02-17,20.649999618530273
2016-02-18,20.59000015258789
2016-02-19,20.739999771118164
2016-02-22,20.899999618530273
2016-02-23,20.90999984741211
2016-02-24,20.850000381469727
2016-02-25,20.989999771118164
2016-02-26,20.90999984741211
2016-02-29,20.889999389648438
2016-03-01,20.920000076293945
2016-03-02,20.889999389648438
2016-03-03,20.899999618530273
2016-03-04,20.780000686645508
2016-03-07,21.010000228881836
2016-03-08,20.959999084472656
2016-03-09,21.18000030517578
2016-03-10,20.969999313354492
2016-03-11,21.399999618530273
2016-03-14,21.469999313354492
2016-03-15,21.229999542236328
2016-03-16,21.049999237060547
2016-03-17,20.829999923706055
2016-03-18,21.31999969482422
2016-03-21,21.100000381469727
2016-03-22,21.190000534057617
2016-03-23,21.15999984741211
2016-03-24,21.020000457763672
2016-03-28,21.309999465942383
2016-03-29,20.739999771118164
2016-03-30,20.989999771118164
2016-03-31,21.0
2016-04-01,21.020000457763672
2016-04-04,21.0
2016-04-05,21.010000228881836
2016-04-06,21.010000228881836
2016-04-07,20.670000076293945
2016-04-08,21.049999237060547
2016-04-11,21.100000381469727
2016-04-12,20.959999084472656
2016-04-13,20.920000076293945
2016-04-14,20.81999969482422
2016-04-15,20.969999313354492
2016-04-18,20.950000762939453
2016-04-19,20.84000015258789
2016-04-20,20.979999542236328
2016-04-21,20.899999618530273
2016-04-22,21.049999237060547
