,BSY
2020-09-23,33.4900016784668
2020-09-24,32.0
2020-09-25,34.790000915527344
2020-09-28,32.119998931884766
2020-09-29,30.020000457763672
2020-09-30,31.399999618530273
2020-10-01,30.5
2020-10-02,30.170000076293945
2020-10-05,29.920000076293945
2020-10-06,30.190000534057617
2020-10-07,30.06999969482422
2020-10-08,30.3700008392334
2020-10-09,30.389999389648438
2020-10-12,32.18000030517578
2020-10-13,34.290000915527344
2020-10-14,37.16999816894531
2020-10-15,39.189998626708984
2020-10-16,39.9900016784668
2020-10-19,37.81999969482422
2020-10-20,38.22999954223633
2020-10-21,37.709999084472656
2020-10-22,35.5
2020-10-23,36.470001220703125
2020-10-26,36.41999816894531
2020-10-27,35.54999923706055
2020-10-28,34.20000076293945
2020-10-29,34.83000183105469
2020-10-30,35.060001373291016
2020-11-02,35.779998779296875
2020-11-03,35.959999084472656
2020-11-04,35.40999984741211
2020-11-05,36.689998626708984
2020-11-06,36.93000030517578
2020-11-09,37.84000015258789
2020-11-10,37.11000061035156
2020-11-11,33.9900016784668
2020-11-12,32.25
2020-11-13,33.099998474121094
2020-11-16,34.5
2020-11-17,35.369998931884766
2020-11-18,34.16999816894531
2020-11-19,35.119998931884766
2020-11-20,35.54999923706055
2020-11-23,35.13999938964844
2020-11-24,35.58000183105469
2020-11-25,35.66999816894531
2020-11-27,35.5
2020-11-30,35.27000045776367
2020-12-01,35.099998474121094
2020-12-02,34.47999954223633
2020-12-03,33.36000061035156
2020-12-04,34.15999984741211
2020-12-07,33.939998626708984
2020-12-08,34.31999969482422
2020-12-09,35.529998779296875
2020-12-10,36.2599983215332
2020-12-11,36.47999954223633
2020-12-14,36.25
2020-12-15,34.599998474121094
2020-12-16,35.65999984741211
2020-12-17,36.72999954223633
2020-12-18,37.40999984741211
2020-12-21,37.470001220703125
2020-12-22,38.86000061035156
2020-12-23,39.47999954223633
2020-12-24,38.47999954223633
2020-12-28,38.099998474121094
2020-12-29,38.54999923706055
2020-12-30,39.84000015258789
2020-12-31,40.5099983215332
2021-01-04,40.68000030517578
2021-01-05,42.79999923706055
2021-01-06,44.0
2021-01-07,46.34000015258789
2021-01-08,48.11000061035156
2021-01-11,49.150001525878906
2021-01-12,53.290000915527344
2021-01-13,52.0
2021-01-14,52.65999984741211
2021-01-15,51.56999969482422
2021-01-19,50.5
2021-01-20,47.619998931884766
2021-01-21,44.22999954223633
2021-01-22,45.849998474121094
2021-01-25,43.06999969482422
2021-01-26,42.189998626708984
2021-01-27,39.36000061035156
2021-01-28,41.459999084472656
2021-01-29,39.290000915527344
2021-02-01,42.650001525878906
2021-02-02,44.900001525878906
2021-02-03,45.59000015258789
2021-02-04,46.279998779296875
2021-02-05,46.68000030517578
2021-02-08,46.34000015258789
2021-02-09,46.79999923706055
2021-02-10,48.900001525878906
2021-02-11,47.689998626708984
2021-02-12,48.290000915527344
2021-02-16,48.540000915527344
2021-02-17,47.29999923706055
2021-02-18,46.59000015258789
2021-02-19,47.04999923706055
2021-02-22,46.040000915527344
2021-02-23,48.029998779296875
2021-02-24,49.7400016784668
2021-02-25,46.72999954223633
2021-02-26,44.36000061035156
2021-03-01,44.5
2021-03-02,45.970001220703125
2021-03-03,46.16999816894531
2021-03-04,46.029998779296875
2021-03-05,47.16999816894531
2021-03-08,42.95000076293945
2021-03-09,43.369998931884766
2021-03-10,44.7599983215332
2021-03-11,44.79999923706055
2021-03-12,46.83000183105469
2021-03-15,45.9900016784668
2021-03-16,44.15999984741211
2021-03-17,43.86000061035156
2021-03-18,42.630001068115234
2021-03-19,42.02000045776367
2021-03-22,43.90999984741211
2021-03-23,42.9900016784668
2021-03-24,42.58000183105469
2021-03-25,44.40999984741211
2021-03-26,44.529998779296875
2021-03-29,44.59000015258789
2021-03-30,45.31999969482422
2021-03-31,46.93000030517578
2021-04-01,47.939998626708984
2021-04-05,47.900001525878906
2021-04-06,48.11000061035156
2021-04-07,48.15999984741211
2021-04-08,48.97999954223633
2021-04-09,48.9900016784668
2021-04-12,49.869998931884766
2021-04-13,49.97999954223633
2021-04-14,49.869998931884766
2021-04-15,49.790000915527344
2021-04-16,50.650001525878906
2021-04-19,49.93000030517578
2021-04-20,49.709999084472656
2021-04-21,50.939998626708984
2021-04-22,50.400001525878906
2021-04-23,50.779998779296875
2021-04-26,51.619998931884766
2021-04-27,51.86000061035156
2021-04-28,51.66999816894531
2021-04-29,50.93000030517578
2021-04-30,51.20000076293945
2021-05-03,51.72999954223633
2021-05-04,50.66999816894531
2021-05-05,50.290000915527344
2021-05-06,48.349998474121094
2021-05-07,48.470001220703125
2021-05-10,45.619998931884766
2021-05-11,45.869998931884766
2021-05-12,49.31999969482422
2021-05-13,48.11000061035156
2021-05-14,49.959999084472656
