,AVAV
2007-01-23,23.93000030517578
2007-01-24,23.899999618530273
2007-01-25,23.600000381469727
2007-01-26,23.15999984741211
2007-01-29,22.8799991607666
2007-01-30,22.950000762939453
2007-01-31,22.8700008392334
2007-02-01,22.139999389648438
2007-02-02,22.06999969482422
2007-02-05,21.75
2007-02-06,21.950000762939453
2007-02-07,22.049999237060547
2007-02-08,22.030000686645508
2007-02-09,21.81999969482422
2007-02-12,21.25
2007-02-13,21.229999542236328
2007-02-14,21.040000915527344
2007-02-15,20.81999969482422
2007-02-16,21.06999969482422
2007-02-20,21.719999313354492
2007-02-21,22.1299991607666
2007-02-22,22.770000457763672
2007-02-23,23.100000381469727
2007-02-26,22.75
2007-02-27,21.979999542236328
2007-02-28,21.270000457763672
2007-03-01,21.75
2007-03-02,22.0
2007-03-05,21.0
2007-03-06,21.010000228881836
2007-03-07,20.760000228881836
2007-03-08,21.43000030517578
2007-03-09,23.5
2007-03-12,23.489999771118164
2007-03-13,23.290000915527344
2007-03-14,23.469999313354492
2007-03-15,23.5
2007-03-16,23.110000610351562
2007-03-19,23.979999542236328
2007-03-20,23.770000457763672
2007-03-21,23.579999923706055
2007-03-22,23.610000610351562
2007-03-23,23.81999969482422
2007-03-26,23.420000076293945
2007-03-27,23.399999618530273
2007-03-28,23.209999084472656
2007-03-29,23.6299991607666
2007-03-30,22.860000610351562
2007-04-02,22.399999618530273
2007-04-03,22.889999389648438
2007-04-04,22.940000534057617
2007-04-05,23.0
2007-04-09,22.829999923706055
2007-04-10,22.829999923706055
2007-04-11,22.31999969482422
2007-04-12,22.5
2007-04-13,22.5
2007-04-16,22.770000457763672
2007-04-17,23.6299991607666
2007-04-18,23.459999084472656
2007-04-19,23.3700008392334
2007-04-20,23.200000762939453
2007-04-23,22.90999984741211
2007-04-24,22.8799991607666
2007-04-25,22.93000030517578
2007-04-26,22.68000030517578
2007-04-27,22.219999313354492
2007-04-30,21.399999618530273
2007-05-01,21.520000457763672
2007-05-02,21.3700008392334
2007-05-03,21.68000030517578
2007-05-04,22.040000915527344
2007-05-07,22.309999465942383
2007-05-08,22.600000381469727
2007-05-09,22.260000228881836
2007-05-10,21.239999771118164
2007-05-11,21.6200008392334
2007-05-14,20.889999389648438
2007-05-15,20.440000534057617
2007-05-16,20.979999542236328
2007-05-17,20.860000610351562
2007-05-18,20.889999389648438
2007-05-21,21.0
2007-05-22,21.34000015258789
2007-05-23,20.940000534057617
2007-05-24,20.450000762939453
2007-05-25,20.559999465942383
2007-05-29,21.1200008392334
2007-05-30,21.209999084472656
2007-05-31,20.760000228881836
2007-06-01,20.479999542236328
2007-06-04,21.31999969482422
2007-06-05,21.540000915527344
2007-06-06,21.360000610351562
2007-06-07,20.81999969482422
2007-06-08,20.40999984741211
2007-06-11,20.479999542236328
2007-06-12,20.75
2007-06-13,22.010000228881836
2007-06-14,22.520000457763672
2007-06-15,23.389999389648438
2007-06-18,23.170000076293945
2007-06-19,22.6299991607666
2007-06-20,22.25
2007-06-21,22.3799991607666
2007-06-22,22.18000030517578
2007-06-25,21.719999313354492
2007-06-26,22.75
2007-06-27,22.15999984741211
2007-06-28,21.0
2007-06-29,20.610000610351562
2007-07-02,20.920000076293945
2007-07-03,20.559999465942383
2007-07-05,20.989999771118164
2007-07-06,21.239999771118164
2007-07-09,21.729999542236328
2007-07-10,21.100000381469727
2007-07-11,20.700000762939453
2007-07-12,20.479999542236328
2007-07-13,20.0
2007-07-16,21.100000381469727
