,CSWI
2015-09-30,30.0
2015-10-01,30.799999237060547
2015-10-02,32.25
2015-10-05,32.59000015258789
2015-10-06,32.7400016784668
2015-10-07,32.68000030517578
2015-10-08,32.13999938964844
2015-10-09,33.79999923706055
2015-10-12,34.0
2015-10-13,34.400001525878906
2015-10-14,34.22999954223633
2015-10-15,34.400001525878906
2015-10-16,34.5
2015-10-19,34.349998474121094
2015-10-20,34.25
2015-10-21,34.9900016784668
2015-10-22,35.0
2015-10-23,35.41999816894531
2015-10-26,36.540000915527344
2015-10-27,37.0
2015-10-28,35.83000183105469
2015-10-29,35.7599983215332
2015-10-30,36.0099983215332
2015-11-02,36.099998474121094
2015-11-03,35.75
2015-11-04,35.720001220703125
2015-11-05,35.95000076293945
2015-11-06,36.220001220703125
2015-11-09,36.099998474121094
2015-11-10,36.61000061035156
2015-11-11,36.86000061035156
2015-11-12,37.810001373291016
2015-11-13,37.939998626708984
2015-11-16,37.439998626708984
2015-11-17,36.86000061035156
2015-11-18,35.9900016784668
2015-11-19,36.83000183105469
2015-11-20,36.95000076293945
2015-11-23,36.720001220703125
2015-11-24,36.779998779296875
2015-11-25,36.63999938964844
2015-11-27,36.970001220703125
2015-11-30,36.66999816894531
2015-12-01,36.59000015258789
2015-12-02,36.290000915527344
2015-12-03,36.47999954223633
2015-12-04,36.25
2015-12-07,37.27000045776367
2015-12-08,37.540000915527344
2015-12-09,37.63999938964844
2015-12-10,38.04999923706055
2015-12-11,37.959999084472656
2015-12-14,38.900001525878906
2015-12-15,38.7400016784668
2015-12-16,38.22999954223633
2015-12-17,38.11000061035156
2015-12-18,36.959999084472656
2015-12-21,37.290000915527344
2015-12-22,37.529998779296875
2015-12-23,37.540000915527344
2015-12-24,37.7599983215332
2015-12-28,38.060001373291016
2015-12-29,37.560001373291016
2015-12-30,36.79499816894531
2015-12-31,37.66999816894531
2016-01-04,37.29999923706055
2016-01-05,36.79999923706055
2016-01-06,35.779998779296875
2016-01-07,35.52000045776367
2016-01-08,36.060001373291016
2016-01-11,35.86000061035156
2016-01-12,35.209999084472656
2016-01-13,34.790000915527344
2016-01-14,33.9900016784668
2016-01-15,34.189998626708984
2016-01-19,33.2599983215332
2016-01-20,32.970001220703125
2016-01-21,33.040000915527344
2016-01-22,33.75
2016-01-25,34.0
2016-01-26,34.040000915527344
2016-01-27,33.4900016784668
2016-01-28,33.9900016784668
2016-01-29,34.08000183105469
2016-02-01,34.400001525878906
2016-02-02,33.880001068115234
2016-02-03,33.779998779296875
2016-02-04,34.06999969482422
2016-02-05,33.40999984741211
2016-02-08,32.0
2016-02-09,31.719999313354492
2016-02-10,32.279998779296875
2016-02-11,32.189998626708984
2016-02-12,32.20000076293945
2016-02-16,29.860000610351562
2016-02-17,29.450000762939453
2016-02-18,29.149999618530273
2016-02-19,28.850000381469727
2016-02-22,28.389999389648438
2016-02-23,29.0
2016-02-24,29.110000610351562
2016-02-25,29.6299991607666
2016-02-26,29.549999237060547
2016-02-29,30.5
2016-03-01,30.489999771118164
2016-03-02,29.989999771118164
2016-03-03,29.969999313354492
2016-03-04,30.280000686645508
2016-03-07,30.030000686645508
2016-03-08,29.979999542236328
2016-03-09,30.270000457763672
2016-03-10,30.280000686645508
2016-03-11,30.989999771118164
2016-03-14,30.989999771118164
2016-03-15,30.90999984741211
2016-03-16,30.790000915527344
2016-03-17,31.1299991607666
2016-03-18,31.0
2016-03-21,30.90999984741211
2016-03-22,30.989999771118164
2016-03-23,30.940000534057617
2016-03-24,30.959999084472656
2016-03-28,31.0
2016-03-29,30.809999465942383
2016-03-30,31.850000381469727
2016-03-31,31.5
2016-04-01,31.239999771118164
2016-04-04,31.190000534057617
2016-04-05,30.959999084472656
2016-04-06,31.18000030517578
2016-04-07,31.920000076293945
2016-04-08,31.59000015258789
2016-04-11,31.979999542236328
2016-04-12,31.920000076293945
2016-04-13,32.029998779296875
2016-04-14,32.0
2016-04-15,32.22999954223633
2016-04-18,32.29999923706055
2016-04-19,32.16999816894531
2016-04-20,32.540000915527344
2016-04-21,32.02000045776367
2016-04-22,32.13999938964844
2016-04-25,31.860000610351562
2016-04-26,32.0
2016-04-27,32.16999816894531
2016-04-28,32.31999969482422
2016-04-29,32.560001373291016
2016-05-02,32.36000061035156
2016-05-03,32.4900016784668
