,ACLS
2000-07-11,95.75
2000-07-12,103.5
2000-07-13,102.0
2000-07-14,100.75
2000-07-17,96.5
2000-07-18,101.0
2000-07-19,96.0
2000-07-20,92.5
2000-07-21,77.25
2000-07-24,67.5
2000-07-25,74.0
2000-07-26,74.0
2000-07-27,66.25
2000-07-28,61.5
2000-07-31,74.0
2000-08-01,66.5
2000-08-02,66.0
2000-08-03,64.5
2000-08-04,65.5
2000-08-07,67.0
2000-08-08,62.25
2000-08-09,60.75
2000-08-10,59.25
2000-08-11,58.0
2000-08-14,61.75
2000-08-15,71.75
2000-08-16,71.0
2000-08-17,74.25
2000-08-18,73.5
2000-08-21,75.75
2000-08-22,77.25
2000-08-23,75.0
2000-08-24,79.75
2000-08-25,77.5
2000-08-28,74.5
2000-08-29,76.5
2000-08-30,73.25
2000-08-31,72.25
2000-09-01,74.0
2000-09-05,71.5
2000-09-06,67.5
2000-09-07,74.75
2000-09-08,69.5
2000-09-11,67.0
2000-09-12,63.75
2000-09-13,63.0
2000-09-14,65.5
2000-09-15,62.0
2000-09-18,60.0
2000-09-19,59.75
2000-09-20,56.75
2000-09-21,51.5
2000-09-22,47.75
2000-09-25,49.25
2000-09-26,46.5
2000-09-27,47.75
2000-09-28,47.0
2000-09-29,47.5
2000-10-02,44.75
2000-10-03,42.75
2000-10-04,44.0
2000-10-05,39.5
2000-10-06,36.5
2000-10-09,34.25
2000-10-10,30.5
2000-10-11,32.0
2000-10-12,34.25
2000-10-13,40.5
2000-10-16,41.5
2000-10-17,35.0
2000-10-18,35.25
2000-10-19,38.0
2000-10-20,43.0
2000-10-23,43.25
2000-10-24,40.75
2000-10-25,39.0
2000-10-26,40.75
2000-10-27,39.75
2000-10-30,40.0
2000-10-31,43.0
2000-11-01,42.5
2000-11-02,42.0
2000-11-03,41.0
2000-11-06,41.75
2000-11-07,41.0
2000-11-08,39.25
2000-11-09,38.5
2000-11-10,35.25
2000-11-13,32.5
2000-11-14,34.0
2000-11-15,34.125
2000-11-16,32.0
2000-11-17,31.0
2000-11-20,33.0
2000-11-21,32.875
2000-11-22,32.25
2000-11-24,33.5
2000-11-27,33.0
2000-11-28,30.5
2000-11-29,28.25
2000-11-30,28.0
2000-12-01,28.75
2000-12-04,28.5
2000-12-05,30.75
2000-12-06,30.0
2000-12-07,28.75
2000-12-08,33.375
2000-12-11,42.0
2000-12-12,38.875
2000-12-13,35.75
2000-12-14,35.25
2000-12-15,35.0
2000-12-18,36.0
2000-12-19,33.75
2000-12-20,33.25
2000-12-21,34.0
2000-12-22,34.25
2000-12-26,32.5
2000-12-27,32.75
2000-12-28,31.5
2000-12-29,35.5
2001-01-02,34.625
2001-01-03,37.0
2001-01-04,38.5
2001-01-05,35.0
2001-01-08,33.75
2001-01-09,34.25
2001-01-10,35.25
2001-01-11,42.5
2001-01-12,42.25
2001-01-16,43.0
2001-01-17,47.25
2001-01-18,51.5
2001-01-19,46.5
2001-01-22,44.5
2001-01-23,44.0
2001-01-24,43.5
2001-01-25,43.5
2001-01-26,41.0
2001-01-29,43.0
2001-01-30,42.75
2001-01-31,44.75
2001-02-01,43.5
2001-02-02,43.25
2001-02-05,43.75
2001-02-06,42.75
2001-02-07,42.5
2001-02-08,41.75
2001-02-09,42.0
2001-02-12,43.75
2001-02-13,41.75
2001-02-14,43.0
2001-02-15,43.75
2001-02-16,44.5
2001-02-20,42.25
2001-02-21,41.25
2001-02-22,40.75
2001-02-23,41.75
2001-02-26,47.0
2001-02-27,40.375
2001-02-28,36.875
2001-03-01,40.25
2001-03-02,41.5
2001-03-05,41.75
2001-03-06,44.75
2001-03-07,44.0
2001-03-08,44.75
2001-03-09,44.5
2001-03-12,45.0
2001-03-13,46.0
2001-03-14,45.75
2001-03-15,44.0
2001-03-16,38.0
2001-03-19,39.75
2001-03-20,40.75
2001-03-21,43.25
2001-03-22,44.25
2001-03-23,45.5
2001-03-26,45.5
2001-03-27,50.5
2001-03-28,46.5
2001-03-29,44.25
2001-03-30,46.25
2001-04-02,42.0
2001-04-03,37.5
2001-04-04,39.5
2001-04-05,47.25
2001-04-06,46.5
2001-04-09,47.0
2001-04-10,48.79999923706055
2001-04-11,50.279998779296875
2001-04-12,52.20000076293945
2001-04-16,52.400001525878906
2001-04-17,52.20000076293945
2001-04-18,53.599998474121094
2001-04-19,58.91999816894531
2001-04-20,59.08000183105469
2001-04-23,59.599998474121094
2001-04-24,59.84000015258789
2001-04-25,58.400001525878906
2001-04-26,59.0
2001-04-27,59.20000076293945
2001-04-30,60.040000915527344
2001-05-01,60.040000915527344
2001-05-02,62.31999969482422
2001-05-03,61.439998626708984
2001-05-04,57.400001525878906
2001-05-07,58.400001525878906
2001-05-08,62.36000061035156
2001-05-09,67.76000213623047
2001-05-10,64.4000015258789
2001-05-11,65.27999877929688
2001-05-14,62.36000061035156
2001-05-15,66.4800033569336
2001-05-16,71.55999755859375
2001-05-17,73.55999755859375
2001-05-18,71.27999877929688
2001-05-21,70.72000122070312
2001-05-22,70.80000305175781
2001-05-23,65.04000091552734
2001-05-24,66.5199966430664
2001-05-25,67.63999938964844
2001-05-29,61.08000183105469
2001-05-30,54.20000076293945
2001-05-31,59.439998626708984
2001-06-01,62.36000061035156
2001-06-04,61.52000045776367
2001-06-05,65.5999984741211
2001-06-06,64.4800033569336
2001-06-07,71.63999938964844
2001-06-08,67.55999755859375
2001-06-11,67.4000015258789
2001-06-12,63.08000183105469
2001-06-13,62.400001525878906
2001-06-14,57.79999923706055
2001-06-15,57.31999969482422
2001-06-18,58.400001525878906
2001-06-19,56.959999084472656
2001-06-20,57.7599983215332
2001-06-21,55.7599983215332
2001-06-22,57.52000045776367
2001-06-25,59.599998474121094
2001-06-26,57.400001525878906
2001-06-27,56.68000030517578
2001-06-28,60.7599983215332
2001-06-29,59.20000076293945
2001-07-02,56.36000061035156
2001-07-03,53.599998474121094
2001-07-05,56.52000045776367
2001-07-06,53.400001525878906
2001-07-09,54.040000915527344
2001-07-10,51.560001373291016
2001-07-11,51.959999084472656
2001-07-12,54.0
2001-07-13,55.84000015258789
2001-07-16,51.279998779296875
2001-07-17,53.2400016784668
2001-07-18,55.7599983215332
2001-07-19,55.47999954223633
2001-07-20,55.439998626708984
2001-07-23,57.15999984741211
2001-07-24,56.20000076293945
2001-07-25,54.7599983215332
2001-07-26,54.08000183105469
2001-07-27,56.15999984741211
2001-07-30,56.400001525878906
2001-07-31,56.68000030517578
2001-08-01,59.400001525878906
2001-08-02,61.0
2001-08-03,60.439998626708984
2001-08-06,59.52000045776367
2001-08-07,55.63999938964844
2001-08-08,51.91999816894531
2001-08-09,53.040000915527344
2001-08-10,54.040000915527344
2001-08-13,55.91999816894531
2001-08-14,55.2400016784668
2001-08-15,55.439998626708984
2001-08-16,55.880001068115234
2001-08-17,54.040000915527344
2001-08-20,53.880001068115234
2001-08-21,52.439998626708984
2001-08-22,53.0
2001-08-23,56.36000061035156
2001-08-24,59.400001525878906
2001-08-27,58.439998626708984
2001-08-28,56.400001525878906
2001-08-29,55.880001068115234
2001-08-30,56.279998779296875
2001-08-31,55.79999923706055
2001-09-04,55.279998779296875
2001-09-05,56.040000915527344
2001-09-06,55.040000915527344
2001-09-07,55.79999923706055
2001-09-10,52.599998474121094
2001-09-17,47.880001068115234
2001-09-18,47.959999084472656
2001-09-19,43.20000076293945
2001-09-20,39.959999084472656
2001-09-21,36.0
2001-09-24,39.0
2001-09-25,40.84000015258789
2001-09-26,38.15999984741211
2001-09-27,35.08000183105469
2001-09-28,37.79999923706055
2001-10-01,36.040000915527344
2001-10-02,36.20000076293945
2001-10-03,41.31999969482422
2001-10-04,40.880001068115234
2001-10-05,39.560001373291016
2001-10-08,42.7599983215332
2001-10-09,42.040000915527344
2001-10-10,45.040000915527344
2001-10-11,48.84000015258789
2001-10-12,48.040000915527344
2001-10-15,42.84000015258789
2001-10-16,42.63999938964844
2001-10-17,42.0
2001-10-18,40.20000076293945
2001-10-19,41.400001525878906
2001-10-22,45.119998931884766
2001-10-23,45.880001068115234
2001-10-24,46.0
2001-10-25,51.47999954223633
2001-10-26,53.0
2001-10-29,50.040000915527344
2001-10-30,48.400001525878906
2001-10-31,52.439998626708984
2001-11-01,55.560001373291016
2001-11-02,55.599998474121094
2001-11-05,56.0
2001-11-06,55.52000045776367
2001-11-07,55.0
2001-11-08,54.880001068115234
2001-11-09,51.20000076293945
2001-11-12,50.20000076293945
2001-11-13,53.959999084472656
2001-11-14,53.52000045776367
2001-11-15,54.119998931884766
2001-11-16,54.68000030517578
2001-11-19,55.0
2001-11-20,52.400001525878906
2001-11-21,52.279998779296875
2001-11-23,52.63999938964844
2001-11-26,54.63999938964844
2001-11-27,56.400001525878906
2001-11-28,52.84000015258789
2001-11-29,54.720001220703125
2001-11-30,54.439998626708984
2001-12-03,52.79999923706055
2001-12-04,56.720001220703125
2001-12-05,59.63999938964844
2001-12-06,59.439998626708984
2001-12-07,56.400001525878906
2001-12-10,56.08000183105469
2001-12-11,57.880001068115234
2001-12-12,56.47999954223633
2001-12-13,52.47999954223633
2001-12-14,53.560001373291016
2001-12-17,57.279998779296875
2001-12-18,57.599998474121094
2001-12-19,55.31999969482422
2001-12-20,54.68000030517578
2001-12-21,54.63999938964844
2001-12-24,54.959999084472656
2001-12-26,52.91999816894531
2001-12-27,54.20000076293945
2001-12-28,52.400001525878906
2001-12-31,51.560001373291016
2002-01-02,52.79999923706055
2002-01-03,58.84000015258789
2002-01-04,64.16000366210938
2002-01-07,60.959999084472656
2002-01-08,61.400001525878906
2002-01-09,59.560001373291016
2002-01-10,58.400001525878906
2002-01-11,58.2400016784668
2002-01-14,59.15999984741211
2002-01-15,58.959999084472656
2002-01-16,53.91999816894531
2002-01-17,53.400001525878906
2002-01-18,52.63999938964844
2002-01-22,50.560001373291016
2002-01-23,52.880001068115234
2002-01-24,52.79999923706055
2002-01-25,52.400001525878906
2002-01-28,53.7599983215332
2002-01-29,51.47999954223633
2002-01-30,52.84000015258789
2002-01-31,54.959999084472656
2002-02-01,53.880001068115234
2002-02-04,52.79999923706055
2002-02-05,50.36000061035156
2002-02-06,48.84000015258789
2002-02-07,48.0
2002-02-08,49.0
2002-02-11,50.560001373291016
2002-02-12,49.0
2002-02-13,50.91999816894531
2002-02-14,50.119998931884766
2002-02-15,48.84000015258789
2002-02-19,47.439998626708984
2002-02-20,48.91999816894531
2002-02-21,45.91999816894531
2002-02-22,45.36000061035156
2002-02-25,47.959999084472656
2002-02-26,47.15999984741211
2002-02-27,49.400001525878906
2002-02-28,48.84000015258789
2002-03-01,53.31999969482422
2002-03-04,54.560001373291016
2002-03-05,55.599998474121094
2002-03-06,56.36000061035156
2002-03-07,56.79999923706055
2002-03-08,58.0
2002-03-11,55.560001373291016
2002-03-12,54.599998474121094
2002-03-13,51.68000030517578
2002-03-14,53.20000076293945
2002-03-15,53.720001220703125
2002-03-18,54.119998931884766
2002-03-19,52.720001220703125
2002-03-20,51.439998626708984
2002-03-21,53.040000915527344
2002-03-22,53.2400016784668
2002-03-25,53.0
2002-03-26,54.36000061035156
2002-03-27,54.36000061035156
2002-03-28,57.20000076293945
2002-04-01,57.2400016784668
2002-04-02,55.279998779296875
2002-04-03,55.0
2002-04-04,55.7599983215332
2002-04-05,53.68000030517578
2002-04-08,52.79999923706055
2002-04-09,52.400001525878906
2002-04-10,54.040000915527344
2002-04-11,54.08000183105469
2002-04-12,55.79999923706055
2002-04-15,55.439998626708984
2002-04-16,60.599998474121094
2002-04-17,60.400001525878906
2002-04-18,55.880001068115234
2002-04-19,58.36000061035156
2002-04-22,57.2400016784668
2002-04-23,57.400001525878906
2002-04-24,57.15999984741211
2002-04-25,58.47999954223633
2002-04-26,57.0
2002-04-29,56.279998779296875
2002-04-30,57.599998474121094
2002-05-01,57.15999984741211
2002-05-02,54.91999816894531
2002-05-03,54.2400016784668
2002-05-06,53.720001220703125
2002-05-07,52.79999923706055
2002-05-08,58.279998779296875
2002-05-09,55.400001525878906
2002-05-10,53.119998931884766
2002-05-13,56.0
2002-05-14,61.439998626708984
2002-05-15,59.720001220703125
2002-05-16,60.0
2002-05-17,59.119998931884766
2002-05-20,57.959999084472656
2002-05-21,55.7599983215332
2002-05-22,56.040000915527344
2002-05-23,54.880001068115234
2002-05-24,51.68000030517578
2002-05-28,52.7599983215332
2002-05-29,50.599998474121094
2002-05-30,49.36000061035156
2002-05-31,49.15999984741211
2002-06-03,45.79999923706055
2002-06-04,45.2400016784668
2002-06-05,44.2400016784668
2002-06-06,42.79999923706055
2002-06-07,42.79999923706055
2002-06-10,42.599998474121094
2002-06-11,39.20000076293945
2002-06-12,40.0
2002-06-13,41.0
2002-06-14,43.880001068115234
2002-06-17,47.36000061035156
