,DISAU
2021-03-24,9.84000015258789
2021-03-25,9.829999923706055
2021-03-26,9.850000381469727
2021-03-29,9.899999618530273
2021-03-30,9.880000114440918
2021-03-31,9.880000114440918
2021-04-01,9.930000305175781
2021-04-05,9.949999809265137
2021-04-06,9.920000076293945
2021-04-07,9.930000305175781
2021-04-08,9.970000267028809
2021-04-09,9.970000267028809
2021-04-12,9.970000267028809
2021-04-13,9.970000267028809
2021-04-14,9.949999809265137
2021-04-15,9.970000267028809
2021-04-16,9.989999771118164
2021-04-19,9.9399995803833
2021-04-20,9.960000038146973
2021-04-21,9.949999809265137
2021-04-22,9.949999809265137
2021-04-23,9.949999809265137
2021-04-26,9.949999809265137
2021-04-27,9.960000038146973
2021-04-28,9.989999771118164
2021-04-29,9.989999771118164
2021-04-30,9.958999633789062
2021-05-03,10.0
2021-05-04,9.970000267028809
2021-05-05,9.989999771118164
2021-05-06,9.989999771118164
2021-05-07,9.996000289916992
2021-05-10,9.980999946594238
2021-05-11,9.980999946594238
2021-05-12,9.949999809265137
2021-05-13,9.970999717712402
2021-05-14,9.979999542236328
