,BGS
2007-05-23,13.260000228881836
2007-05-24,13.699999809265137
2007-05-25,13.600000381469727
2007-05-29,13.710000038146973
2007-05-30,13.550000190734863
2007-05-31,13.520000457763672
2007-06-01,13.710000038146973
2007-06-04,13.649999618530273
2007-06-05,13.739999771118164
2007-06-06,13.699999809265137
2007-06-07,13.720000267028809
2007-06-08,13.850000381469727
2007-06-11,13.510000228881836
2007-06-12,13.25
2007-06-13,13.460000038146973
2007-06-14,13.479999542236328
2007-06-15,13.640000343322754
2007-06-18,13.5
2007-06-19,13.899999618530273
2007-06-20,13.529999732971191
2007-06-21,13.59000015258789
2007-06-22,13.680000305175781
2007-06-25,13.350000381469727
2007-06-26,13.399999618530273
2007-06-27,13.300000190734863
2007-06-28,13.149999618530273
2007-06-29,13.199999809265137
2007-07-02,13.25
2007-07-03,13.270000457763672
2007-07-05,13.350000381469727
2007-07-06,13.430000305175781
2007-07-09,13.3100004196167
2007-07-10,13.550000190734863
2007-07-11,13.579999923706055
2007-07-12,13.600000381469727
2007-07-13,13.699999809265137
2007-07-16,13.75
2007-07-17,13.789999961853027
2007-07-18,13.75
2007-07-19,13.75
2007-07-20,14.0600004196167
2007-07-23,13.8100004196167
2007-07-24,13.630000114440918
2007-07-25,13.800000190734863
2007-07-26,13.489999771118164
2007-07-27,13.520000457763672
2007-07-30,13.5
2007-07-31,13.3100004196167
2007-08-01,13.479999542236328
2007-08-02,13.460000038146973
2007-08-03,13.300000190734863
2007-08-06,13.390000343322754
2007-08-07,13.399999618530273
2007-08-08,13.460000038146973
2007-08-09,13.010000228881836
2007-08-10,13.170000076293945
2007-08-13,13.289999961853027
2007-08-14,12.579999923706055
2007-08-15,12.920000076293945
2007-08-16,12.539999961853027
2007-08-17,12.529999732971191
2007-08-20,12.4399995803833
2007-08-21,12.449999809265137
2007-08-22,12.569999694824219
2007-08-23,12.699999809265137
2007-08-24,12.699999809265137
2007-08-27,12.520000457763672
2007-08-28,12.5
2007-08-29,12.550000190734863
2007-08-30,12.670000076293945
2007-08-31,12.789999961853027
2007-09-04,13.050000190734863
2007-09-05,13.100000381469727
2007-09-06,13.100000381469727
2007-09-07,13.3100004196167
2007-09-10,13.140000343322754
2007-09-11,13.220000267028809
2007-09-12,13.239999771118164
2007-09-13,13.199999809265137
2007-09-14,13.300000190734863
2007-09-17,13.289999961853027
2007-09-18,13.220000267028809
2007-09-19,13.350000381469727
2007-09-20,13.350000381469727
2007-09-21,13.399999618530273
2007-09-24,13.399999618530273
2007-09-25,13.239999771118164
2007-09-26,13.0
2007-09-27,12.880000114440918
2007-09-28,12.800000190734863
2007-10-01,12.760000228881836
2007-10-02,12.699999809265137
2007-10-03,12.350000381469727
2007-10-04,12.609999656677246
2007-10-05,12.989999771118164
2007-10-08,12.880000114440918
2007-10-09,12.899999618530273
2007-10-10,12.90999984741211
2007-10-11,12.920000076293945
2007-10-12,12.9399995803833
2007-10-15,13.079999923706055
2007-10-16,13.029999732971191
2007-10-17,12.970000267028809
2007-10-18,12.859999656677246
2007-10-19,12.699999809265137
2007-10-22,12.319999694824219
2007-10-23,12.279999732971191
2007-10-24,12.319999694824219
2007-10-25,12.3100004196167
2007-10-26,12.279999732971191
2007-10-29,12.039999961853027
2007-10-30,11.609999656677246
2007-10-31,11.960000038146973
2007-11-01,12.0
2007-11-02,11.920000076293945
2007-11-05,11.65999984741211
2007-11-06,11.609999656677246
2007-11-07,11.59000015258789
2007-11-08,10.989999771118164
2007-11-09,10.640000343322754
2007-11-12,11.0
2007-11-13,11.25
2007-11-14,11.399999618530273
2007-11-15,11.739999771118164
2007-11-16,11.600000381469727
2007-11-19,11.5600004196167
2007-11-20,11.1899995803833
2007-11-21,10.630000114440918
2007-11-23,10.430000305175781
2007-11-26,10.149999618530273
2007-11-27,10.1899995803833
2007-11-28,10.4399995803833
2007-11-29,10.569999694824219
2007-11-30,10.6899995803833
2007-12-03,10.600000381469727
2007-12-04,10.289999961853027
2007-12-05,10.199999809265137
2007-12-06,10.4399995803833
2007-12-07,10.539999961853027
2007-12-10,10.720000267028809
2007-12-11,10.4399995803833
2007-12-12,10.109999656677246
2007-12-13,10.029999732971191
2007-12-14,9.869999885559082
2007-12-17,9.970000267028809
2007-12-18,10.170000076293945
2007-12-19,10.989999771118164
2007-12-20,10.079999923706055
2007-12-21,10.279999732971191
2007-12-24,10.260000228881836
2007-12-26,10.430000305175781
2007-12-27,10.069999694824219
2007-12-28,10.069999694824219
2007-12-31,10.210000038146973
2008-01-02,10.109999656677246
2008-01-03,10.079999923706055
2008-01-04,9.819999694824219
2008-01-07,10.079999923706055
2008-01-08,9.9399995803833
2008-01-09,9.850000381469727
2008-01-10,10.399999618530273
2008-01-11,10.399999618530273
2008-01-14,10.430000305175781
2008-01-15,10.100000381469727
2008-01-16,10.229999542236328
2008-01-17,10.010000228881836
2008-01-18,9.680000305175781
2008-01-22,9.649999618530273
2008-01-23,9.899999618530273
2008-01-24,10.0
2008-01-25,9.970000267028809
2008-01-28,9.819999694824219
2008-01-29,9.84000015258789
2008-01-30,9.90999984741211
2008-01-31,9.920000076293945
2008-02-01,9.899999618530273
2008-02-04,10.0
2008-02-05,9.760000228881836
2008-02-06,9.420000076293945
2008-02-07,9.199999809265137
2008-02-08,9.210000038146973
2008-02-11,9.420000076293945
2008-02-12,9.59000015258789
2008-02-13,9.6899995803833
2008-02-14,9.619999885559082
2008-02-15,9.5
2008-02-19,9.609999656677246
2008-02-20,9.699999809265137
2008-02-21,9.569999694824219
2008-02-22,9.75
2008-02-25,9.90999984741211
2008-02-26,10.0
2008-02-27,10.0
2008-02-28,9.829999923706055
2008-02-29,9.9399995803833
2008-03-03,9.960000038146973
2008-03-04,9.90999984741211
2008-03-05,9.819999694824219
2008-03-06,10.100000381469727
2008-03-07,10.0
2008-03-10,9.510000228881836
2008-03-11,9.890000343322754
2008-03-12,10.020000457763672
2008-03-13,10.0600004196167
