,CTIC
1997-03-21,123000.0
1997-03-24,123000.0
1997-03-25,124500.0
1997-03-26,120000.0
1997-03-27,120000.0
1997-03-31,120000.0
1997-04-01,120750.0
1997-04-02,121500.0
1997-04-03,120000.0
1997-04-04,120000.0
1997-04-07,120000.0
1997-04-08,120000.0
1997-04-09,120000.0
1997-04-10,120000.0
1997-04-11,120000.0
1997-04-14,120000.0
1997-04-15,105000.0
1997-04-16,94500.0
1997-04-17,96000.0
1997-04-18,102000.0
1997-04-21,101250.0
1997-04-22,103500.0
1997-04-23,105000.0
1997-04-24,103500.0
1997-04-25,100500.0
1997-04-28,100500.0
1997-04-29,100500.0
1997-04-30,100500.0
1997-05-01,97500.0
1997-05-02,105000.0
1997-05-05,117000.0
1997-05-06,108000.0
1997-05-07,102000.0
1997-05-08,102000.0
1997-05-09,106500.0
1997-05-12,111000.0
1997-05-13,111000.0
1997-05-14,111000.0
1997-05-15,111000.0
1997-05-16,117000.0
1997-05-19,112500.0
1997-05-20,114000.0
1997-05-21,115500.0
1997-05-22,118500.0
1997-05-23,124500.0
1997-05-27,130500.0
1997-05-28,138000.0
1997-05-29,138000.0
1997-05-30,147000.0
1997-06-02,150000.0
1997-06-03,153000.0
1997-06-04,147000.0
1997-06-05,139500.0
1997-06-06,144000.0
1997-06-09,138000.0
1997-06-10,135000.0
1997-06-11,133500.0
1997-06-12,133500.0
1997-06-13,136500.0
1997-06-16,139500.0
1997-06-17,141000.0
1997-06-18,135000.0
1997-06-19,132000.0
1997-06-20,132000.0
1997-06-23,144000.0
1997-06-24,141000.0
1997-06-25,138000.0
1997-06-26,138000.0
1997-06-27,127500.0
1997-06-30,133500.0
1997-07-01,141000.0
1997-07-02,135000.0
1997-07-03,136500.0
1997-07-07,135000.0
1997-07-08,132000.0
1997-07-09,129000.0
1997-07-10,130500.0
1997-07-11,132000.0
1997-07-14,133500.0
1997-07-15,139500.0
1997-07-16,148500.0
1997-07-17,157500.0
1997-07-18,148500.0
1997-07-21,144000.0
1997-07-22,145500.0
1997-07-23,145500.0
1997-07-24,147000.0
1997-07-25,147000.0
1997-07-28,147750.0
1997-07-29,150000.0
1997-07-30,157500.0
1997-07-31,160500.0
1997-08-01,165000.0
1997-08-04,159000.0
1997-08-05,160500.0
1997-08-06,159000.0
1997-08-07,160500.0
1997-08-08,165000.0
1997-08-11,162750.0
1997-08-12,168000.0
1997-08-13,166500.0
1997-08-14,160500.0
1997-08-15,160500.0
1997-08-18,159750.0
1997-08-19,158250.0
1997-08-20,157500.0
1997-08-21,160500.0
1997-08-22,160500.0
1997-08-25,159000.0
1997-08-26,159000.0
1997-08-27,160500.0
1997-08-28,158250.0
1997-08-29,157500.0
1997-09-02,157500.0
1997-09-03,160500.0
1997-09-04,159000.0
1997-09-05,159000.0
1997-09-08,159000.0
1997-09-09,159000.0
1997-09-10,160500.0
1997-09-11,160500.0
1997-09-12,158250.0
1997-09-15,160500.0
1997-09-16,162000.0
1997-09-17,163500.0
1997-09-18,159000.0
1997-09-19,160500.0
1997-09-22,162000.0
1997-09-23,178500.0
1997-09-24,177000.0
1997-09-25,168000.0
1997-09-26,171000.0
1997-09-29,168000.0
1997-09-30,178500.0
1997-10-01,183000.0
1997-10-02,185250.0
1997-10-03,184500.0
1997-10-06,183000.0
1997-10-07,180000.0
1997-10-08,181500.0
1997-10-09,184500.0
1997-10-10,183000.0
1997-10-13,195000.0
1997-10-14,211500.0
1997-10-15,220500.0
1997-10-16,223500.0
1997-10-17,216000.0
1997-10-20,199500.0
1997-10-21,207000.0
1997-10-22,193500.0
1997-10-23,193500.0
1997-10-24,192000.0
1997-10-27,189000.0
1997-10-28,192000.0
1997-10-29,193500.0
1997-10-30,192000.0
1997-10-31,192000.0
1997-11-03,189000.0
1997-11-04,190500.0
1997-11-05,190500.0
1997-11-06,192000.0
1997-11-07,193500.0
1997-11-10,190500.0
1997-11-11,195000.0
1997-11-12,190500.0
1997-11-13,192000.0
1997-11-14,190500.0
1997-11-17,192000.0
1997-11-18,186000.0
1997-11-19,190500.0
1997-11-20,193500.0
1997-11-21,195000.0
1997-11-24,198000.0
1997-11-25,193500.0
1997-11-26,193500.0
1997-11-28,192000.0
1997-12-01,190500.0
1997-12-02,190500.0
1997-12-03,190500.0
1997-12-04,189000.0
1997-12-05,192000.0
1997-12-08,190500.0
1997-12-09,193500.0
1997-12-10,190500.0
1997-12-11,190500.0
1997-12-12,190500.0
1997-12-15,184500.0
1997-12-16,183000.0
1997-12-17,189000.0
1997-12-18,186000.0
1997-12-19,184500.0
1997-12-22,187500.0
1997-12-23,193500.0
1997-12-24,193500.0
1997-12-26,189000.0
1997-12-29,190500.0
1997-12-30,192000.0
1997-12-31,204000.0
1998-01-02,198000.0
1998-01-05,193500.0
1998-01-06,190500.0
1998-01-07,195000.0
1998-01-08,193500.0
1998-01-09,192000.0
1998-01-12,187500.0
1998-01-13,189000.0
1998-01-14,189000.0
1998-01-15,186000.0
1998-01-16,183000.0
1998-01-20,183000.0
1998-01-21,177000.0
1998-01-22,171000.0
1998-01-23,153000.0
1998-01-26,160500.0
1998-01-27,168000.0
1998-01-28,166500.0
1998-01-29,163500.0
1998-01-30,165000.0
1998-02-02,154500.0
1998-02-03,155250.0
1998-02-04,145500.0
1998-02-05,148500.0
1998-02-06,144000.0
1998-02-09,144000.0
1998-02-10,139500.0
1998-02-11,129000.0
1998-02-12,138000.0
1998-02-13,144750.0
1998-02-17,144000.0
1998-02-18,141750.0
1998-02-19,144000.0
1998-02-20,154500.0
1998-02-23,153000.0
1998-02-24,156000.0
1998-02-25,155250.0
1998-02-26,168000.0
1998-02-27,180000.0
1998-03-02,184500.0
1998-03-03,181500.0
1998-03-04,181500.0
1998-03-05,182250.0
1998-03-06,183000.0
1998-03-09,178500.0
1998-03-10,177000.0
1998-03-11,156000.0
1998-03-12,147000.0
1998-03-13,145500.0
1998-03-16,144750.0
1998-03-17,146250.0
1998-03-18,150000.0
1998-03-19,146250.0
1998-03-20,135000.0
1998-03-23,139500.0
1998-03-24,114000.0
1998-03-25,53250.0
1998-03-26,48375.0
1998-03-27,51000.0
1998-03-30,49500.0
1998-03-31,49500.0
1998-04-01,47250.0
1998-04-02,48000.0
1998-04-03,45000.0
1998-04-06,45750.0
1998-04-07,47250.0
1998-04-08,45000.0
1998-04-09,45000.0
1998-04-13,45000.0
1998-04-14,45000.0
1998-04-15,45000.0
1998-04-16,46875.0
1998-04-17,49500.0
1998-04-20,51000.0
1998-04-21,49500.0
1998-04-22,49500.0
1998-04-23,50250.0
1998-04-24,49500.0
1998-04-27,46125.0
1998-04-28,45750.0
1998-04-29,45000.0
1998-04-30,45375.0
1998-05-01,44250.0
1998-05-04,46875.0
1998-05-05,48000.0
1998-05-06,45000.0
1998-05-07,45000.0
1998-05-08,44250.0
1998-05-11,43875.0
1998-05-12,42000.0
1998-05-13,40875.0
1998-05-14,39750.0
1998-05-15,42750.0
1998-05-18,44250.0
1998-05-19,48375.0
1998-05-20,42750.0
1998-05-21,42750.0
1998-05-22,42000.0
1998-05-26,40500.0
1998-05-27,37875.0
