,AVO
2020-10-02,12.449999809265137
2020-10-05,12.359999656677246
2020-10-06,12.100000381469727
2020-10-07,11.859999656677246
2020-10-08,12.229999542236328
2020-10-09,12.5
2020-10-12,13.0
2020-10-13,12.970000267028809
2020-10-14,12.84000015258789
2020-10-15,13.149999618530273
2020-10-16,13.1899995803833
2020-10-19,13.510000228881836
2020-10-20,13.680000305175781
2020-10-21,13.300000190734863
2020-10-22,13.40999984741211
2020-10-23,13.170000076293945
2020-10-26,13.010000228881836
2020-10-27,13.229999542236328
2020-10-28,13.229999542236328
2020-10-29,13.229999542236328
2020-10-30,13.1899995803833
2020-11-02,12.850000381469727
2020-11-03,12.770000457763672
2020-11-04,13.100000381469727
2020-11-05,13.1899995803833
2020-11-06,13.680000305175781
2020-11-09,14.020000457763672
2020-11-10,13.949999809265137
2020-11-11,13.5
2020-11-12,12.970000267028809
2020-11-13,13.289999961853027
2020-11-16,13.720000267028809
2020-11-17,13.640000343322754
2020-11-18,13.90999984741211
2020-11-19,13.970000267028809
2020-11-20,13.789999961853027
2020-11-23,13.600000381469727
2020-11-24,13.539999961853027
2020-11-25,13.399999618530273
2020-11-27,13.34000015258789
2020-11-30,13.449999809265137
2020-12-01,13.600000381469727
2020-12-02,13.460000038146973
2020-12-03,13.369999885559082
2020-12-04,13.630000114440918
2020-12-07,13.680000305175781
2020-12-08,13.8100004196167
2020-12-09,13.609999656677246
2020-12-10,13.140000343322754
2020-12-11,13.3100004196167
2020-12-14,13.40999984741211
2020-12-15,13.649999618530273
2020-12-16,14.229999542236328
2020-12-17,14.869999885559082
2020-12-18,14.289999961853027
2020-12-21,14.710000038146973
2020-12-22,14.119999885559082
2020-12-23,14.5
2020-12-24,14.649999618530273
2020-12-28,14.779999732971191
2020-12-29,14.65999984741211
2020-12-30,15.039999961853027
2020-12-31,15.050000190734863
2021-01-04,15.0
2021-01-05,15.199999809265137
2021-01-06,15.680000305175781
2021-01-07,15.520000457763672
2021-01-08,15.699999809265137
2021-01-11,15.270000457763672
2021-01-12,15.170000076293945
2021-01-13,15.289999961853027
2021-01-14,15.65999984741211
2021-01-15,15.640000343322754
2021-01-19,16.18000030517578
2021-01-20,16.239999771118164
2021-01-21,16.309999465942383
2021-01-22,16.200000762939453
2021-01-25,16.239999771118164
2021-01-26,16.34000015258789
2021-01-27,17.079999923706055
2021-01-28,18.350000381469727
2021-01-29,19.229999542236328
2021-02-01,18.809999465942383
2021-02-02,19.399999618530273
2021-02-03,20.15999984741211
2021-02-04,20.079999923706055
2021-02-05,20.739999771118164
2021-02-08,21.15999984741211
2021-02-09,21.239999771118164
2021-02-10,21.06999969482422
2021-02-11,21.290000915527344
2021-02-12,21.739999771118164
2021-02-16,21.260000228881836
2021-02-17,20.850000381469727
2021-02-18,20.81999969482422
2021-02-19,20.8700008392334
2021-02-22,20.420000076293945
2021-02-23,19.899999618530273
2021-02-24,21.309999465942383
2021-02-25,21.489999771118164
2021-02-26,20.959999084472656
2021-03-01,21.420000076293945
2021-03-02,21.559999465942383
2021-03-03,21.270000457763672
2021-03-04,19.760000228881836
2021-03-05,20.93000030517578
2021-03-08,21.489999771118164
2021-03-09,21.139999389648438
2021-03-10,21.209999084472656
2021-03-11,21.469999313354492
2021-03-12,20.260000228881836
2021-03-15,21.0
2021-03-16,20.739999771118164
2021-03-17,20.510000228881836
2021-03-18,20.639999389648438
2021-03-19,20.81999969482422
2021-03-22,20.389999389648438
2021-03-23,20.219999313354492
2021-03-24,19.809999465942383
2021-03-25,20.09000015258789
2021-03-26,20.200000762939453
2021-03-29,18.399999618530273
2021-03-30,18.104999542236328
2021-03-31,19.010000228881836
2021-04-01,19.15999984741211
2021-04-05,19.729999542236328
2021-04-06,19.81999969482422
2021-04-07,19.81999969482422
2021-04-08,19.829999923706055
2021-04-09,19.8799991607666
2021-04-12,19.6299991607666
2021-04-13,19.530000686645508
2021-04-14,19.860000610351562
2021-04-15,19.969999313354492
2021-04-16,19.90999984741211
2021-04-19,19.6299991607666
2021-04-20,19.600000381469727
2021-04-21,19.809999465942383
2021-04-22,19.690000534057617
2021-04-23,19.920000076293945
2021-04-26,20.059999465942383
2021-04-27,20.31999969482422
2021-04-28,20.43000030517578
2021-04-29,20.3799991607666
2021-04-30,20.200000762939453
2021-05-03,20.5
2021-05-04,20.270000457763672
2021-05-05,20.479999542236328
2021-05-06,19.34000015258789
2021-05-07,19.850000381469727
2021-05-10,19.770000457763672
2021-05-11,18.360000610351562
2021-05-12,18.90999984741211
2021-05-13,18.940000534057617
2021-05-14,19.690000534057617
