,EWEB
2020-11-12,14.532999992370605
2020-11-13,15.119999885559082
2020-11-16,15.029999732971191
2020-11-17,14.789999961853027
2020-11-18,14.592000007629395
2020-11-19,14.805000305175781
2020-11-20,15.083999633789062
2020-11-23,15.050000190734863
2020-11-24,15.239999771118164
2020-11-25,15.029999732971191
2020-11-27,15.32699966430664
2020-11-30,14.979999542236328
2020-12-01,14.9399995803833
2020-12-02,14.84000015258789
2020-12-03,15.069000244140625
2020-12-04,15.229999542236328
2020-12-07,15.175000190734863
2020-12-08,15.385000228881836
2020-12-09,15.104999542236328
2020-12-10,15.350000381469727
2020-12-11,15.295000076293945
2020-12-14,15.15999984741211
2020-12-15,15.170000076293945
2020-12-16,15.350000381469727
2020-12-17,15.550000190734863
2020-12-18,15.5600004196167
2020-12-21,15.4399995803833
2020-12-22,15.319999694824219
2020-12-23,15.40999984741211
2020-12-24,15.234999656677246
2020-12-28,14.96500015258789
2020-12-29,15.5
2020-12-30,16.118999481201172
2020-12-31,16.06999969482422
2021-01-04,15.960000038146973
2021-01-05,16.64699935913086
2021-01-06,16.110000610351562
2021-01-07,16.235000610351562
2021-01-08,16.969999313354492
2021-01-11,16.545000076293945
2021-01-12,16.61199951171875
2021-01-13,16.55699920654297
2021-01-14,16.899999618530273
2021-01-15,16.610000610351562
2021-01-19,17.43000030517578
2021-01-20,18.059999465942383
2021-01-21,17.996999740600586
2021-01-22,18.059999465942383
2021-01-25,18.530000686645508
2021-01-26,18.152000427246094
2021-01-27,17.511999130249023
2021-01-28,17.746000289916992
2021-01-29,17.329999923706055
2021-02-01,18.049999237060547
2021-02-02,18.51099967956543
2021-02-03,18.74799919128418
2021-02-04,18.93000030517578
2021-02-05,19.101999282836914
2021-02-08,19.06100082397461
2021-02-09,19.444000244140625
2021-02-10,19.8700008392334
2021-02-11,20.229999542236328
2021-02-12,20.270000457763672
2021-02-16,20.450000762939453
2021-02-17,20.3799991607666
2021-02-18,19.920000076293945
2021-02-19,20.18000030517578
2021-02-22,19.209999084472656
2021-02-23,19.225000381469727
2021-02-24,18.700000762939453
2021-02-25,18.200000762939453
2021-02-26,18.03700065612793
2021-03-01,18.87299919128418
2021-03-02,18.610000610351562
2021-03-03,18.215999603271484
2021-03-04,17.399999618530273
2021-03-05,17.309999465942383
2021-03-08,16.25
2021-03-09,17.170000076293945
2021-03-10,16.899999618530273
2021-03-11,17.797000885009766
2021-03-12,17.31999969482422
2021-03-15,17.25
2021-03-16,17.40999984741211
2021-03-17,17.229999542236328
2021-03-18,16.920000076293945
2021-03-19,17.079999923706055
2021-03-22,17.016000747680664
2021-03-23,16.73200035095215
2021-03-24,15.6899995803833
2021-03-25,15.5
2021-03-26,15.609999656677246
2021-03-29,15.369999885559082
2021-03-30,15.708999633789062
2021-03-31,15.850000381469727
2021-04-01,16.21500015258789
2021-04-05,16.15999984741211
2021-04-06,16.549999237060547
2021-04-07,15.979999542236328
2021-04-08,16.139999389648438
2021-04-09,15.949999809265137
2021-04-12,15.710000038146973
2021-04-13,15.8100004196167
2021-04-14,15.75
2021-04-15,15.824999809265137
2021-04-16,15.800000190734863
2021-04-19,15.760000228881836
2021-04-20,15.550000190734863
2021-04-21,15.670000076293945
2021-04-22,15.836999893188477
2021-04-23,16.209999084472656
2021-04-26,16.059999465942383
2021-04-27,16.280000686645508
2021-04-28,16.3799991607666
2021-04-29,16.062999725341797
2021-04-30,15.800000190734863
2021-05-03,15.720000267028809
2021-05-04,15.354999542236328
2021-05-05,15.34000015258789
2021-05-06,15.315999984741211
2021-05-07,15.350000381469727
2021-05-10,14.680000305175781
2021-05-11,14.729999542236328
2021-05-12,14.470000267028809
2021-05-13,13.956999778747559
2021-05-14,14.289999961853027
