,AGMH
2018-04-18,6.300000190734863
2018-04-19,8.479999542236328
2018-04-20,7.788000106811523
2018-04-23,8.399999618530273
2018-04-24,8.449999809265137
2018-04-25,10.609999656677246
2018-04-26,9.729999542236328
2018-04-27,10.470000267028809
2018-04-30,9.600000381469727
2018-05-01,8.550000190734863
2018-05-02,9.199999809265137
2018-05-03,9.229999542236328
2018-05-04,8.960000038146973
2018-05-07,9.869999885559082
2018-05-08,9.479999542236328
2018-05-09,10.399999618530273
2018-05-10,11.050000190734863
2018-05-11,10.300000190734863
2018-05-14,9.550000190734863
2018-05-15,9.930000305175781
2018-05-16,9.59000015258789
2018-05-17,8.779999732971191
2018-05-18,8.619999885559082
2018-05-21,9.109999656677246
2018-05-22,8.800000190734863
2018-05-23,9.220000267028809
2018-05-24,9.850000381469727
2018-05-25,9.970000267028809
2018-05-29,10.039999961853027
2018-05-30,10.069999694824219
2018-05-31,9.84000015258789
2018-06-01,10.130000114440918
2018-06-04,10.0
2018-06-05,9.8100004196167
2018-06-06,10.069999694824219
2018-06-07,9.949999809265137
2018-06-08,10.279999732971191
2018-06-11,10.260000228881836
2018-06-12,13.390000343322754
2018-06-13,16.219999313354492
2018-06-14,27.799999237060547
2018-06-15,29.40999984741211
2018-06-18,28.139999389648438
2018-06-19,25.5
2018-06-20,25.780000686645508
2018-06-21,28.5
2018-06-22,27.15999984741211
2018-06-25,25.850000381469727
2018-06-26,24.010000228881836
2018-06-27,24.5
2018-06-28,24.25
2018-06-29,23.68000030517578
2018-07-02,19.399999618530273
2018-07-03,20.719999313354492
2018-07-05,21.84000015258789
2018-07-06,22.65999984741211
2018-07-09,21.2450008392334
2018-07-10,19.40999984741211
2018-07-11,17.690000534057617
2018-07-12,16.969999313354492
2018-07-13,17.040000915527344
2018-07-16,16.6299991607666
2018-07-17,17.260000228881836
2018-07-18,17.149999618530273
2018-07-19,13.84000015258789
2018-07-20,12.579999923706055
2018-07-23,12.609999656677246
2018-07-24,13.50100040435791
2018-07-25,13.989999771118164
2018-07-26,13.220000267028809
2018-07-27,15.6899995803833
2018-07-30,15.479999542236328
2018-07-31,14.289999961853027
2018-08-01,15.289999961853027
2018-08-02,14.880000114440918
2018-08-03,15.8100004196167
2018-08-06,15.600000381469727
2018-08-07,15.859999656677246
2018-08-08,15.430000305175781
2018-08-09,14.319999694824219
2018-08-10,14.25
2018-08-13,15.0
2018-08-14,15.975000381469727
2018-08-15,14.550000190734863
2018-08-16,14.239999771118164
2018-08-17,14.260000228881836
2018-08-20,15.609999656677246
2018-08-21,18.809999465942383
2018-08-22,20.0
2018-08-23,19.68000030517578
2018-08-24,18.809999465942383
2018-08-27,24.010000228881836
2018-08-28,27.260000228881836
2018-08-29,26.850000381469727
2018-08-30,27.5
2018-08-31,26.0
2018-09-04,26.719999313354492
2018-09-05,26.360000610351562
2018-09-06,23.700000762939453
2018-09-07,21.989999771118164
2018-09-10,21.0
2018-09-11,20.100000381469727
2018-09-12,20.399999618530273
2018-09-13,20.799999237060547
2018-09-14,19.81999969482422
2018-09-17,19.170000076293945
2018-09-18,20.5
2018-09-19,21.899999618530273
2018-09-20,29.18000030517578
2018-09-21,25.770000457763672
2018-09-24,22.770000457763672
2018-09-25,24.459999084472656
2018-09-26,29.4689998626709
2018-09-27,29.059999465942383
2018-09-28,39.0
2018-10-01,34.88999938964844
2018-10-02,36.0
2018-10-03,33.0
2018-10-04,34.16999816894531
2018-10-05,32.20000076293945
2018-10-08,31.344999313354492
2018-10-09,34.95000076293945
2018-10-10,34.66999816894531
2018-10-11,37.11000061035156
2018-10-12,35.47999954223633
2018-10-15,37.439998626708984
2018-10-16,38.87300109863281
2018-10-17,37.369998931884766
2018-10-18,40.70000076293945
2018-10-19,38.540000915527344
2018-10-22,36.0
2018-10-23,33.95399856567383
2018-10-24,32.630001068115234
2018-10-25,33.71200180053711
2018-10-26,34.20000076293945
2018-10-29,33.0
2018-10-30,32.935001373291016
2018-10-31,30.715999603271484
2018-11-01,31.059999465942383
2018-11-02,33.0
2018-11-05,31.229999542236328
2018-11-06,25.770000457763672
2018-11-07,24.27199935913086
2018-11-08,24.27199935913086
2018-11-09,20.722000122070312
2018-11-12,21.0
2018-11-13,21.149999618530273
2018-11-14,24.6200008392334
2018-11-15,35.97999954223633
2018-11-16,38.0
2018-11-19,42.400001525878906
2018-11-20,41.95000076293945
2018-11-21,41.20000076293945
2018-11-23,41.81999969482422
2018-11-26,41.54999923706055
2018-11-27,39.5
2018-11-28,41.900001525878906
2018-11-29,38.36000061035156
