,BHFAO
2020-05-19,24.649999618530273
2020-05-20,24.729999542236328
2020-05-21,24.889999389648438
2020-05-22,25.0
2020-05-26,25.360000610351562
2020-05-27,25.399999618530273
2020-05-28,25.3799991607666
2020-05-29,25.420000076293945
2020-06-01,25.43000030517578
2020-06-02,25.309999465942383
2020-06-03,25.350000381469727
2020-06-04,25.200000762939453
2020-06-05,25.43000030517578
2020-06-08,25.510000228881836
2020-06-09,25.31999969482422
2020-06-10,25.260000228881836
2020-06-11,24.610000610351562
2020-06-12,24.959999084472656
2020-06-15,25.219999313354492
2020-06-16,25.299999237060547
2020-06-17,25.190000534057617
2020-06-18,25.290000915527344
2020-06-19,25.420000076293945
2020-06-22,25.219999313354492
2020-06-23,25.350000381469727
2020-06-24,25.149999618530273
2020-06-25,25.389999389648438
2020-06-26,25.350000381469727
2020-06-29,25.420000076293945
2020-06-30,25.34000015258789
2020-07-01,25.45400047302246
2020-07-02,25.299999237060547
2020-07-06,25.34000015258789
2020-07-07,25.170000076293945
2020-07-08,25.25
2020-07-09,25.309999465942383
2020-07-10,25.3700008392334
2020-07-13,25.450000762939453
2020-07-14,25.541000366210938
2020-07-15,25.979999542236328
2020-07-16,26.030000686645508
2020-07-17,25.84000015258789
2020-07-20,26.0
2020-07-21,25.75
2020-07-22,25.950000762939453
2020-07-23,25.850000381469727
2020-07-24,25.81999969482422
2020-07-27,26.139999389648438
2020-07-28,25.84000015258789
2020-07-29,25.969999313354492
2020-07-30,26.059999465942383
2020-07-31,26.06999969482422
2020-08-03,26.020000457763672
2020-08-04,25.940000534057617
2020-08-05,26.25
2020-08-06,26.110000610351562
2020-08-07,26.139999389648438
2020-08-10,26.389999389648438
2020-08-11,26.299999237060547
2020-08-12,26.700000762939453
2020-08-13,26.56999969482422
2020-08-14,26.610000610351562
2020-08-17,26.510000228881836
2020-08-18,26.850000381469727
2020-08-19,26.6200008392334
2020-08-20,26.760000228881836
2020-08-21,26.75
2020-08-24,26.780000686645508
2020-08-25,26.950000762939453
2020-08-26,27.100000381469727
2020-08-27,27.299999237060547
2020-08-28,27.3700008392334
2020-08-31,27.780000686645508
2020-09-01,27.770000457763672
2020-09-02,27.860000610351562
2020-09-03,27.600000381469727
2020-09-04,27.5
2020-09-08,26.979999542236328
2020-09-09,26.979999542236328
2020-09-10,26.99799919128418
2020-09-11,26.600000381469727
2020-09-14,26.950000762939453
2020-09-15,27.18000030517578
2020-09-16,27.110000610351562
2020-09-17,26.93000030517578
2020-09-18,27.020000457763672
2020-09-21,26.700000762939453
2020-09-22,26.84000015258789
2020-09-23,26.34000015258789
2020-09-24,26.5
2020-09-25,27.309999465942383
2020-09-28,27.670000076293945
2020-09-29,27.6299991607666
2020-09-30,27.8700008392334
2020-10-01,28.15999984741211
2020-10-02,28.100000381469727
2020-10-05,27.450000762939453
2020-10-06,28.020000457763672
2020-10-07,27.360000610351562
2020-10-08,27.25
2020-10-09,27.1299991607666
2020-10-12,27.260000228881836
2020-10-13,27.540000915527344
2020-10-14,27.209999084472656
2020-10-15,27.59000015258789
2020-10-16,27.079999923706055
2020-10-19,27.219999313354492
2020-10-20,27.139999389648438
2020-10-21,27.200000762939453
2020-10-22,27.309999465942383
2020-10-23,27.850000381469727
2020-10-26,27.479999542236328
2020-10-27,27.079999923706055
2020-10-28,26.600000381469727
2020-10-29,27.0
2020-10-30,27.31999969482422
2020-11-02,27.25
2020-11-03,27.239999771118164
2020-11-04,27.440000534057617
2020-11-05,27.84000015258789
2020-11-06,27.729999542236328
2020-11-09,27.670000076293945
2020-11-10,27.3799991607666
2020-11-11,27.5
2020-11-12,27.530000686645508
2020-11-13,27.790000915527344
2020-11-16,28.170000076293945
2020-11-17,27.780000686645508
2020-11-18,27.760000228881836
2020-11-19,27.799999237060547
2020-11-20,27.719999313354492
2020-11-23,27.700000762939453
2020-11-24,27.684999465942383
2020-11-25,27.6299991607666
2020-11-27,27.559999465942383
2020-11-30,27.31999969482422
2020-12-01,27.389999389648438
2020-12-02,27.40999984741211
2020-12-03,27.450000762939453
2020-12-04,27.59000015258789
2020-12-07,27.690000534057617
2020-12-08,27.739999771118164
2020-12-09,27.450000762939453
2020-12-10,27.389999389648438
2020-12-11,27.31999969482422
2020-12-14,27.510000228881836
2020-12-15,27.729999542236328
2020-12-16,27.75
2020-12-17,27.989999771118164
2020-12-18,28.34000015258789
2020-12-21,28.389999389648438
2020-12-22,27.8700008392334
2020-12-23,27.75
2020-12-24,27.889999389648438
2020-12-28,28.389999389648438
2020-12-29,28.489999771118164
2020-12-30,28.229999542236328
2020-12-31,28.3799991607666
2021-01-04,27.950000762939453
2021-01-05,28.049999237060547
2021-01-06,27.59000015258789
2021-01-07,27.56999969482422
2021-01-08,27.649999618530273
2021-01-11,27.149999618530273
2021-01-12,26.989999771118164
2021-01-13,27.559999465942383
2021-01-14,27.90999984741211
2021-01-15,28.030000686645508
2021-01-19,28.100000381469727
2021-01-20,27.93000030517578
2021-01-21,27.760000228881836
2021-01-22,28.100000381469727
2021-01-25,28.0
2021-01-26,27.729999542236328
2021-01-27,27.420000076293945
2021-01-28,27.530000686645508
2021-01-29,27.549999237060547
2021-02-01,27.68000030517578
2021-02-02,27.93000030517578
2021-02-03,27.450000762939453
2021-02-04,27.690000534057617
2021-02-05,27.690000534057617
2021-02-08,27.618000030517578
2021-02-09,27.790000915527344
2021-02-10,27.6200008392334
2021-02-11,27.40999984741211
2021-02-12,27.25
2021-02-16,27.149999618530273
2021-02-17,27.270000457763672
2021-02-18,27.229999542236328
2021-02-19,27.139999389648438
2021-02-22,27.260000228881836
2021-02-23,27.059999465942383
2021-02-24,27.09000015258789
2021-02-25,26.790000915527344
2021-02-26,26.969999313354492
2021-03-01,27.059999465942383
2021-03-02,27.190000534057617
2021-03-03,27.200000762939453
2021-03-04,27.100000381469727
2021-03-05,27.329999923706055
2021-03-08,27.5
2021-03-09,27.489999771118164
2021-03-10,27.43000030517578
2021-03-11,27.649999618530273
2021-03-12,27.5
2021-03-15,27.690000534057617
2021-03-16,27.649999618530273
2021-03-17,27.56999969482422
2021-03-18,27.15999984741211
2021-03-19,27.489999771118164
2021-03-22,27.40999984741211
2021-03-23,27.489999771118164
2021-03-24,27.739999771118164
2021-03-25,27.709999084472656
2021-03-26,27.75
2021-03-29,27.700000762939453
2021-03-30,27.920000076293945
2021-03-31,27.899999618530273
2021-04-01,28.329999923706055
2021-04-05,28.514999389648438
2021-04-06,28.56999969482422
2021-04-07,28.280000686645508
2021-04-08,28.31999969482422
2021-04-09,28.290000915527344
2021-04-12,28.299999237060547
2021-04-13,28.34000015258789
2021-04-14,28.3700008392334
2021-04-15,28.5
2021-04-16,28.389999389648438
2021-04-19,28.280000686645508
2021-04-20,28.270000457763672
2021-04-21,28.229999542236328
2021-04-22,28.290000915527344
2021-04-23,28.5
2021-04-26,28.670000076293945
2021-04-27,28.649999618530273
2021-04-28,28.649999618530273
2021-04-29,28.639999389648438
2021-04-30,28.06999969482422
2021-05-03,28.420000076293945
2021-05-04,28.459999084472656
2021-05-05,28.309999465942383
2021-05-06,28.540000915527344
2021-05-07,28.690000534057617
2021-05-10,28.510000228881836
2021-05-11,28.16900062561035
2021-05-12,27.790000915527344
2021-05-13,27.799999237060547
2021-05-14,28.200000762939453
