,AMTI
2020-06-05,17.979999542236328
2020-06-08,18.989999771118164
2020-06-09,20.489999771118164
2020-06-10,25.479999542236328
2020-06-11,24.040000915527344
2020-06-12,25.719999313354492
2020-06-15,27.18000030517578
2020-06-16,27.729999542236328
2020-06-17,27.979999542236328
2020-06-18,27.0
2020-06-19,26.989999771118164
2020-06-22,27.350000381469727
2020-06-23,24.860000610351562
2020-06-24,27.520000457763672
2020-06-25,28.0
2020-06-26,26.149999618530273
2020-06-29,25.799999237060547
2020-06-30,25.139999389648438
2020-07-01,25.719999313354492
2020-07-02,27.0
2020-07-06,26.579999923706055
2020-07-07,25.0
2020-07-08,22.469999313354492
2020-07-09,22.0
2020-07-10,22.3700008392334
2020-07-13,21.3700008392334
2020-07-14,20.639999389648438
2020-07-15,20.520000457763672
2020-07-16,21.0
2020-07-17,20.989999771118164
2020-07-20,20.489999771118164
2020-07-21,21.479999542236328
2020-07-22,21.5
2020-07-23,21.579999923706055
2020-07-24,21.350000381469727
2020-07-27,21.389999389648438
2020-07-28,21.139999389648438
2020-07-29,20.920000076293945
2020-07-30,22.959999084472656
2020-07-31,22.229999542236328
2020-08-03,22.690000534057617
2020-08-04,22.0
2020-08-05,21.8799991607666
2020-08-06,21.260000228881836
2020-08-07,21.260000228881836
2020-08-10,21.579999923706055
2020-08-11,21.739999771118164
2020-08-12,22.190000534057617
2020-08-13,22.969999313354492
2020-08-14,22.940000534057617
2020-08-17,22.940000534057617
2020-08-18,22.18000030517578
2020-08-19,21.700000762939453
2020-08-20,22.110000610351562
2020-08-21,21.469999313354492
2020-08-24,20.90999984741211
2020-08-25,21.209999084472656
2020-08-26,21.149999618530273
2020-08-27,21.34000015258789
2020-08-28,24.0
2020-08-31,25.6200008392334
2020-09-01,25.559999465942383
2020-09-02,25.729999542236328
2020-09-03,24.90999984741211
2020-09-04,25.299999237060547
2020-09-08,24.079999923706055
2020-09-09,26.450000762939453
2020-09-10,27.15999984741211
2020-09-11,26.780000686645508
2020-09-14,31.110000610351562
2020-09-15,31.09000015258789
2020-09-16,31.510000228881836
2020-09-17,33.0099983215332
2020-09-18,33.58000183105469
2020-09-21,31.290000915527344
2020-09-22,29.940000534057617
2020-09-23,29.850000381469727
2020-09-24,30.700000762939453
2020-09-25,32.20000076293945
2020-09-28,32.189998626708984
2020-09-29,30.979999542236328
2020-09-30,31.81999969482422
2020-10-01,30.959999084472656
2020-10-02,31.459999084472656
2020-10-05,31.729999542236328
2020-10-06,33.22999954223633
2020-10-07,32.9900016784668
2020-10-08,32.90999984741211
2020-10-09,35.0
2020-10-12,32.79999923706055
2020-10-13,33.650001525878906
2020-10-14,33.0
2020-10-15,32.439998626708984
2020-10-16,32.0
2020-10-19,31.520000457763672
2020-10-20,32.93000030517578
2020-10-21,32.400001525878906
2020-10-22,32.400001525878906
2020-10-23,32.68000030517578
2020-10-26,32.08000183105469
2020-10-27,32.13999938964844
2020-10-28,31.989999771118164
2020-10-29,31.25
