,AMAT
1980-03-17,0.09548600018024445
1980-03-18,0.09375
1980-03-19,0.09548600018024445
1980-03-20,0.09722200036048889
1980-03-21,0.10069400072097778
1980-03-24,0.09548600018024445
1980-03-25,0.09288199990987778
1980-03-26,0.08333300054073334
1980-03-27,0.07638899981975555
1980-03-28,0.08506900072097778
1980-03-31,0.09461800009012222
1980-04-01,0.09375
1980-04-02,0.08854199945926666
1980-04-03,0.09114599972963333
1980-04-07,0.08463499695062637
1980-04-08,0.08854199945926666
1980-04-09,0.08724000304937363
1980-04-10,0.08724000304937363
1980-04-11,0.08724000304937363
1980-04-14,0.08724000304937363
1980-04-15,0.0859379991889
1980-04-16,0.0859379991889
1980-04-17,0.0859379991889
1980-04-18,0.08724000304937363
1980-04-21,0.08463499695062637
1980-04-22,0.09375
1980-04-23,0.09505199640989304
1980-04-24,0.0976559966802597
1980-04-25,0.09635400027036667
1980-04-28,0.09635400027036667
1980-04-29,0.0976559966802597
1980-04-30,0.0976559966802597
1980-05-01,0.09635400027036667
1980-05-02,0.09635400027036667
1980-05-05,0.09635400027036667
1980-05-06,0.09635400027036667
1980-05-07,0.09635400027036667
1980-05-08,0.09375
1980-05-09,0.09375
1980-05-12,0.09505199640989304
1980-05-13,0.09635400027036667
1980-05-14,0.0976559966802597
1980-05-15,0.09895800054073334
1980-05-16,0.09895800054073334
1980-05-19,0.09635400027036667
1980-05-20,0.09505199640989304
1980-05-21,0.09375
1980-05-22,0.09895800054073334
1980-05-23,0.10286500304937363
1980-05-27,0.1054690033197403
1980-05-28,0.10677099972963333
1980-05-29,0.109375
1980-05-30,0.109375
1980-06-02,0.10677099972963333
1980-06-03,0.10286500304937363
1980-06-04,0.10677099972963333
1980-06-05,0.109375
1980-06-06,0.10677099972963333
1980-06-09,0.10807300359010696
1980-06-10,0.10677099972963333
1980-06-11,0.10807300359010696
1980-06-12,0.109375
1980-06-13,0.11067699640989304
1980-06-16,0.109375
1980-06-17,0.109375
1980-06-18,0.10677099972963333
1980-06-19,0.10416699945926666
1980-06-20,0.10286500304937363
1980-06-23,0.10025999695062637
1980-06-24,0.1015629991889
1980-06-25,0.10286500304937363
1980-06-26,0.10677099972963333
1980-06-27,0.1054690033197403
1980-06-30,0.10286500304937363
1980-07-01,0.1015629991889
1980-07-02,0.1015629991889
1980-07-03,0.1015629991889
1980-07-07,0.1054690033197403
1980-07-08,0.10807300359010696
1980-07-09,0.11197900027036667
1980-07-10,0.11588499695062637
1980-07-11,0.11849000304937363
1980-07-14,0.12760399281978607
1980-07-15,0.1289059966802597
1980-07-16,0.12760399281978607
1980-07-17,0.1328130066394806
1980-07-18,0.13411499559879303
1980-07-21,0.13541699945926666
1980-07-22,0.13541699945926666
1980-07-23,0.13411499559879303
1980-07-24,0.13541699945926666
1980-07-25,0.13541699945926666
1980-07-28,0.1367190033197403
1980-07-29,0.1367190033197403
1980-07-30,0.14713500440120697
1980-07-31,0.14713500440120697
1980-08-01,0.15494799613952637
1980-08-04,0.15364600718021393
1980-08-05,0.16536499559879303
1980-08-06,0.17447899281978607
1980-08-07,0.1679690033197403
1980-08-08,0.1640630066394806
1980-08-11,0.16536499559879303
1980-08-12,0.1601559966802597
1980-08-13,0.1601559966802597
1980-08-14,0.16145800054073334
1980-08-15,0.15885399281978607
