,ACWI
2008-03-28,50.099998474121094
2008-03-31,49.31999969482422
2008-04-01,50.650001525878906
2008-04-02,51.209999084472656
2008-04-03,51.5
2008-04-04,51.470001220703125
2008-04-07,51.77000045776367
2008-04-08,52.09000015258789
2008-04-09,51.119998931884766
2008-04-10,51.119998931884766
2008-04-11,50.310001373291016
2008-04-14,50.5099983215332
2008-04-15,50.650001525878906
2008-04-16,51.34000015258789
2008-04-17,52.029998779296875
2008-04-18,52.599998474121094
2008-04-21,52.84000015258789
2008-04-22,52.36000061035156
2008-04-23,52.4900016784668
2008-04-24,52.5099983215332
2008-04-25,52.720001220703125
2008-04-28,53.150001525878906
2008-04-29,52.540000915527344
2008-04-30,53.25
2008-05-01,53.09000015258789
2008-05-02,53.41999816894531
2008-05-05,53.56999969482422
2008-05-06,53.93000030517578
2008-05-07,53.029998779296875
2008-05-08,53.209999084472656
2008-05-09,52.97999954223633
2008-05-12,53.52000045776367
2008-05-13,53.58000183105469
2008-05-14,53.70000076293945
2008-05-15,54.27000045776367
2008-05-16,54.72999954223633
2008-05-19,54.709999084472656
2008-05-20,54.16999816894531
2008-05-21,53.79999923706055
2008-05-22,53.880001068115234
2008-05-23,53.040000915527344
2008-05-27,53.45000076293945
2008-05-28,53.439998626708984
2008-05-29,53.77000045776367
2008-05-30,53.709999084472656
2008-06-02,53.29999923706055
2008-06-03,53.16999816894531
2008-06-04,52.630001068115234
2008-06-05,53.7599983215332
2008-06-06,52.34000015258789
2008-06-09,52.02000045776367
2008-06-10,51.5099983215332
2008-06-11,50.88999938964844
2008-06-12,50.91999816894531
2008-06-13,51.27000045776367
2008-06-16,51.61000061035156
2008-06-17,51.599998474121094
2008-06-18,51.22999954223633
2008-06-19,50.54999923706055
2008-06-20,50.189998626708984
2008-06-23,50.36000061035156
2008-06-24,49.86000061035156
2008-06-25,50.400001525878906
2008-06-26,49.13999938964844
2008-06-27,49.22999954223633
2008-06-30,49.41999816894531
2008-07-01,49.040000915527344
2008-07-02,48.27000045776367
2008-07-03,48.06999969482422
2008-07-07,48.2599983215332
2008-07-08,48.119998931884766
2008-07-09,48.0099983215332
2008-07-10,47.849998474121094
2008-07-11,47.5
2008-07-14,47.310001373291016
2008-07-15,46.81999969482422
2008-07-16,47.27000045776367
2008-07-17,47.900001525878906
2008-07-18,47.939998626708984
2008-07-21,48.150001525878906
2008-07-22,48.130001068115234
2008-07-23,48.779998779296875
2008-07-24,47.75
2008-07-25,47.7400016784668
2008-07-28,47.16999816894531
2008-07-29,47.70000076293945
2008-07-30,47.97999954223633
2008-07-31,47.86000061035156
2008-08-01,47.29999923706055
2008-08-04,46.81999969482422
2008-08-05,47.58000183105469
2008-08-06,48.119998931884766
2008-08-07,47.20000076293945
2008-08-08,47.72999954223633
2008-08-11,47.79999923706055
2008-08-12,47.43000030517578
2008-08-13,47.20000076293945
2008-08-14,47.2400016784668
2008-08-15,47.04999923706055
2008-08-18,46.619998931884766
2008-08-19,46.040000915527344
2008-08-20,46.310001373291016
2008-08-21,46.779998779296875
2008-08-22,46.939998626708984
2008-08-25,46.150001525878906
2008-08-26,46.369998931884766
2008-08-27,46.70000076293945
2008-08-28,47.279998779296875
2008-08-29,47.060001373291016
2008-09-02,46.41999816894531
2008-09-03,45.779998779296875
2008-09-04,44.56999969482422
2008-09-05,44.400001525878906
2008-09-08,44.880001068115234
2008-09-09,43.59000015258789
2008-09-10,44.2400016784668
2008-09-11,44.209999084472656
2008-09-12,44.72999954223633
2008-09-15,42.619998931884766
2008-09-16,42.93000030517578
2008-09-17,41.08000183105469
2008-09-18,42.70000076293945
2008-09-19,45.08000183105469
2008-09-22,44.119998931884766
2008-09-23,43.16999816894531
2008-09-24,43.150001525878906
2008-09-25,44.16999816894531
2008-09-26,43.939998626708984
2008-09-29,39.83000183105469
2008-09-30,41.290000915527344
2008-10-01,41.459999084472656
2008-10-02,39.720001220703125
2008-10-03,39.0
2008-10-06,37.0
