,BBBY
1992-06-05,1.0625
1992-06-08,1.03125
1992-06-09,1.046875
1992-06-10,1.0
1992-06-11,0.9921879768371582
1992-06-12,1.015625
1992-06-15,1.0
1992-06-16,0.984375
1992-06-17,0.890625
1992-06-18,0.875
1992-06-19,0.921875
1992-06-22,0.953125
1992-06-23,1.0
1992-06-24,0.953125
1992-06-25,0.984375
1992-06-26,0.984375
1992-06-29,1.03125
1992-06-30,1.0625
1992-07-01,1.03125
1992-07-02,1.0078129768371582
1992-07-06,0.953125
1992-07-07,1.0
1992-07-08,0.953125
1992-07-09,1.046875
1992-07-10,1.046875
1992-07-13,1.046875
1992-07-14,1.09375
1992-07-15,1.0625
1992-07-16,1.03125
1992-07-17,1.046875
1992-07-20,1.03125
1992-07-21,1.015625
1992-07-22,1.046875
1992-07-23,1.0625
1992-07-24,1.109375
1992-07-27,1.0859379768371582
1992-07-28,1.09375
1992-07-29,1.09375
1992-07-30,1.15625
1992-07-31,1.21875
1992-08-03,1.203125
1992-08-04,1.203125
1992-08-05,1.203125
1992-08-06,1.1875
1992-08-07,1.203125
1992-08-10,1.2109379768371582
1992-08-11,1.234375
1992-08-12,1.2578129768371582
1992-08-13,1.234375
1992-08-14,1.265625
1992-08-17,1.265625
1992-08-18,1.296875
1992-08-19,1.328125
1992-08-20,1.359375
1992-08-21,1.328125
1992-08-24,1.28125
1992-08-25,1.25
1992-08-26,1.296875
1992-08-27,1.328125
1992-08-28,1.328125
1992-08-31,1.296875
1992-09-01,1.328125
1992-09-02,1.421875
1992-09-03,1.421875
1992-09-04,1.4375
1992-09-08,1.40625
1992-09-09,1.421875
1992-09-10,1.453125
1992-09-11,1.5
1992-09-14,1.515625
1992-09-15,1.46875
1992-09-16,1.5
1992-09-17,1.546875
1992-09-18,1.53125
1992-09-21,1.515625
1992-09-22,1.375
1992-09-23,1.46875
1992-09-24,1.515625
1992-09-25,1.4375
1992-09-28,1.46875
1992-09-29,1.4609379768371582
1992-09-30,1.46875
1992-10-01,1.484375
1992-10-02,1.4375
1992-10-05,1.390625
1992-10-06,1.375
1992-10-07,1.3828129768371582
1992-10-08,1.453125
1992-10-09,1.5
1992-10-12,1.453125
1992-10-13,1.4375
1992-10-14,1.5
1992-10-15,1.5
1992-10-16,1.5
1992-10-19,1.5625
1992-10-20,1.5625
1992-10-21,1.609375
1992-10-22,1.609375
1992-10-23,1.65625
1992-10-26,1.640625
1992-10-27,1.59375
1992-10-28,1.609375
1992-10-29,1.59375
1992-10-30,1.609375
1992-11-02,1.59375
1992-11-03,1.5703129768371582
1992-11-04,1.59375
1992-11-05,1.5859379768371582
1992-11-06,1.671875
1992-11-09,1.671875
1992-11-10,1.75
1992-11-11,1.765625
1992-11-12,1.71875
1992-11-13,1.796875
1992-11-16,1.78125
1992-11-17,1.71875
1992-11-18,1.765625
1992-11-19,1.765625
1992-11-20,1.796875
1992-11-23,1.828125
1992-11-24,1.859375
1992-11-25,1.9375
1992-11-27,2.0
1992-11-30,2.03125
1992-12-01,1.984375
1992-12-02,1.9375
1992-12-03,1.984375
1992-12-04,2.015625
1992-12-07,2.125
1992-12-08,2.179687976837158
1992-12-09,2.1875
1992-12-10,2.140625
1992-12-11,2.164062976837158
