,AMTB
2018-10-18,30.0
2018-10-19,26.25
2018-10-22,26.25
2018-10-23,26.25
2018-10-24,29.700000762939453
2018-10-25,27.100000381469727
2018-10-26,25.0
2018-10-29,24.3799991607666
2018-10-30,21.0
2018-10-31,21.389999389648438
2018-11-01,19.510000228881836
2018-11-02,20.920000076293945
2018-11-05,21.0
2018-11-06,20.34000015258789
2018-11-07,17.200000762939453
2018-11-08,19.0
2018-11-09,19.0
2018-11-12,19.0
2018-11-13,17.0
2018-11-14,16.8799991607666
2018-11-15,16.75
2018-11-16,16.75
2018-11-19,16.0
2018-11-20,16.0
2018-11-21,15.930000305175781
2018-11-23,15.270000457763672
2018-11-26,12.899999618530273
2018-11-27,14.84000015258789
2018-11-28,16.719999313354492
2018-11-29,16.229999542236328
2018-11-30,16.0
2018-12-03,16.0
2018-12-04,15.100000381469727
2018-12-06,14.0
2018-12-07,14.050000190734863
2018-12-10,14.460000038146973
2018-12-11,14.34000015258789
2018-12-12,13.039999961853027
2018-12-13,13.039999961853027
2018-12-14,11.75
2018-12-17,10.649999618530273
2018-12-18,12.0
2018-12-19,13.0
2018-12-20,13.0
2018-12-21,13.449999809265137
2018-12-24,13.149999618530273
2018-12-26,13.0
2018-12-27,13.130000114440918
2018-12-28,13.010000228881836
2018-12-31,13.010000228881836
2019-01-02,13.34000015258789
2019-01-03,13.0
2019-01-04,13.210000038146973
2019-01-07,13.100000381469727
2019-01-08,13.180000305175781
2019-01-09,13.970000267028809
2019-01-10,13.6899995803833
2019-01-11,13.989999771118164
2019-01-14,13.9399995803833
2019-01-15,13.5
2019-01-16,13.199999809265137
2019-01-17,13.25
2019-01-18,13.5
2019-01-22,13.579999923706055
2019-01-23,13.550000190734863
2019-01-24,13.399999618530273
2019-01-25,13.470000267028809
2019-01-28,13.25
2019-01-29,13.479999542236328
2019-01-30,13.989999771118164
2019-01-31,13.90999984741211
2019-02-01,13.949999809265137
2019-02-04,14.020000457763672
2019-02-05,14.0
2019-02-06,14.640000343322754
2019-02-07,14.4399995803833
2019-02-08,15.0
2019-02-11,15.449999809265137
2019-02-12,15.270000457763672
2019-02-13,15.390000343322754
2019-02-14,15.5
2019-02-15,15.550000190734863
2019-02-19,15.6899995803833
2019-02-20,15.380000114440918
2019-02-21,15.979999542236328
2019-02-22,15.989999771118164
2019-02-25,15.399999618530273
2019-02-26,15.75
2019-02-27,15.699999809265137
2019-02-28,15.75
2019-03-01,15.609999656677246
2019-03-04,15.449999809265137
2019-03-05,15.170000076293945
2019-03-06,14.850000381469727
2019-03-07,14.75
2019-03-08,14.75
2019-03-11,14.050000190734863
2019-03-12,13.949999809265137
2019-03-13,14.279999732971191
2019-03-14,14.390000343322754
2019-03-15,13.989999771118164
2019-03-18,14.699999809265137
2019-03-19,14.5
2019-03-20,14.479999542236328
2019-03-21,14.390000343322754
2019-03-22,14.180000305175781
2019-03-25,14.0
2019-03-26,13.720000267028809
2019-03-27,13.859999656677246
2019-03-28,13.850000381469727
2019-03-29,13.930000305175781
2019-04-01,14.729999542236328
2019-04-02,15.449999809265137
2019-04-03,14.90999984741211
2019-04-04,15.5
2019-04-05,16.0
2019-04-08,15.949999809265137
2019-04-09,15.869999885559082
2019-04-10,15.850000381469727
2019-04-11,15.680000305175781
2019-04-12,15.899999618530273
2019-04-15,16.299999237060547
2019-04-16,16.09000015258789
2019-04-17,15.75
2019-04-18,15.979999542236328
2019-04-22,16.360000610351562
2019-04-23,15.699999809265137
2019-04-24,15.350000381469727
2019-04-25,15.300000190734863
2019-04-26,15.800000190734863
2019-04-29,16.399999618530273
2019-04-30,17.510000228881836
2019-05-01,17.950000762939453
2019-05-02,17.850000381469727
2019-05-03,17.809999465942383
2019-05-06,17.829999923706055
2019-05-07,16.8700008392334
2019-05-08,16.90999984741211
2019-05-09,17.739999771118164
2019-05-10,17.75
2019-05-13,17.889999389648438
2019-05-14,17.8799991607666
2019-05-15,17.59000015258789
2019-05-16,17.969999313354492
2019-05-17,18.100000381469727
2019-05-20,18.09000015258789
2019-05-21,18.68000030517578
2019-05-22,18.65999984741211
2019-05-23,18.729999542236328
2019-05-24,19.0
2019-05-28,19.0
2019-05-29,18.899999618530273
2019-05-30,18.709999084472656
2019-05-31,18.6200008392334
2019-06-03,18.270000457763672
2019-06-04,18.170000076293945
2019-06-05,18.149999618530273
2019-06-06,18.350000381469727
2019-06-07,18.34000015258789
2019-06-10,18.56999969482422
2019-06-11,18.540000915527344
2019-06-12,19.350000381469727
2019-06-13,19.170000076293945
2019-06-14,19.5
2019-06-17,19.329999923706055
2019-06-18,20.0
2019-06-19,19.860000610351562
2019-06-20,19.700000762939453
2019-06-21,19.559999465942383
2019-06-24,18.600000381469727
2019-06-25,18.100000381469727
2019-06-26,18.270000457763672
2019-06-27,18.81999969482422
2019-06-28,19.709999084472656
2019-07-01,21.84000015258789
2019-07-02,20.040000915527344
2019-07-03,19.459999084472656
2019-07-05,19.389999389648438
2019-07-08,18.950000762939453
2019-07-09,17.940000534057617
2019-07-10,17.65999984741211
2019-07-11,17.940000534057617
2019-07-12,18.15999984741211
2019-07-15,18.030000686645508
2019-07-16,17.59000015258789
2019-07-17,18.170000076293945
2019-07-18,17.760000228881836
2019-07-19,17.649999618530273
2019-07-22,17.719999313354492
2019-07-23,17.719999313354492
2019-07-24,17.940000534057617
2019-07-25,17.850000381469727
2019-07-26,17.979999542236328
2019-07-29,17.559999465942383
2019-07-30,18.709999084472656
2019-07-31,18.3799991607666
2019-08-01,18.799999237060547
2019-08-02,17.700000762939453
2019-08-05,17.8700008392334
2019-08-06,17.81999969482422
2019-08-07,17.850000381469727
2019-08-08,17.639999389648438
2019-08-09,17.25
2019-08-12,17.3799991607666
2019-08-13,17.270000457763672
2019-08-14,16.920000076293945
2019-08-15,16.600000381469727
2019-08-16,16.649999618530273
2019-08-19,17.3799991607666
2019-08-20,17.020000457763672
2019-08-21,17.059999465942383
2019-08-22,17.139999389648438
2019-08-23,16.639999389648438
2019-08-26,16.450000762939453
2019-08-27,16.079999923706055
2019-08-28,16.489999771118164
2019-08-29,16.579999923706055
2019-08-30,16.559999465942383
2019-09-03,17.56999969482422
2019-09-04,16.829999923706055
2019-09-05,16.690000534057617
2019-09-06,16.65999984741211
2019-09-09,19.200000762939453
2019-09-10,19.969999313354492
2019-09-11,20.440000534057617
2019-09-12,20.450000762939453
2019-09-13,20.06999969482422
2019-09-16,20.40999984741211
2019-09-17,20.149999618530273
2019-09-18,20.489999771118164
2019-09-19,20.440000534057617
2019-09-20,20.09000015258789
2019-09-23,19.989999771118164
2019-09-24,19.81999969482422
2019-09-25,20.1299991607666
2019-09-26,19.90999984741211
2019-09-27,20.68000030517578
2019-09-30,20.969999313354492
2019-10-01,19.0
2019-10-02,18.90999984741211
2019-10-03,18.93000030517578
2019-10-04,19.670000076293945
2019-10-07,19.350000381469727
2019-10-08,18.989999771118164
2019-10-09,19.309999465942383
2019-10-10,19.239999771118164
2019-10-11,19.190000534057617
2019-10-14,19.270000457763672
2019-10-15,19.219999313354492
2019-10-16,19.229999542236328
2019-10-17,19.299999237060547
2019-10-18,19.1200008392334
2019-10-21,19.270000457763672
2019-10-22,19.270000457763672
2019-10-23,19.260000228881836
2019-10-24,19.190000534057617
2019-10-25,19.040000915527344
2019-10-28,19.84000015258789
2019-10-29,19.739999771118164
2019-10-30,19.899999618530273
2019-10-31,19.649999618530273
2019-11-01,20.270000457763672
2019-11-04,20.780000686645508
2019-11-05,21.6200008392334
