,CUTR
2004-03-31,14.0
2004-04-01,14.119999885559082
2004-04-02,14.100000381469727
2004-04-05,14.0
2004-04-06,14.010000228881836
2004-04-07,14.010000228881836
2004-04-08,14.09000015258789
2004-04-12,14.010000228881836
2004-04-13,14.149999618530273
2004-04-14,14.100000381469727
2004-04-15,14.010000228881836
2004-04-16,14.0
2004-04-19,14.149999618530273
2004-04-20,14.15999984741211
2004-04-21,14.15999984741211
2004-04-22,15.4399995803833
2004-04-23,15.800000190734863
2004-04-26,15.699999809265137
2004-04-27,15.420000076293945
2004-04-28,14.989999771118164
2004-04-29,14.149999618530273
2004-04-30,14.069999694824219
2004-05-03,16.5
2004-05-04,15.59000015258789
2004-05-05,15.109999656677246
2004-05-06,14.770000457763672
2004-05-07,14.75
2004-05-10,14.140000343322754
2004-05-11,14.0
2004-05-12,14.079999923706055
2004-05-13,14.0
2004-05-14,14.050000190734863
2004-05-17,14.109999656677246
2004-05-18,14.010000228881836
2004-05-19,14.100000381469727
2004-05-20,14.0
2004-05-21,14.050000190734863
2004-05-24,14.020000457763672
2004-05-25,12.960000038146973
2004-05-26,12.25
2004-05-27,12.90999984741211
2004-05-28,12.800000190734863
2004-06-01,12.75
2004-06-02,13.0
2004-06-03,12.050000190734863
2004-06-04,12.760000228881836
2004-06-07,12.710000038146973
2004-06-08,12.699999809265137
2004-06-09,12.720000267028809
2004-06-10,12.15999984741211
2004-06-14,11.109999656677246
2004-06-15,11.229999542236328
2004-06-16,11.90999984741211
2004-06-17,12.300000190734863
2004-06-18,12.319999694824219
2004-06-21,12.09000015258789
2004-06-22,12.699999809265137
2004-06-23,13.199999809265137
2004-06-24,13.380000114440918
2004-06-25,13.59000015258789
2004-06-28,13.75
2004-06-29,13.600000381469727
2004-06-30,13.59000015258789
2004-07-01,13.449999809265137
2004-07-02,13.399999618530273
2004-07-06,13.180000305175781
2004-07-07,12.9399995803833
2004-07-08,12.789999961853027
2004-07-09,12.819999694824219
2004-07-12,13.050000190734863
2004-07-13,13.460000038146973
2004-07-14,13.119999885559082
2004-07-15,13.399999618530273
2004-07-16,13.399999618530273
2004-07-19,13.5
2004-07-20,13.300000190734863
2004-07-21,13.5
2004-07-22,13.3100004196167
2004-07-23,13.350000381469727
2004-07-26,13.90999984741211
2004-07-27,13.0
2004-07-28,13.050000190734863
2004-07-29,13.949999809265137
2004-07-30,14.0
2004-08-02,13.970000267028809
2004-08-03,13.5
2004-08-04,13.470000267028809
2004-08-05,13.489999771118164
2004-08-06,13.15999984741211
2004-08-09,12.880000114440918
2004-08-10,13.010000228881836
2004-08-11,13.0
2004-08-12,12.119999885559082
2004-08-13,11.319999694824219
2004-08-16,12.069999694824219
2004-08-17,12.699999809265137
2004-08-18,12.0
2004-08-19,12.149999618530273
