,DRVN
2021-01-19,28.6299991607666
2021-01-20,29.5
2021-01-21,29.25
2021-01-22,29.790000915527344
2021-01-25,29.979999542236328
2021-01-26,30.06999969482422
2021-01-27,29.1299991607666
2021-01-28,27.950000762939453
2021-01-29,28.100000381469727
2021-02-01,28.940000534057617
2021-02-02,28.219999313354492
2021-02-03,28.920000076293945
2021-02-04,30.530000686645508
2021-02-05,31.770000457763672
2021-02-08,32.25
2021-02-09,32.849998474121094
2021-02-10,32.63999938964844
2021-02-11,32.869998931884766
2021-02-12,34.5
2021-02-16,31.3799991607666
2021-02-17,29.170000076293945
2021-02-18,30.700000762939453
2021-02-19,30.889999389648438
2021-02-22,31.229999542236328
2021-02-23,31.40999984741211
2021-02-24,30.950000762939453
2021-02-25,29.170000076293945
2021-02-26,28.5
2021-03-01,29.079999923706055
2021-03-02,29.719999313354492
2021-03-03,29.309999465942383
2021-03-04,27.229999542236328
2021-03-05,27.559999465942383
2021-03-08,28.239999771118164
2021-03-09,28.93000030517578
2021-03-10,27.290000915527344
2021-03-11,27.25
2021-03-12,26.3799991607666
2021-03-15,25.93000030517578
2021-03-16,24.8700008392334
2021-03-17,25.649999618530273
2021-03-18,24.459999084472656
2021-03-19,23.940000534057617
2021-03-22,24.049999237060547
2021-03-23,23.899999618530273
2021-03-24,23.950000762939453
2021-03-25,22.790000915527344
2021-03-26,23.579999923706055
2021-03-29,23.959999084472656
2021-03-30,25.520000457763672
2021-03-31,25.420000076293945
2021-04-01,25.270000457763672
2021-04-05,25.639999389648438
2021-04-06,25.329999923706055
2021-04-07,25.450000762939453
2021-04-08,25.309999465942383
2021-04-09,25.440000534057617
2021-04-12,26.510000228881836
2021-04-13,25.850000381469727
2021-04-14,26.229999542236328
2021-04-15,25.8799991607666
2021-04-16,25.8700008392334
2021-04-19,25.940000534057617
2021-04-20,25.100000381469727
2021-04-21,25.0
2021-04-22,25.010000228881836
2021-04-23,25.709999084472656
2021-04-26,26.389999389648438
2021-04-27,27.489999771118164
2021-04-28,28.940000534057617
2021-04-29,29.399999618530273
2021-04-30,28.520000457763672
2021-05-03,28.31999969482422
2021-05-04,28.309999465942383
2021-05-05,28.829999923706055
2021-05-06,27.93000030517578
2021-05-07,28.1200008392334
2021-05-10,28.219999313354492
2021-05-11,28.260000228881836
2021-05-12,27.90999984741211
2021-05-13,27.670000076293945
2021-05-14,28.1299991607666
