,ASTS
2019-11-01,9.770000457763672
2019-11-04,9.770000457763672
2019-11-05,9.770000457763672
2019-11-06,9.770000457763672
2019-11-07,9.770000457763672
2019-11-08,9.770000457763672
2019-11-11,9.770000457763672
2019-11-12,10.119999885559082
2019-11-13,10.125
2019-11-14,10.125
2019-11-15,10.140000343322754
2019-11-18,10.15999984741211
2019-11-19,9.800000190734863
2019-11-20,9.819999694824219
2019-11-21,9.829999923706055
2019-11-22,9.829999923706055
2019-11-25,9.829999923706055
2019-11-26,9.829999923706055
2019-11-27,9.829999923706055
2019-11-29,9.817999839782715
2019-12-02,9.829999923706055
2019-12-03,9.829999923706055
2019-12-04,9.850000381469727
2019-12-05,9.850000381469727
2019-12-06,9.850000381469727
2019-12-09,9.829999923706055
2019-12-10,9.829999923706055
2019-12-11,9.829999923706055
2019-12-12,9.84000015258789
2019-12-13,9.84000015258789
2019-12-16,9.850000381469727
2019-12-17,9.859999656677246
2019-12-18,9.850000381469727
2019-12-19,9.869999885559082
2019-12-20,9.869999885559082
2019-12-23,9.869999885559082
2019-12-24,9.869999885559082
2019-12-26,9.869999885559082
2019-12-27,9.869999885559082
2019-12-30,9.869999885559082
2019-12-31,9.869999885559082
2020-01-02,9.869999885559082
2020-01-03,9.890000343322754
2020-01-06,9.890000343322754
2020-01-07,9.920000076293945
2020-01-08,9.920000076293945
2020-01-09,9.920000076293945
2020-01-10,9.899999618530273
2020-01-13,9.899999618530273
2020-01-14,9.9399995803833
2020-01-15,9.9399995803833
2020-01-16,9.949999809265137
2020-01-17,9.949999809265137
2020-01-21,9.979999542236328
2020-01-22,10.0
2020-01-23,9.989999771118164
2020-01-24,9.989999771118164
2020-01-27,9.989999771118164
2020-01-28,10.039999961853027
2020-01-29,10.010000228881836
2020-01-30,10.010000228881836
2020-01-31,10.0
2020-02-03,10.010000228881836
2020-02-04,10.0
2020-02-05,10.0
2020-02-06,10.0
2020-02-07,10.0
2020-02-10,10.010000228881836
2020-02-11,10.0
2020-02-12,10.0
2020-02-13,10.010000228881836
2020-02-14,10.0
2020-02-18,10.010000228881836
2020-02-19,10.010000228881836
2020-02-20,10.010000228881836
2020-02-21,10.010000228881836
2020-02-24,10.010000228881836
2020-02-25,10.0
2020-02-26,10.010000228881836
2020-02-27,9.979999542236328
2020-02-28,9.979999542236328
2020-03-02,9.979999542236328
2020-03-03,9.979999542236328
2020-03-04,9.979999542236328
2020-03-05,9.970000267028809
2020-03-06,9.972999572753906
2020-03-09,9.949999809265137
2020-03-10,9.90999984741211
2020-03-11,9.90999984741211
2020-03-12,9.795000076293945
2020-03-13,9.800000190734863
2020-03-16,9.600000381469727
2020-03-17,9.600000381469727
2020-03-18,9.520000457763672
2020-03-19,9.510000228881836
2020-03-20,9.510000228881836
2020-03-23,9.510000228881836
2020-03-24,9.628999710083008
2020-03-25,9.6899995803833
2020-03-26,9.729999542236328
2020-03-27,9.800000190734863
2020-03-30,9.800000190734863
2020-03-31,9.770000457763672
2020-04-01,10.100000381469727
2020-04-02,9.949999809265137
2020-04-03,9.850000381469727
2020-04-06,9.819999694824219
2020-04-07,9.819999694824219
2020-04-08,9.869999885559082
2020-04-09,9.814000129699707
2020-04-13,9.850000381469727
2020-04-14,9.869999885559082
2020-04-15,9.869999885559082
2020-04-16,9.869999885559082
2020-04-17,9.84000015258789
2020-04-20,9.84000015258789
2020-04-21,9.84000015258789
2020-04-22,9.84000015258789
2020-04-23,9.899999618530273
2020-04-24,9.930000305175781
2020-04-27,9.930000305175781
2020-04-28,9.930000305175781
2020-04-29,9.880000114440918
2020-04-30,9.880000114440918
2020-05-01,9.920000076293945
2020-05-04,9.920000076293945
2020-05-05,9.920000076293945
2020-05-06,9.913999557495117
2020-05-07,9.913999557495117
2020-05-08,9.899999618530273
2020-05-11,9.899999618530273
2020-05-12,9.899999618530273
2020-05-13,9.899999618530273
2020-05-14,9.899999618530273
2020-05-15,9.899999618530273
2020-05-18,9.899999618530273
2020-05-19,9.899999618530273
2020-05-20,9.899999618530273
2020-05-21,9.899999618530273
2020-05-22,9.899999618530273
2020-05-26,9.899999618530273
2020-05-27,9.899999618530273
2020-05-28,9.899999618530273
2020-05-29,9.869999885559082
2020-06-01,9.930000305175781
2020-06-02,9.930000305175781
2020-06-03,9.930000305175781
2020-06-04,9.930000305175781
2020-06-05,9.920000076293945
2020-06-08,9.954999923706055
2020-06-09,9.920000076293945
2020-06-10,9.920000076293945
2020-06-11,9.920000076293945
2020-06-12,9.920000076293945
2020-06-15,9.920000076293945
2020-06-16,9.970000267028809
2020-06-17,9.970000267028809
2020-06-18,9.970000267028809
2020-06-19,10.020000457763672
2020-06-22,10.050000190734863
2020-06-23,10.07800006866455
2020-06-24,10.039999961853027
2020-06-25,10.039999961853027
2020-06-26,10.039999961853027
2020-06-29,10.149999618530273
2020-06-30,10.079999923706055
2020-07-01,10.149999618530273
2020-07-02,10.220000267028809
2020-07-06,10.199999809265137
2020-07-07,10.180000305175781
2020-07-08,10.100000381469727
2020-07-09,10.119999885559082
2020-07-10,10.100000381469727
2020-07-13,10.119999885559082
2020-07-14,10.119999885559082
2020-07-15,10.170000076293945
2020-07-16,10.180000305175781
2020-07-17,10.130000114440918
2020-07-20,10.199999809265137
2020-07-21,10.260000228881836
2020-07-22,10.300000190734863
2020-07-23,10.300000190734863
2020-07-24,10.199999809265137
2020-07-27,10.210000038146973
2020-07-28,10.300000190734863
2020-07-29,10.199999809265137
2020-07-30,10.175000190734863
2020-07-31,10.180000305175781
2020-08-03,10.1850004196167
