,BENER
2021-01-28,0.4000000059604645
2021-01-29,0.32499998807907104
2021-02-01,0.44999998807907104
2021-02-02,0.5
2021-02-03,0.4880000054836273
2021-02-04,0.4659999907016754
2021-02-05,0.5299999713897705
2021-02-08,0.49000000953674316
2021-02-09,0.5
2021-02-10,0.5199999809265137
2021-02-11,0.46000000834465027
2021-02-12,0.4099999964237213
2021-02-16,0.41200000047683716
2021-02-17,0.4050000011920929
2021-02-18,0.4099999964237213
2021-02-19,0.40299999713897705
2021-02-22,0.38999998569488525
2021-02-23,0.36000001430511475
2021-02-24,0.39500001072883606
2021-02-25,0.36000001430511475
2021-02-26,0.3799999952316284
2021-03-01,0.3700000047683716
2021-03-02,0.3499999940395355
2021-03-03,0.3319999873638153
2021-03-04,0.3199999928474426
2021-03-05,0.3400000035762787
2021-03-08,0.3199999928474426
2021-03-09,0.33899998664855957
2021-03-10,0.33000001311302185
2021-03-11,0.3400000035762787
2021-03-12,0.3400000035762787
2021-03-15,0.3400000035762787
2021-03-16,0.32100000977516174
2021-03-17,0.32100000977516174
2021-03-18,0.33399999141693115
2021-03-19,0.32899999618530273
2021-03-22,0.328000009059906
2021-03-23,0.30799999833106995
2021-03-24,0.2930000126361847
2021-03-25,0.30000001192092896
2021-03-26,0.32899999618530273
2021-03-29,0.29499998688697815
2021-03-30,0.3100000023841858
2021-03-31,0.3269999921321869
2021-04-01,0.33000001311302185
2021-04-05,0.32600000500679016
2021-04-06,0.30000001192092896
2021-04-07,0.3199999928474426
2021-04-08,0.3269999921321869
2021-04-09,0.3199999928474426
2021-04-12,0.3100000023841858
2021-04-13,0.3100000023841858
2021-04-14,0.30000001192092896
2021-04-15,0.3100000023841858
2021-04-16,0.3100000023841858
2021-04-19,0.2879999876022339
2021-04-20,0.29100000858306885
2021-04-21,0.30000001192092896
2021-04-22,0.29100000858306885
2021-04-23,0.29499998688697815
2021-04-26,0.3199999928474426
2021-04-27,0.3160000145435333
2021-04-28,0.3100000023841858
2021-04-29,0.3199999928474426
2021-04-30,0.29600000381469727
2021-05-03,0.29499998688697815
2021-05-04,0.2800000011920929
2021-05-05,0.2720000147819519
2021-05-06,0.2800000011920929
2021-05-07,0.2709999978542328
2021-05-10,0.2709999978542328
2021-05-11,0.25999999046325684
2021-05-12,0.2800000011920929
2021-05-13,0.2800000011920929
2021-05-14,0.2800000011920929
