,EWBC
1999-02-03,4.75
1999-02-04,4.875
1999-02-05,4.875
1999-02-08,4.8125
1999-02-09,4.78125
1999-02-10,4.71875
1999-02-11,4.625
1999-02-12,4.5625
1999-02-16,4.625
1999-02-17,4.65625
1999-02-18,4.625
1999-02-19,4.625
1999-02-22,4.625
1999-02-23,4.6875
1999-02-24,4.6875
1999-02-25,4.5625
1999-02-26,4.6875
1999-03-01,4.625
1999-03-02,4.875
1999-03-03,4.75
1999-03-04,4.75
1999-03-05,4.625
1999-03-08,4.75
1999-03-09,4.65625
1999-03-10,4.625
1999-03-11,4.75
1999-03-12,4.8125
1999-03-15,4.8125
1999-03-16,4.8125
1999-03-17,4.875
1999-03-18,4.9375
1999-03-19,4.84375
1999-03-22,4.75
1999-03-23,4.75
1999-03-24,4.75
1999-03-25,4.6875
1999-03-26,4.625
1999-03-29,3.75
1999-03-30,4.5
1999-03-31,4.46875
1999-04-01,4.46875
1999-04-05,4.4375
1999-04-06,4.46875
1999-04-07,4.40625
1999-04-08,4.25
1999-04-09,4.25
1999-04-12,4.375
1999-04-13,4.4375
1999-04-14,4.625
1999-04-15,4.875
1999-04-16,4.78125
1999-04-19,4.84375
1999-04-20,4.875
1999-04-21,4.875
1999-04-22,4.8125
1999-04-23,4.75
1999-04-26,4.875
1999-04-27,4.8125
1999-04-28,4.9375
1999-04-29,4.875
1999-04-30,4.9375
1999-05-03,5.0
1999-05-04,5.1875
1999-05-05,5.25
1999-05-06,5.1875
1999-05-07,5.25
1999-05-10,5.21875
1999-05-11,5.25
1999-05-12,5.125
1999-05-13,5.1875
1999-05-14,5.25
1999-05-17,5.25
1999-05-18,5.34375
1999-05-19,5.3125
1999-05-20,5.1875
1999-05-21,5.03125
1999-05-24,5.0625
1999-05-25,5.03125
1999-05-26,5.0
1999-05-27,5.0
1999-05-28,5.0625
1999-06-01,5.03125
1999-06-02,5.03125
1999-06-03,5.03125
1999-06-04,5.03125
1999-06-07,5.0
1999-06-08,5.0
1999-06-09,5.0
1999-06-10,5.015625
1999-06-11,4.96875
1999-06-14,4.9375
1999-06-15,4.96875
1999-06-16,4.875
1999-06-17,4.96875
1999-06-18,4.96875
1999-06-21,4.875
1999-06-22,4.9375
1999-06-23,4.9375
1999-06-24,4.875
1999-06-25,4.96875
1999-06-28,5.0
1999-06-29,5.0625
1999-06-30,5.03125
1999-07-01,4.9375
1999-07-02,5.0
1999-07-06,5.0
1999-07-07,4.875
1999-07-08,4.9375
1999-07-09,4.96875
1999-07-12,5.1875
1999-07-13,5.1875
1999-07-14,5.125
1999-07-15,5.125
1999-07-16,5.15625
1999-07-19,5.25
1999-07-20,5.3125
1999-07-21,5.28125
1999-07-22,5.234375
1999-07-23,5.15625
1999-07-26,5.21875
1999-07-27,5.21875
1999-07-28,5.125
1999-07-29,5.0625
1999-07-30,5.09375
1999-08-02,5.15625
1999-08-03,5.1875
1999-08-04,5.09375
1999-08-05,5.0625
1999-08-06,5.0625
1999-08-09,4.96875
