,FNCH
2021-03-19,21.31999969482422
2021-03-22,19.149999618530273
2021-03-23,16.649999618530273
2021-03-24,16.25
2021-03-25,16.0
2021-03-26,16.0
2021-03-29,15.75
2021-03-30,15.539999961853027
2021-03-31,16.149999618530273
2021-04-01,15.649999618530273
2021-04-05,15.819999694824219
2021-04-06,16.649999618530273
2021-04-07,17.0
2021-04-08,17.510000228881836
2021-04-09,17.18000030517578
2021-04-12,17.100000381469727
2021-04-13,17.0
2021-04-14,16.65999984741211
2021-04-15,16.479999542236328
2021-04-16,15.989999771118164
2021-04-19,15.489999771118164
2021-04-20,14.229999542236328
2021-04-21,13.970000267028809
2021-04-22,13.960000038146973
2021-04-23,14.0
2021-04-26,13.619999885559082
2021-04-27,13.600000381469727
2021-04-28,14.199999809265137
2021-04-29,14.039999961853027
2021-04-30,14.0
2021-05-03,13.989999771118164
2021-05-04,13.430000305175781
2021-05-05,13.0600004196167
2021-05-06,12.930000305175781
2021-05-07,12.65999984741211
2021-05-10,12.399999618530273
2021-05-11,12.300000190734863
2021-05-12,12.270000457763672
2021-05-13,12.029999732971191
2021-05-14,12.039999961853027
