,CTRN
2005-05-18,15.699999809265137
2005-05-19,15.550000190734863
2005-05-20,14.75
2005-05-23,14.90999984741211
2005-05-24,15.0
2005-05-25,15.329999923706055
2005-05-26,15.170000076293945
2005-05-27,15.75
2005-05-31,16.299999237060547
2005-06-01,16.940000534057617
2005-06-02,18.799999237060547
2005-06-03,18.850000381469727
2005-06-06,17.899999618530273
2005-06-07,17.1200008392334
2005-06-08,16.899999618530273
2005-06-09,17.290000915527344
2005-06-10,18.139999389648438
2005-06-13,18.579999923706055
2005-06-14,18.440000534057617
2005-06-15,18.850000381469727
2005-06-16,18.149999618530273
2005-06-17,17.34000015258789
2005-06-20,16.65999984741211
2005-06-21,16.8799991607666
2005-06-22,16.209999084472656
2005-06-23,16.600000381469727
2005-06-24,16.350000381469727
2005-06-27,16.600000381469727
2005-06-28,17.049999237060547
2005-06-29,17.469999313354492
2005-06-30,18.079999923706055
2005-07-01,18.450000762939453
2005-07-05,20.3700008392334
2005-07-06,21.25
2005-07-07,23.1200008392334
2005-07-08,23.579999923706055
2005-07-11,24.0
2005-07-12,24.229999542236328
2005-07-13,25.149999618530273
2005-07-14,25.149999618530273
2005-07-15,25.25
2005-07-18,24.649999618530273
2005-07-19,24.399999618530273
2005-07-20,25.459999084472656
2005-07-21,25.34000015258789
2005-07-22,26.399999618530273
2005-07-25,25.8799991607666
2005-07-26,26.600000381469727
2005-07-27,26.979999542236328
2005-07-28,27.729999542236328
2005-07-29,27.549999237060547
2005-08-01,29.540000915527344
2005-08-02,29.15999984741211
2005-08-03,29.1299991607666
2005-08-04,27.209999084472656
2005-08-05,27.920000076293945
2005-08-08,26.739999771118164
2005-08-09,26.059999465942383
2005-08-10,27.440000534057617
2005-08-11,27.6299991607666
2005-08-12,27.219999313354492
2005-08-15,27.010000228881836
2005-08-16,25.809999465942383
2005-08-17,25.889999389648438
2005-08-18,25.469999313354492
2005-08-19,26.329999923706055
2005-08-22,26.510000228881836
2005-08-23,26.020000457763672
2005-08-24,26.3700008392334
2005-08-25,26.579999923706055
2005-08-26,27.510000228881836
2005-08-29,27.40999984741211
2005-08-30,26.889999389648438
2005-08-31,27.190000534057617
2005-09-01,25.6200008392334
2005-09-02,26.030000686645508
2005-09-06,26.040000915527344
2005-09-07,26.040000915527344
2005-09-08,25.860000610351562
2005-09-09,26.110000610351562
2005-09-12,26.940000534057617
2005-09-13,26.309999465942383
2005-09-14,25.899999618530273
2005-09-15,25.90999984741211
2005-09-16,25.56999969482422
2005-09-19,25.0
2005-09-20,23.8700008392334
2005-09-21,21.280000686645508
2005-09-22,21.760000228881836
2005-09-23,22.0
2005-09-26,23.200000762939453
2005-09-27,23.010000228881836
2005-09-28,22.700000762939453
2005-09-29,22.799999237060547
2005-09-30,21.829999923706055
2005-10-03,22.010000228881836
2005-10-04,22.6200008392334
2005-10-05,22.0
2005-10-06,25.34000015258789
2005-10-07,25.649999618530273
2005-10-10,25.360000610351562
2005-10-11,25.100000381469727
2005-10-12,24.190000534057617
2005-10-13,23.649999618530273
2005-10-14,24.059999465942383
2005-10-17,24.84000015258789
2005-10-18,24.520000457763672
2005-10-19,24.450000762939453
