,AMRK
2014-03-17,13.300000190734863
2014-03-18,14.25
2014-03-19,14.0
2014-03-20,14.0
2014-03-21,13.239999771118164
2014-03-24,12.420000076293945
2014-03-25,13.4399995803833
2014-03-26,12.470000267028809
2014-03-27,13.130000114440918
2014-03-28,13.0
2014-03-31,13.119999885559082
2014-04-01,13.079999923706055
2014-04-02,13.010000228881836
2014-04-03,12.880000114440918
2014-04-04,12.520000457763672
2014-04-07,12.5
2014-04-08,12.149999618530273
2014-04-09,12.0
2014-04-10,12.010000228881836
2014-04-11,11.970000267028809
2014-04-14,11.9399995803833
2014-04-15,11.720000267028809
2014-04-16,11.899999618530273
2014-04-17,12.0
2014-04-21,11.699999809265137
2014-04-22,11.770000457763672
2014-04-23,11.75
2014-04-24,11.260000228881836
2014-04-25,11.760000228881836
2014-04-28,11.800000190734863
2014-04-29,11.84000015258789
2014-04-30,11.579999923706055
2014-05-01,11.65999984741211
2014-05-02,11.720000267028809
2014-05-05,11.75
2014-05-06,11.5
2014-05-07,11.779999732971191
2014-05-08,11.800000190734863
2014-05-09,11.529999732971191
2014-05-12,11.800000190734863
2014-05-13,11.600000381469727
2014-05-14,11.550999641418457
2014-05-15,11.5
2014-05-16,11.489999771118164
2014-05-19,11.300000190734863
2014-05-20,11.449999809265137
2014-05-21,11.4399995803833
2014-05-22,11.4399995803833
2014-05-23,11.4399995803833
2014-05-27,11.039999961853027
2014-05-28,11.380000114440918
2014-05-29,11.380000114440918
2014-05-30,11.199999809265137
2014-06-02,11.0
2014-06-03,11.020000457763672
2014-06-04,11.079999923706055
2014-06-05,11.359999656677246
2014-06-06,11.390000343322754
2014-06-09,11.4399995803833
2014-06-10,11.470000267028809
2014-06-11,11.329999923706055
2014-06-12,11.5
2014-06-13,11.489999771118164
2014-06-16,11.989999771118164
2014-06-17,11.59000015258789
2014-06-18,11.979999542236328
2014-06-19,11.989999771118164
2014-06-20,10.869999885559082
2014-06-23,11.479999542236328
2014-06-24,11.149999618530273
2014-06-25,11.25
2014-06-26,11.390000343322754
2014-06-27,11.119999885559082
2014-06-30,11.15999984741211
2014-07-01,11.40999984741211
2014-07-02,11.699999809265137
2014-07-03,11.680000305175781
2014-07-07,12.029999732971191
2014-07-08,11.869999885559082
2014-07-09,12.0
2014-07-10,11.989999771118164
2014-07-11,12.029999732971191
2014-07-14,12.029999732971191
2014-07-15,11.970000267028809
2014-07-16,11.949999809265137
2014-07-17,11.949999809265137
2014-07-18,12.039999961853027
2014-07-21,11.949999809265137
2014-07-22,11.760000228881836
2014-07-23,11.720000267028809
2014-07-24,11.699999809265137
2014-07-25,11.75
2014-07-28,11.850000381469727
