,ACKIU
2020-12-21,10.100000381469727
2020-12-22,10.140000343322754
2020-12-23,10.140000343322754
2020-12-24,10.180000305175781
2020-12-28,10.279999732971191
2020-12-29,10.15999984741211
2020-12-30,10.210000038146973
2020-12-31,10.289999961853027
2021-01-04,10.270000457763672
2021-01-05,10.34000015258789
2021-01-06,10.430000305175781
2021-01-07,10.399999618530273
2021-01-08,10.324999809265137
2021-01-11,10.34000015258789
2021-01-12,10.399999618530273
2021-01-13,10.449999809265137
2021-01-14,10.470000267028809
2021-01-15,10.491000175476074
2021-01-19,10.449999809265137
2021-01-20,10.5
2021-01-21,10.49899959564209
2021-01-22,10.470000267028809
2021-01-25,10.5
2021-01-26,10.550000190734863
2021-01-27,10.329999923706055
2021-01-28,10.319999694824219
2021-01-29,10.350000381469727
2021-02-01,10.359999656677246
2021-02-02,10.420000076293945
2021-02-03,10.59000015258789
2021-02-04,10.720000267028809
2021-02-05,10.720000267028809
2021-02-08,10.699999809265137
2021-02-09,10.744999885559082
2021-02-10,10.800000190734863
2021-02-11,10.710000038146973
2021-02-12,10.699999809265137
2021-02-16,10.710000038146973
2021-02-17,10.699999809265137
2021-02-18,10.75
2021-02-19,10.770000457763672
2021-02-22,10.800000190734863
2021-02-23,10.770000457763672
2021-02-24,10.770000457763672
2021-02-25,10.720000267028809
2021-02-26,10.579999923706055
2021-03-01,10.430000305175781
2021-03-02,10.399999618530273
2021-03-03,10.300000190734863
2021-03-04,10.149999618530273
2021-03-05,10.350000381469727
2021-03-08,10.300000190734863
2021-03-09,10.25
2021-03-10,10.289999961853027
2021-03-11,10.270000457763672
2021-03-12,10.289999961853027
2021-03-15,10.239999771118164
2021-03-16,10.229999542236328
2021-03-17,10.229999542236328
2021-03-18,10.220000267028809
2021-03-19,10.1899995803833
2021-03-22,10.210000038146973
2021-03-23,10.149999618530273
2021-03-24,10.170000076293945
2021-03-25,10.109999656677246
2021-03-26,10.149999618530273
2021-03-29,10.119999885559082
2021-03-30,10.130000114440918
2021-03-31,10.149999618530273
2021-04-01,10.149999618530273
2021-04-05,10.211000442504883
2021-04-06,10.229999542236328
2021-04-07,10.180000305175781
2021-04-08,10.25
2021-04-09,10.210000038146973
2021-04-12,10.25
2021-04-13,10.210000038146973
2021-04-14,10.239999771118164
2021-04-15,10.201000213623047
2021-04-16,10.199999809265137
2021-04-19,10.199999809265137
2021-04-20,10.25
2021-04-21,10.15999984741211
2021-04-22,10.15999984741211
2021-04-23,10.1899995803833
2021-04-26,10.220000267028809
2021-04-27,10.21500015258789
2021-04-28,10.220000267028809
2021-04-29,10.239999771118164
2021-04-30,10.230999946594238
2021-05-03,10.229999542236328
2021-05-04,10.229999542236328
2021-05-05,10.270000457763672
2021-05-06,10.239999771118164
2021-05-07,10.251999855041504
2021-05-10,10.279999732971191
2021-05-11,10.15999984741211
2021-05-12,10.170000076293945
2021-05-13,10.170000076293945
2021-05-14,10.199999809265137
