,ETACU
2020-07-31,10.0
2020-08-03,10.029999732971191
2020-08-04,10.010000228881836
2020-08-05,10.010000228881836
2020-08-06,10.0
2020-08-07,10.0
2020-08-10,10.020000457763672
2020-08-11,10.010000228881836
2020-08-12,10.015999794006348
2020-08-13,10.0
2020-08-14,10.0
2020-08-17,10.010000228881836
2020-08-18,10.010000228881836
2020-08-19,10.0
2020-08-20,10.010000228881836
2020-08-21,10.010000228881836
2020-08-24,10.010000228881836
2020-08-25,10.024999618530273
2020-08-26,10.029999732971191
2020-08-27,10.010000228881836
2020-08-28,10.0
2020-08-31,10.0
2020-09-01,10.010000228881836
2020-09-02,10.0
2020-09-03,10.050000190734863
2020-09-04,10.029999732971191
2020-09-08,10.039999961853027
2020-09-09,10.0600004196167
2020-09-10,10.020000457763672
2020-09-11,10.050000190734863
2020-09-14,10.029999732971191
2020-09-15,10.100000381469727
2020-09-16,10.020000457763672
2020-09-17,10.079999923706055
2020-09-18,10.180000305175781
2020-09-21,10.125
2020-09-22,10.1899995803833
2020-09-23,10.199999809265137
2020-09-24,10.109999656677246
2020-09-25,10.15999984741211
2020-09-28,10.149999618530273
2020-09-29,10.119999885559082
2020-09-30,10.079999923706055
2020-10-01,10.029999732971191
2020-10-02,10.0600004196167
2020-10-05,10.024999618530273
2020-10-06,10.03499984741211
2020-10-07,10.020000457763672
2020-10-08,10.029999732971191
2020-10-09,10.01099967956543
2020-10-12,10.020000457763672
2020-10-13,10.01099967956543
2020-10-14,10.020000457763672
2020-10-15,10.010000228881836
2020-10-16,10.0
2020-10-19,10.050000190734863
2020-10-20,10.039999961853027
2020-10-21,10.010000228881836
2020-10-22,10.010000228881836
2020-10-23,9.979999542236328
2020-10-26,9.979999542236328
2020-10-27,9.970000267028809
2020-10-28,9.979999542236328
2020-10-29,9.979999542236328
2020-10-30,9.96500015258789
2020-11-02,9.979999542236328
2020-11-03,9.960000038146973
2020-11-04,9.930000305175781
2020-11-05,9.920000076293945
2020-11-06,9.942999839782715
2020-11-09,9.930000305175781
2020-11-10,10.0
2020-11-11,9.96399974822998
2020-11-12,9.960000038146973
2020-11-13,9.960000038146973
2020-11-16,9.920000076293945
2020-11-17,9.972999572753906
2020-11-18,10.0
2020-11-19,10.029999732971191
2020-11-20,10.0
2020-11-23,10.039999961853027
2020-11-24,10.039999961853027
2020-11-25,10.149999618530273
2020-11-27,10.170000076293945
2020-11-30,10.149999618530273
2020-12-01,10.130000114440918
2020-12-02,10.229999542236328
2020-12-03,10.180000305175781
2020-12-04,10.25
2020-12-07,10.279999732971191
2020-12-08,10.289999961853027
2020-12-09,10.300000190734863
2020-12-10,10.279999732971191
2020-12-11,10.420000076293945
2020-12-14,10.510000228881836
2020-12-15,10.520000457763672
2020-12-16,10.548999786376953
2020-12-17,10.600000381469727
2020-12-18,10.600000381469727
2020-12-21,10.59000015258789
2020-12-22,10.649999618530273
2020-12-23,10.699999809265137
2020-12-24,10.739999771118164
2020-12-28,10.829999923706055
2020-12-29,10.75
2020-12-30,10.739999771118164
2020-12-31,10.65999984741211
2021-01-04,10.600000381469727
2021-01-05,10.75
2021-01-06,10.729999542236328
2021-01-07,10.739999771118164
2021-01-08,10.795000076293945
2021-01-11,10.8100004196167
2021-01-12,10.9399995803833
2021-01-13,10.989999771118164
2021-01-14,11.039999961853027
2021-01-15,11.0
2021-01-19,11.0600004196167
2021-01-20,11.020000457763672
2021-01-21,11.350000381469727
2021-01-22,11.600000381469727
2021-01-25,11.460000038146973
2021-01-26,11.25
2021-01-27,10.920000076293945
2021-01-28,11.0
2021-01-29,10.930000305175781
2021-02-01,10.970000267028809
2021-02-02,11.0600004196167
2021-02-03,11.289999961853027
2021-02-04,11.350000381469727
2021-02-05,11.229999542236328
2021-02-08,11.199999809265137
2021-02-09,11.199999809265137
2021-02-10,11.399999618530273
2021-02-11,11.25
2021-02-12,11.20300006866455
2021-02-16,11.180000305175781
2021-02-17,11.130000114440918
2021-02-18,11.3100004196167
2021-02-19,11.399999618530273
2021-02-22,11.399999618530273
2021-02-23,11.100000381469727
2021-02-24,11.0
2021-02-25,10.75
2021-02-26,10.779999732971191
2021-03-01,10.649999618530273
2021-03-02,10.529999732971191
2021-03-03,10.40999984741211
2021-03-04,10.369999885559082
2021-03-05,10.34000015258789
2021-03-08,10.380000114440918
2021-03-09,10.4399995803833
2021-03-10,10.369999885559082
2021-03-11,10.489999771118164
2021-03-12,10.369999885559082
2021-03-15,10.399999618530273
2021-03-16,10.350000381469727
2021-03-17,10.260000228881836
2021-03-18,10.289999961853027
2021-03-19,10.289999961853027
2021-03-22,10.149999618530273
2021-03-23,10.029999732971191
2021-03-24,9.979999542236328
2021-03-25,9.98900032043457
2021-03-26,10.100000381469727
2021-03-29,10.154999732971191
2021-03-30,10.100000381469727
2021-03-31,10.095999717712402
2021-04-01,10.130000114440918
2021-04-05,10.149999618530273
2021-04-06,10.149999618530273
2021-04-07,10.125
2021-04-08,10.1899995803833
2021-04-09,10.199999809265137
