,BLU
2003-09-18,1401.444091796875
2003-09-19,1321.2996826171875
2003-09-22,1342.9603271484375
2003-09-23,1418.7725830078125
2003-09-24,1397.1119384765625
2003-09-25,1359.205810546875
2003-09-26,1353.7906494140625
2003-09-29,1315.884521484375
2003-09-30,1307.22021484375
2003-10-01,1305.05419921875
2003-10-02,1335.3790283203125
2003-10-03,1360.288818359375
2003-10-06,1350.54150390625
2003-10-07,1353.7906494140625
2003-10-08,1364.6209716796875
2003-10-09,1353.7906494140625
2003-10-10,1376.5343017578125
2003-10-13,1370.0361328125
2003-10-14,1366.7869873046875
2003-10-15,1375.4512939453125
2003-10-16,1375.4512939453125
2003-10-17,1380.866455078125
2003-10-20,1399.2779541015625
2003-10-21,1406.8592529296875
2003-10-22,1410.1082763671875
2003-10-23,1407.9422607421875
2003-10-24,1418.7725830078125
2003-10-27,1424.187744140625
2003-10-28,1476.17333984375
2003-10-29,1543.3212890625
2003-10-30,1613.7183837890625
2003-10-31,1586.642578125
2003-11-03,1602.8880615234375
2003-11-04,1667.8699951171875
2003-11-05,1631.046875
2003-11-06,1595.306884765625
2003-11-07,1648.37548828125
2003-11-10,1673.28515625
2003-11-11,1685.1986083984375
2003-11-12,1759.9278564453125
2003-11-13,1785.9205322265625
2003-11-14,1788.086669921875
2003-11-17,1853.068603515625
2003-11-18,1779.42236328125
2003-11-19,1758.8447265625
2003-11-20,1755.595703125
2003-11-21,1848.7364501953125
2003-11-24,1789.169677734375
2003-11-25,1793.5018310546875
2003-11-26,1791.335693359375
2003-11-28,1791.335693359375
2003-12-01,1790.252685546875
2003-12-02,1862.81591796875
2003-12-03,1879.0614013671875
2003-12-04,1889.8917236328125
2003-12-05,1871.4801025390625
2003-12-08,1952.7076416015625
2003-12-09,1992.77978515625
2003-12-10,2041.5162353515625
2003-12-11,1984.115478515625
2003-12-12,2095.66796875
2003-12-15,2223.4658203125
2003-12-16,2176.895263671875
2003-12-17,2101.0830078125
2003-12-18,2149.819580078125
2003-12-19,2167.14794921875
2003-12-22,2183.3935546875
2003-12-23,2292.77978515625
2003-12-24,2383.75439453125
2003-12-26,2387.003662109375
2003-12-29,2520.216552734375
2003-12-30,2573.28515625
2003-12-31,2553.79052734375
2004-01-02,2598.19482421875
2004-01-05,2698.9169921875
2004-01-06,2624.187744140625
2004-01-07,2650.180419921875
2004-01-08,2707.581298828125
2004-01-09,2745.4873046875
2004-01-12,2709.747314453125
2004-01-13,2560.288818359375
2004-01-14,2279.783447265625
2004-01-15,2161.73291015625
2004-01-16,2338.26708984375
2004-01-20,2349.097412109375
2004-01-21,2345.848388671875
2004-01-22,2356.6787109375
2004-01-23,2410.830322265625
2004-01-26,2378.33935546875
2004-01-27,2307.942138671875
2004-01-28,2317.689453125
2004-01-29,2246.20947265625
2004-01-30,2326.353759765625
2004-02-02,2301.444091796875
2004-02-03,2268.953125
2004-02-04,2232.1298828125
2004-02-05,2185.5595703125
2004-02-06,2214.801513671875
2004-02-09,2278.700439453125
2004-02-10,2315.5234375
2004-02-11,2404.33203125
2004-02-12,2276.5341796875
2004-02-13,2283.032470703125
2004-02-17,2262.454833984375
2004-02-18,2249.45849609375
2004-02-19,2274.3681640625
2004-02-20,2265.703857421875
2004-02-23,2214.801513671875
2004-02-24,2180.144287109375
2004-02-25,2156.317626953125
2004-02-26,2111.913330078125
2004-02-27,2188.80859375
2004-03-01,2275.451171875
2004-03-02,2273.28515625
2004-03-03,2385.920654296875
2004-03-04,2371.841064453125
2004-03-05,2411.913330078125
2004-03-08,2336.10107421875
2004-03-09,2336.10107421875
2004-03-10,2264.620849609375
2004-03-11,2138.9892578125
2004-03-12,2154.151611328125
2004-03-15,2138.9892578125
2004-03-16,2135.739990234375
2004-03-17,2193.140869140625
2004-03-18,2198.555908203125
2004-03-19,2235.379150390625
2004-03-22,2163.89892578125
2004-03-23,2174.729248046875
2004-03-24,2163.89892578125
2004-03-25,2207.22021484375
2004-03-26,2196.389892578125
2004-03-29,2277.617431640625
2004-03-30,2292.77978515625
2004-03-31,2309.025390625
2004-04-01,2430.324951171875
2004-04-02,2583.032470703125
2004-04-05,2615.5234375
2004-04-06,2642.599365234375
2004-04-07,2642.599365234375
2004-04-08,2638.26708984375
2004-04-12,2599.278076171875
2004-04-13,2610.1083984375
2004-04-14,2636.10107421875
2004-04-15,2632.85205078125
2004-04-16,2687.003662109375
2004-04-19,2737.90625
2004-04-20,2718.41162109375
2004-04-21,2653.4296875
2004-04-22,2750.902587890625
2004-04-23,2769.31396484375
2004-04-26,2871.119140625
2004-04-27,2909.025390625
2004-04-28,2863.537841796875
2004-04-29,2851.62451171875
2004-04-30,2599.278076171875
2004-05-03,2714.079345703125
2004-05-04,2707.581298828125
2004-05-05,2672.924072265625
2004-05-06,2722.74365234375
2004-05-07,2689.169677734375
2004-05-10,2576.5341796875
2004-05-11,2542.960205078125
2004-05-12,2503.97119140625
2004-05-13,2527.7978515625
2004-05-14,2497.472900390625
2004-05-17,2480.144287109375
2004-05-18,2518.050537109375
2004-05-19,2450.902587890625
2004-05-20,2353.4296875
2004-05-21,2327.436767578125
2004-05-24,2356.6787109375
2004-05-25,2339.35009765625
2004-05-26,2333.93505859375
2004-05-27,2473.646240234375
2004-05-28,2371.841064453125
2004-06-01,2371.841064453125
2004-06-02,2390.252685546875
2004-06-03,2379.42236328125
2004-06-04,2376.17333984375
2004-06-07,2398.9169921875
2004-06-08,2388.086669921875
2004-06-09,2288.44775390625
2004-06-10,2438.9892578125
2004-06-14,2359.927734375
2004-06-15,2388.086669921875
2004-06-16,2416.24560546875
2004-06-17,2397.833984375
2004-06-18,2328.519775390625
2004-06-21,2358.8447265625
2004-06-22,2274.3681640625
2004-06-23,2214.801513671875
2004-06-24,2194.223876953125
2004-06-25,2274.3681640625
2004-06-28,2264.620849609375
2004-06-29,2294.94580078125
