,APTO
1992-03-16,1890.0
1992-03-17,1890.0
1992-03-18,1890.0
1992-03-19,1890.0
1992-03-20,1890.0
1992-03-23,1620.0
1992-03-24,1620.0
1992-03-25,1620.0
1992-03-26,1620.0
1992-03-27,1620.0
1992-03-30,1485.0
1992-03-31,1485.0
1992-04-01,1395.0
1992-04-02,1440.0
1992-04-03,1350.0
1992-04-06,1125.0
1992-04-07,1125.0
1992-04-08,1125.0
1992-04-09,1125.0
1992-04-10,1125.0
1992-04-13,1125.0
1992-04-14,1125.0
1992-04-15,1125.0
1992-04-16,1125.0
1992-04-20,1125.0
1992-04-21,810.0
1992-04-22,810.0
1992-04-23,855.0
1992-04-24,855.0
1992-04-27,855.0
1992-04-28,855.0
1992-04-29,855.0
1992-04-30,855.0
1992-05-01,900.0
1992-05-04,900.0
1992-05-05,900.0
1992-05-06,900.0
1992-05-07,900.0
1992-05-08,900.0
1992-05-11,810.0
1992-05-12,810.0
1992-05-13,810.0
1992-05-14,810.0
1992-05-15,675.0
1992-05-18,675.0
1992-05-19,630.0
1992-05-20,630.0
1992-05-21,630.0
1992-05-22,630.0
1992-05-26,630.0
1992-05-27,630.0
1992-05-28,630.0
1992-05-29,630.0
1992-06-01,630.0
1992-06-02,720.0
1992-06-03,720.0
1992-06-04,720.0
1992-06-05,720.0
1992-06-08,720.0
1992-06-09,720.0
1992-06-10,720.0
1992-06-11,720.0
1992-06-12,720.0
1992-06-15,720.0
1992-06-16,720.0
1992-06-17,855.0
1992-06-18,855.0
1992-06-19,855.0
1992-06-22,855.0
1992-06-23,855.0
1992-06-24,765.0
1992-06-25,765.0
1992-06-26,765.0
1992-06-29,765.0
1992-06-30,720.0
1992-07-01,720.0
1992-07-02,720.0
1992-07-06,720.0
1992-07-07,720.0
1992-07-08,720.0
1992-07-09,675.0
1992-07-10,675.0
1992-07-13,675.0
1992-07-14,675.0
1992-07-15,675.0
1992-07-16,675.0
1992-07-17,675.0
1992-07-20,675.0
1992-07-21,675.0
1992-07-22,675.0
1992-07-23,675.0
1992-07-24,675.0
1992-07-27,675.0
1992-07-28,675.0
1992-07-29,675.0
1992-07-30,765.0
1992-07-31,765.0
1992-08-03,765.0
