,BHSEU
2020-10-30,9.880000114440918
2020-11-02,9.800000190734863
2020-11-03,9.8100004196167
2020-11-04,9.859999656677246
2020-11-05,9.859999656677246
2020-11-06,9.890000343322754
2020-11-09,9.869999885559082
2020-11-10,9.890000343322754
2020-11-11,9.890000343322754
2020-11-12,9.880000114440918
2020-11-13,9.880000114440918
2020-11-16,9.9399995803833
2020-11-17,9.899999618530273
2020-11-18,9.895999908447266
2020-11-19,9.895000457763672
2020-11-20,9.899999618530273
2020-11-23,9.9350004196167
2020-11-24,9.90999984741211
2020-11-25,9.949999809265137
2020-11-27,9.9399995803833
2020-11-30,9.949999809265137
2020-12-01,9.954999923706055
2020-12-02,9.949999809265137
2020-12-03,9.970000267028809
2020-12-04,9.989999771118164
2020-12-07,10.038000106811523
2020-12-08,10.010000228881836
2020-12-09,9.989999771118164
2020-12-10,10.0
2020-12-11,10.069999694824219
2020-12-14,10.09000015258789
2020-12-15,10.104999542236328
2020-12-16,10.149999618530273
2020-12-17,10.229999542236328
2020-12-18,10.300000190734863
2020-12-21,10.300000190734863
2020-12-22,10.3100004196167
2020-12-23,10.420000076293945
2020-12-24,10.640000343322754
2020-12-28,10.699999809265137
2020-12-29,11.770000457763672
2020-12-30,12.130000114440918
2020-12-31,11.380000114440918
2021-01-04,10.946999549865723
2021-01-05,10.890000343322754
2021-01-06,11.0
2021-01-07,11.100000381469727
2021-01-08,11.140000343322754
2021-01-11,11.140000343322754
2021-01-12,11.130000114440918
2021-01-13,11.180000305175781
2021-01-14,11.25
2021-01-15,11.25
2021-01-19,11.199999809265137
2021-01-20,11.289999961853027
2021-01-21,11.149999618530273
2021-01-22,11.199999809265137
2021-01-25,11.366999626159668
2021-01-26,11.366999626159668
2021-01-27,10.8100004196167
2021-01-28,10.850000381469727
2021-01-29,10.800000190734863
2021-02-01,10.800000190734863
2021-02-02,10.819999694824219
2021-02-03,10.930000305175781
2021-02-04,11.15999984741211
2021-02-05,10.899999618530273
2021-02-08,11.09000015258789
2021-02-09,11.100000381469727
2021-02-10,11.0
2021-02-11,11.100000381469727
2021-02-12,11.1899995803833
2021-02-16,11.189000129699707
2021-02-17,11.255000114440918
2021-02-18,11.255000114440918
2021-02-19,11.255000114440918
2021-02-22,11.25
2021-02-23,11.0600004196167
2021-02-24,11.199999809265137
2021-02-25,11.199999809265137
2021-02-26,10.899999618530273
2021-03-01,11.0
2021-03-02,10.831999778747559
2021-03-03,10.699999809265137
2021-03-04,10.329999923706055
2021-03-05,10.399999618530273
2021-03-08,10.5
2021-03-09,10.564000129699707
2021-03-10,10.5600004196167
2021-03-11,10.5
2021-03-12,10.399999618530273
2021-03-15,10.5
2021-03-16,10.5
2021-03-17,10.744000434875488
2021-03-18,10.744000434875488
2021-03-19,10.5600004196167
2021-03-22,10.550000190734863
2021-03-23,10.550000190734863
2021-03-24,10.199999809265137
2021-03-25,10.789999961853027
2021-03-26,10.390000343322754
2021-03-29,10.390000343322754
2021-03-30,10.390000343322754
2021-03-31,10.390000343322754
2021-04-01,10.390000343322754
2021-04-05,10.390000343322754
2021-04-06,10.390000343322754
2021-04-07,10.390000343322754
2021-04-08,10.390000343322754
2021-04-09,10.390000343322754
2021-04-12,10.390000343322754
2021-04-13,10.5
2021-04-14,10.614999771118164
2021-04-15,10.614999771118164
2021-04-16,10.614999771118164
2021-04-19,10.614999771118164
2021-04-20,10.614999771118164
2021-04-21,10.3100004196167
2021-04-22,10.3100004196167
2021-04-23,10.270000457763672
2021-04-26,10.270000457763672
2021-04-27,10.149999618530273
2021-04-28,10.149999618530273
2021-04-29,10.149999618530273
2021-04-30,10.149999618530273
2021-05-03,10.494999885559082
2021-05-04,10.494999885559082
2021-05-05,10.494999885559082
2021-05-06,10.494999885559082
2021-05-07,10.494999885559082
2021-05-10,10.494999885559082
2021-05-11,10.494999885559082
2021-05-12,10.5
2021-05-13,10.5
2021-05-14,10.5
