,APYX
2019-01-02,6.46999979019165
2019-01-03,6.5
2019-01-04,6.619999885559082
2019-01-07,7.489999771118164
2019-01-08,7.739999771118164
2019-01-09,7.909999847412109
2019-01-10,8.15999984741211
2019-01-11,8.239999771118164
2019-01-14,8.25
2019-01-15,8.670000076293945
2019-01-16,8.640000343322754
2019-01-17,8.460000038146973
2019-01-18,8.380000114440918
2019-01-22,8.420000076293945
2019-01-23,8.319999694824219
2019-01-24,8.460000038146973
2019-01-25,8.75
2019-01-28,8.739999771118164
2019-01-29,8.720000267028809
2019-01-30,8.649999618530273
2019-01-31,8.670000076293945
2019-02-01,8.720000267028809
2019-02-04,8.6899995803833
2019-02-05,8.350000381469727
2019-02-06,8.170000076293945
2019-02-07,8.119999885559082
2019-02-08,8.170000076293945
2019-02-11,8.289999961853027
2019-02-12,8.449999809265137
2019-02-13,8.319999694824219
2019-02-14,8.529999732971191
2019-02-15,8.40999984741211
2019-02-19,8.470000267028809
2019-02-20,8.5
2019-02-21,6.400000095367432
2019-02-22,6.699999809265137
2019-02-25,6.539999961853027
2019-02-26,6.670000076293945
2019-02-27,6.909999847412109
2019-02-28,7.019999980926514
2019-03-01,7.28000020980835
2019-03-04,7.150000095367432
2019-03-05,7.150000095367432
2019-03-06,6.800000190734863
2019-03-07,7.289999961853027
2019-03-08,7.0
2019-03-11,7.199999809265137
2019-03-12,7.010000228881836
2019-03-13,7.400000095367432
2019-03-14,7.050000190734863
2019-03-15,7.920000076293945
2019-03-18,7.690000057220459
2019-03-19,7.809999942779541
2019-03-20,7.820000171661377
2019-03-21,7.769999980926514
2019-03-22,7.630000114440918
2019-03-25,7.960000038146973
2019-03-26,6.880000114440918
2019-03-27,6.539999961853027
2019-03-28,6.349999904632568
2019-03-29,6.309999942779541
2019-04-01,6.949999809265137
2019-04-02,4.460000038146973
2019-04-03,4.340000152587891
2019-04-04,4.010000228881836
2019-04-05,3.990000009536743
2019-04-08,3.950000047683716
2019-04-09,3.890000104904175
2019-04-10,4.010000228881836
2019-04-11,3.9700000286102295
2019-04-12,3.819999933242798
2019-04-15,3.759999990463257
2019-04-16,3.640000104904175
2019-04-17,3.6700000762939453
2019-04-18,3.8499999046325684
2019-04-22,3.880000114440918
2019-04-23,4.119999885559082
2019-04-24,4.369999885559082
