,DEMZ
2020-11-04,20.937000274658203
2020-11-05,21.371000289916992
2020-11-06,21.30500030517578
2020-11-09,21.920000076293945
2020-11-10,21.618000030517578
2020-11-11,21.63800048828125
2020-11-12,21.41900062561035
2020-11-13,21.761999130249023
2020-11-16,22.030000686645508
2020-11-17,21.98900032043457
2020-11-18,21.920000076293945
2020-11-19,21.84000015258789
2020-11-20,21.69300079345703
2020-11-23,21.742000579833984
2020-11-24,21.742000579833984
2020-11-25,21.742000579833984
2020-11-27,21.742000579833984
2020-11-30,21.930999755859375
2020-12-01,22.250999450683594
2020-12-02,22.30699920654297
2020-12-03,22.25
2020-12-04,22.5049991607666
2020-12-07,22.52199935913086
2020-12-08,22.562000274658203
2020-12-09,22.562000274658203
2020-12-10,22.562000274658203
2020-12-11,22.530000686645508
2020-12-14,22.458999633789062
2020-12-15,22.732999801635742
2020-12-16,22.801000595092773
2020-12-17,22.898000717163086
2020-12-18,22.898000717163086
2020-12-21,22.738000869750977
2020-12-22,22.70199966430664
2020-12-23,22.70199966430664
2020-12-24,22.756000518798828
2020-12-28,22.969999313354492
2020-12-29,22.79199981689453
2020-12-30,22.836999893188477
2020-12-31,22.959999084472656
2021-01-04,22.68899917602539
2021-01-05,22.809999465942383
2021-01-06,23.076000213623047
2021-01-07,23.368000030517578
2021-01-08,23.368000030517578
2021-01-11,23.31999969482422
2021-01-12,23.445999145507812
2021-01-13,23.31100082397461
2021-01-14,23.31100082397461
2021-01-15,22.97100067138672
2021-01-19,22.97100067138672
2021-01-20,22.97100067138672
2021-01-21,23.469999313354492
2021-01-22,23.266000747680664
2021-01-25,22.979999542236328
2021-01-26,23.18000030517578
2021-01-27,22.69099998474121
2021-01-28,22.915000915527344
2021-01-29,22.3799991607666
2021-02-01,22.82699966430664
2021-02-02,23.209999084472656
2021-02-03,23.290000915527344
2021-02-04,23.584999084472656
2021-02-05,23.584999084472656
2021-02-08,23.950000762939453
2021-02-09,24.045000076293945
2021-02-10,24.209999084472656
2021-02-11,24.222000122070312
2021-02-12,24.316999435424805
2021-02-16,24.270000457763672
2021-02-17,24.200000762939453
2021-02-18,24.142000198364258
2021-02-19,24.142000198364258
2021-02-22,24.010000228881836
2021-02-23,24.062000274658203
2021-02-24,24.268999099731445
2021-02-25,24.268999099731445
2021-02-26,23.650999069213867
2021-03-01,23.650999069213867
2021-03-02,24.0
2021-03-03,23.709999084472656
2021-03-04,23.243000030517578
2021-03-05,23.6560001373291
2021-03-08,23.690000534057617
2021-03-09,23.690000534057617
2021-03-10,23.94700050354004
2021-03-11,23.94700050354004
2021-03-12,24.149999618530273
2021-03-15,24.219999313354492
2021-03-16,24.219999313354492
2021-03-17,24.34000015258789
2021-03-18,24.15999984741211
2021-03-19,24.1200008392334
2021-03-22,24.200000762939453
2021-03-23,24.200000762939453
2021-03-24,24.200000762939453
2021-03-25,24.139999389648438
2021-03-26,24.139999389648438
2021-03-29,24.440000534057617
2021-03-30,24.440000534057617
2021-03-31,24.61199951171875
2021-04-01,24.829999923706055
2021-04-05,25.0
2021-04-06,25.0
2021-04-07,25.0
2021-04-08,25.358999252319336
2021-04-09,25.358999252319336
2021-04-12,25.358999252319336
2021-04-13,25.358999252319336
2021-04-14,25.597000122070312
2021-04-15,25.889999389648438
2021-04-16,26.0
2021-04-19,26.020000457763672
2021-04-20,26.020000457763672
2021-04-21,26.020000457763672
2021-04-22,25.864999771118164
2021-04-23,26.17099952697754
2021-04-26,26.170000076293945
2021-04-27,26.170000076293945
2021-04-28,26.170000076293945
2021-04-29,26.43199920654297
2021-04-30,26.174999237060547
2021-05-03,26.174999237060547
2021-05-04,26.18400001525879
2021-05-05,26.207000732421875
2021-05-06,26.207000732421875
2021-05-07,26.569000244140625
2021-05-10,26.385000228881836
2021-05-11,26.010000228881836
2021-05-12,25.530000686645508
2021-05-13,25.90399932861328
2021-05-14,26.274999618530273
