,MYI
1992-04-13,15.0
1992-04-14,15.0
1992-04-15,15.0
1992-04-16,15.0
1992-04-20,15.0
1992-04-21,15.0
1992-04-22,15.0
1992-04-23,15.0
1992-04-24,15.0
1992-04-27,15.0
1992-04-28,15.0
1992-04-29,15.0
1992-04-30,15.0
1992-05-01,15.125
1992-05-04,14.875
1992-05-05,14.75
1992-05-06,14.875
1992-05-07,15.0
1992-05-08,15.0
1992-05-11,14.875
1992-05-12,14.5
1992-05-13,14.875
1992-05-14,15.0
1992-05-15,14.875
1992-05-18,14.875
1992-05-19,14.875
1992-05-20,15.0
1992-05-21,15.0
1992-05-22,14.875
1992-05-26,14.75
1992-05-27,14.875
1992-05-28,14.875
1992-05-29,15.0
1992-06-01,14.75
1992-06-02,14.75
1992-06-03,14.75
1992-06-04,14.75
1992-06-05,14.75
1992-06-08,14.375
1992-06-09,14.5
1992-06-10,14.75
1992-06-11,14.75
1992-06-12,14.625
1992-06-15,14.875
1992-06-16,14.625
1992-06-17,14.75
1992-06-18,14.625
1992-06-19,14.5
1992-06-22,14.5
1992-06-23,14.75
1992-06-24,14.75
1992-06-25,14.875
1992-06-26,14.875
1992-06-29,14.75
1992-06-30,14.75
1992-07-01,14.75
1992-07-02,15.0
1992-07-06,14.875
1992-07-07,15.0
1992-07-08,15.125
1992-07-09,14.875
1992-07-10,14.875
1992-07-13,14.75
1992-07-14,15.125
1992-07-15,15.0
1992-07-16,15.0
1992-07-17,15.0
1992-07-20,14.875
1992-07-21,15.25
1992-07-22,15.125
1992-07-23,15.125
1992-07-24,15.125
1992-07-27,15.375
1992-07-28,15.25
1992-07-29,15.375
1992-07-30,15.375
1992-07-31,15.25
1992-08-03,15.625
1992-08-04,15.5
1992-08-05,15.375
1992-08-06,15.375
1992-08-07,15.5
1992-08-10,15.5
1992-08-11,15.25
1992-08-12,15.375
1992-08-13,15.5
1992-08-14,15.375
1992-08-17,15.375
1992-08-18,15.5
1992-08-19,15.5
1992-08-20,15.25
1992-08-21,15.375
1992-08-24,15.375
1992-08-25,15.375
1992-08-26,15.25
1992-08-27,15.375
1992-08-28,15.125
1992-08-31,15.0
1992-09-01,15.125
1992-09-02,15.375
1992-09-03,15.25
1992-09-04,15.25
1992-09-08,15.25
1992-09-09,15.625
1992-09-10,15.625
1992-09-11,15.625
1992-09-14,15.25
1992-09-15,15.25
1992-09-16,15.5
1992-09-17,15.5
1992-09-18,15.25
1992-09-21,15.125
1992-09-22,15.125
1992-09-23,15.0
1992-09-24,15.125
1992-09-25,15.125
1992-09-28,15.0
1992-09-29,15.125
1992-09-30,15.0
1992-10-01,15.25
1992-10-02,15.375
1992-10-05,15.25
1992-10-06,15.125
1992-10-07,15.25
1992-10-08,15.0
1992-10-09,15.0
1992-10-12,14.875
1992-10-13,15.0
1992-10-14,15.0
1992-10-15,15.0
1992-10-16,14.875
1992-10-19,14.625
1992-10-20,14.25
1992-10-21,14.625
1992-10-22,14.375
1992-10-23,14.75
1992-10-26,14.625
1992-10-27,14.75
1992-10-28,14.75
1992-10-29,14.75
1992-10-30,14.875
1992-11-02,14.875
1992-11-03,14.875
1992-11-04,14.75
1992-11-05,14.875
1992-11-06,14.875
1992-11-09,14.75
1992-11-10,14.875
1992-11-11,14.625
1992-11-12,15.0
1992-11-13,14.875
1992-11-16,14.875
1992-11-17,14.75
1992-11-18,14.75
1992-11-19,14.75
1992-11-20,14.875
1992-11-23,14.875
1992-11-24,14.875
1992-11-25,14.875
1992-11-27,14.875
1992-11-30,15.0
1992-12-01,15.0
1992-12-02,15.0
1992-12-03,15.125
1992-12-04,15.0
1992-12-07,15.25
1992-12-08,15.125
1992-12-09,15.0
1992-12-10,15.125
1992-12-11,15.0
1992-12-14,14.625
1992-12-15,14.75
1992-12-16,14.75
1992-12-17,14.5
1992-12-18,14.625
1992-12-21,14.625
1992-12-22,14.5
1992-12-23,14.5
1992-12-24,14.625
1992-12-28,14.5
1992-12-29,14.5
1992-12-30,14.625
1992-12-31,14.625
1993-01-04,14.75
1993-01-05,15.0
1993-01-06,15.0
1993-01-07,15.0
1993-01-08,15.0
1993-01-11,15.0
1993-01-12,15.125
1993-01-13,15.25
1993-01-14,14.75
1993-01-15,15.125
1993-01-18,15.25
1993-01-19,15.0
1993-01-20,15.125
1993-01-21,15.25
1993-01-22,15.0
1993-01-25,15.125
1993-01-26,15.25
1993-01-27,15.125
1993-01-28,15.375
1993-01-29,15.125
1993-02-01,15.125
1993-02-02,15.125
1993-02-03,15.125
1993-02-04,15.25
1993-02-05,15.125
1993-02-08,15.25
1993-02-09,15.25
1993-02-10,15.25
1993-02-11,15.375
1993-02-12,15.25
1993-02-16,15.125
1993-02-17,15.0
1993-02-18,15.25
1993-02-19,15.25
1993-02-22,15.375
1993-02-23,15.5
1993-02-24,15.625
1993-02-25,15.5
1993-02-26,15.75
1993-03-01,15.75
1993-03-02,15.75
1993-03-03,15.75
1993-03-04,15.625
1993-03-05,15.625
1993-03-08,15.75
1993-03-09,15.625
1993-03-10,15.75
1993-03-11,15.625
1993-03-12,15.5
1993-03-15,15.625
1993-03-16,15.625
1993-03-17,15.375
1993-03-18,15.25
1993-03-19,15.25
1993-03-22,15.25
1993-03-23,15.375
1993-03-24,15.5
1993-03-25,15.5
1993-03-26,15.625
1993-03-29,15.25
1993-03-30,15.25
1993-03-31,15.25
1993-04-01,15.375
1993-04-02,15.375
1993-04-05,15.375
1993-04-06,15.5
1993-04-07,15.25
1993-04-08,15.25
1993-04-12,15.25
1993-04-13,15.25
1993-04-14,15.25
1993-04-15,15.25
1993-04-16,15.25
1993-04-19,15.375
1993-04-20,15.25
1993-04-21,15.25
1993-04-22,15.125
1993-04-23,15.25
1993-04-26,15.25
1993-04-27,15.375
1993-04-28,15.125
1993-04-29,15.25
1993-04-30,15.375
1993-05-03,15.5
1993-05-04,15.625
1993-05-05,15.5
1993-05-06,15.375
1993-05-07,15.375
1993-05-10,15.5
1993-05-11,15.375
1993-05-12,15.375
1993-05-13,15.375
1993-05-14,15.375
1993-05-17,15.375
1993-05-18,15.25
1993-05-19,15.125
1993-05-20,15.25
1993-05-21,15.25
1993-05-24,15.125
1993-05-25,15.125
1993-05-26,15.25
1993-05-27,15.5
1993-05-28,15.5
1993-06-01,15.625
