,BWACU
2020-11-13,10.0
2020-11-16,10.0
2020-11-17,10.010000228881836
2020-11-18,10.020000457763672
2020-11-19,10.050000190734863
2020-11-20,10.039999961853027
2020-11-23,10.130000114440918
2020-11-24,10.109999656677246
2020-11-25,10.119999885559082
2020-11-27,10.239999771118164
2020-11-30,10.135000228881836
2020-12-01,10.20300006866455
2020-12-02,10.182000160217285
2020-12-03,10.149999618530273
2020-12-04,10.229999542236328
2020-12-07,10.15999984741211
2020-12-08,10.229999542236328
2020-12-09,10.239999771118164
2020-12-10,10.225000381469727
2020-12-11,10.489999771118164
2020-12-14,10.319999694824219
2020-12-15,10.329999923706055
2020-12-16,10.399999618530273
2020-12-17,10.28499984741211
2020-12-18,10.319999694824219
2020-12-21,10.380000114440918
2020-12-22,10.380000114440918
2020-12-23,10.399999618530273
2020-12-24,10.359999656677246
2020-12-28,10.880000114440918
2020-12-29,10.930000305175781
2020-12-30,11.050000190734863
2020-12-31,11.050000190734863
2021-01-04,11.050000190734863
2021-01-05,11.039999961853027
2021-01-06,10.989999771118164
2021-01-07,10.970000267028809
2021-01-08,11.100000381469727
2021-01-11,11.390000343322754
2021-01-12,11.399999618530273
2021-01-13,11.5
2021-01-14,11.949999809265137
2021-01-15,11.739999771118164
2021-01-19,12.050000190734863
2021-01-20,11.9399995803833
2021-01-21,11.850000381469727
2021-01-22,12.210000038146973
2021-01-25,12.369999885559082
2021-01-26,12.199999809265137
2021-01-27,11.539999961853027
2021-01-28,11.699999809265137
2021-01-29,11.390000343322754
2021-02-01,11.600000381469727
2021-02-02,11.8100004196167
2021-02-03,11.890000343322754
2021-02-04,12.0600004196167
2021-02-05,12.130000114440918
2021-02-08,12.050000190734863
2021-02-09,13.149999618530273
2021-02-10,12.470000267028809
2021-02-11,12.739999771118164
2021-02-12,12.75
2021-02-16,12.550000190734863
2021-02-17,12.36299991607666
2021-02-18,12.710000038146973
2021-02-19,12.9399995803833
2021-02-22,12.380000114440918
2021-02-23,12.399999618530273
2021-02-24,12.630000114440918
2021-02-25,12.024999618530273
2021-02-26,12.255999565124512
2021-03-01,12.0
2021-03-02,11.5
2021-03-03,11.300000190734863
2021-03-04,10.75
2021-03-05,10.920000076293945
2021-03-08,10.960000038146973
2021-03-09,10.90999984741211
2021-03-10,11.279999732971191
2021-03-11,11.279999732971191
2021-03-12,11.279999732971191
2021-03-15,11.449999809265137
2021-03-16,11.399999618530273
2021-03-17,11.25
2021-03-18,11.25
2021-03-19,11.210000038146973
2021-03-22,11.210000038146973
2021-03-23,11.0
2021-03-24,11.100000381469727
2021-03-25,10.800000190734863
2021-03-26,10.800000190734863
2021-03-29,10.800000190734863
2021-03-30,11.0
2021-03-31,10.819999694824219
2021-04-01,10.880000114440918
2021-04-05,10.970000267028809
2021-04-06,11.0
2021-04-07,11.0
2021-04-08,11.0
2021-04-09,11.0
2021-04-12,11.0
2021-04-13,11.0
2021-04-14,11.0
2021-04-15,11.017999649047852
2021-04-16,10.819999694824219
2021-04-19,11.1899995803833
2021-04-20,11.1899995803833
2021-04-21,11.039999961853027
2021-04-22,11.100000381469727
2021-04-23,11.100000381469727
2021-04-26,11.100000381469727
2021-04-27,11.100000381469727
2021-04-28,11.100000381469727
2021-04-29,11.100000381469727
2021-04-30,10.880999565124512
2021-05-03,10.883000373840332
2021-05-04,10.84000015258789
2021-05-05,10.779999732971191
2021-05-06,10.84000015258789
2021-05-07,10.739999771118164
2021-05-10,10.779999732971191
2021-05-11,10.699999809265137
2021-05-12,10.84000015258789
2021-05-13,10.760000228881836
2021-05-14,10.729999542236328
