,COOLW
2021-02-22,2.0999999046325684
2021-02-23,1.8600000143051147
2021-02-24,1.9500000476837158
2021-02-25,1.7389999628067017
2021-02-26,1.4199999570846558
2021-03-01,1.5499999523162842
2021-03-02,1.5110000371932983
2021-03-03,1.3899999856948853
2021-03-04,1.1100000143051147
2021-03-05,1.0700000524520874
2021-03-08,0.9599999785423279
2021-03-09,1.059999942779541
2021-03-10,1.0800000429153442
2021-03-11,1.159999966621399
2021-03-12,1.25
2021-03-15,1.2400000095367432
2021-03-16,1.0299999713897705
2021-03-17,1.0700000524520874
2021-03-18,1.090000033378601
2021-03-19,1.125
2021-03-22,1.0750000476837158
2021-03-23,0.9900000095367432
2021-03-24,1.1200000047683716
2021-03-25,0.9100000262260437
2021-03-26,0.9649999737739563
2021-03-29,1.0199999809265137
2021-03-30,1.0099999904632568
2021-03-31,0.9900000095367432
2021-04-01,1.0
2021-04-05,0.949999988079071
2021-04-06,0.9900000095367432
2021-04-07,1.0099999904632568
2021-04-08,1.0
2021-04-09,0.9900000095367432
2021-04-12,0.9509999752044678
2021-04-13,0.9649999737739563
2021-04-14,1.0
2021-04-15,0.9800000190734863
2021-04-16,0.9200000166893005
2021-04-19,0.8600000143051147
2021-04-20,0.75
2021-04-21,0.847000002861023
2021-04-22,0.8500000238418579
2021-04-23,0.8220000267028809
2021-04-26,0.8500000238418579
2021-04-27,0.9300000071525574
2021-04-28,0.9290000200271606
2021-04-29,0.8989999890327454
2021-04-30,0.8500000238418579
2021-05-03,0.800000011920929
2021-05-04,0.8299999833106995
2021-05-05,0.8090000152587891
2021-05-06,0.8550000190734863
2021-05-07,0.8100000023841858
2021-05-10,0.7799999713897705
2021-05-11,0.8199999928474426
2021-05-12,0.8100000023841858
2021-05-13,0.7400000095367432
2021-05-14,0.7400000095367432
