,EBIZ
2018-11-30,15.607999801635742
2018-12-03,15.880000114440918
2018-12-04,15.529999732971191
2018-12-06,15.430000305175781
2018-12-07,15.380000114440918
2018-12-10,15.210000038146973
2018-12-11,15.357999801635742
2018-12-12,15.529000282287598
2018-12-13,15.4399995803833
2018-12-14,15.4399995803833
2018-12-17,14.420000076293945
2018-12-18,14.229999542236328
2018-12-19,13.890000343322754
2018-12-20,13.890000343322754
2018-12-21,13.890000343322754
2018-12-24,13.890000343322754
2018-12-26,13.890000343322754
2018-12-27,13.890000343322754
2018-12-28,13.890000343322754
2018-12-31,13.890000343322754
2019-01-02,13.890000343322754
2019-01-03,13.890000343322754
2019-01-04,13.890000343322754
2019-01-07,14.729999542236328
2019-01-08,14.800000190734863
2019-01-09,15.116999626159668
2019-01-10,14.930000305175781
2019-01-11,14.989999771118164
2019-01-14,14.949999809265137
2019-01-15,15.130000114440918
2019-01-16,15.300000190734863
2019-01-17,15.479999542236328
2019-01-18,15.680000305175781
2019-01-22,15.449999809265137
2019-01-23,15.369999885559082
2019-01-24,15.569999694824219
2019-01-25,15.75100040435791
2019-01-28,15.894000053405762
2019-01-29,15.800000190734863
2019-01-30,16.082000732421875
2019-01-31,16.149999618530273
2019-02-01,16.229999542236328
2019-02-04,16.280000686645508
2019-02-05,16.68000030517578
2019-02-06,16.506000518798828
2019-02-07,16.150999069213867
2019-02-08,16.25
2019-02-11,16.350000381469727
2019-02-12,16.600000381469727
2019-02-13,16.399999618530273
2019-02-14,16.360000610351562
2019-02-15,16.360000610351562
2019-02-19,16.459999084472656
2019-02-20,16.479999542236328
2019-02-21,16.200000762939453
2019-02-22,16.389999389648438
2019-02-25,16.690000534057617
2019-02-26,16.969999313354492
2019-02-27,17.260000228881836
2019-02-28,17.100000381469727
2019-03-01,17.14699935913086
2019-03-04,17.06999969482422
2019-03-05,17.459999084472656
2019-03-06,17.257999420166016
2019-03-07,16.868999481201172
2019-03-08,16.729999542236328
2019-03-11,17.18199920654297
2019-03-12,17.268999099731445
2019-03-13,17.420000076293945
2019-03-14,17.288999557495117
2019-03-15,17.38599967956543
2019-03-18,17.489999771118164
2019-03-19,17.450000762939453
2019-03-20,17.368000030517578
2019-03-21,17.62299919128418
2019-03-22,17.177000045776367
2019-03-25,17.231000900268555
2019-03-26,17.374000549316406
2019-03-27,17.25200080871582
2019-03-28,17.399999618530273
2019-03-29,17.597999572753906
2019-04-01,17.90999984741211
2019-04-02,17.767000198364258
2019-04-03,18.05500030517578
2019-04-04,17.959999084472656
2019-04-05,18.159000396728516
2019-04-08,18.139999389648438
2019-04-09,18.054000854492188
2019-04-10,18.077999114990234
2019-04-11,18.03499984741211
2019-04-12,18.1200008392334
2019-04-15,18.0049991607666
2019-04-16,18.1200008392334
2019-04-17,18.07900047302246
2019-04-18,18.04800033569336
2019-04-22,18.069000244140625
2019-04-23,18.299999237060547
2019-04-24,18.299999237060547
2019-04-25,18.350000381469727
2019-04-26,18.481000900268555
2019-04-29,18.69099998474121
2019-04-30,18.770000457763672
2019-05-01,18.739999771118164
2019-05-02,18.61199951171875
2019-05-03,19.1299991607666
2019-05-06,18.770999908447266
2019-05-07,18.191999435424805
2019-05-08,18.354000091552734
2019-05-09,18.014999389648438
2019-05-10,17.8799991607666
2019-05-13,17.231000900268555
2019-05-14,17.558000564575195
2019-05-15,17.780000686645508
2019-05-16,17.96500015258789
2019-05-17,17.649999618530273
2019-05-20,17.3700008392334
2019-05-21,17.614999771118164
2019-05-22,17.43000030517578
2019-05-23,17.08099937438965
2019-05-24,17.170000076293945
2019-05-28,17.299999237060547
2019-05-29,17.0
2019-05-30,17.013999938964844
2019-05-31,17.010000228881836
2019-06-03,16.81999969482422
2019-06-04,17.15999984741211
2019-06-05,17.124000549316406
2019-06-06,17.149999618530273
2019-06-07,17.549999237060547
2019-06-10,17.858999252319336
2019-06-11,17.972999572753906
2019-06-12,18.003000259399414
2019-06-13,18.118999481201172
2019-06-14,17.89299964904785
2019-06-17,18.02400016784668
2019-06-18,18.290000915527344
2019-06-19,18.45400047302246
2019-06-20,18.511999130249023
2019-06-21,18.511999130249023
2019-06-24,18.320999145507812
2019-06-25,17.940000534057617
2019-06-26,18.049999237060547
2019-06-27,18.270999908447266
2019-06-28,18.23900032043457
2019-07-01,18.549999237060547
2019-07-02,18.549999237060547
2019-07-03,18.628999710083008
2019-07-05,18.579999923706055
2019-07-08,18.399999618530273
2019-07-09,18.239999771118164
2019-07-10,18.499000549316406
2019-07-11,18.40999984741211
2019-07-12,18.479999542236328
2019-07-15,18.65399932861328
2019-07-16,18.649999618530273
2019-07-17,18.628999710083008
2019-07-18,18.405000686645508
2019-07-19,18.405000686645508
2019-07-22,18.558000564575195
2019-07-23,18.660999298095703
2019-07-24,18.81999969482422
2019-07-25,18.80699920654297
2019-07-26,18.884000778198242
2019-07-29,18.729999542236328
2019-07-30,18.430999755859375
2019-07-31,18.261999130249023
2019-08-01,18.110000610351562
2019-08-02,17.708999633789062
2019-08-05,16.899999618530273
2019-08-06,17.209999084472656
2019-08-07,17.100000381469727
2019-08-08,17.850000381469727
2019-08-09,17.809999465942383
2019-08-12,17.43000030517578
2019-08-13,17.79599952697754
2019-08-14,17.19099998474121
2019-08-15,17.10099983215332
2019-08-16,17.479999542236328
2019-08-19,17.729999542236328
2019-08-20,17.729999542236328
2019-08-21,17.889999389648438
2019-08-22,17.517000198364258
2019-08-23,17.239999771118164
2019-08-26,17.301000595092773
2019-08-27,17.283000946044922
2019-08-28,17.361000061035156
