,ALTM
2018-11-13,182.0
2018-11-14,166.1999969482422
2018-11-15,176.39999389648438
2018-11-16,173.60000610351562
2018-11-19,165.0
2018-11-20,156.8000030517578
2018-11-21,154.0
2018-11-23,156.8000030517578
2018-11-26,160.0
2018-11-27,155.0
2018-11-28,153.8000030517578
2018-11-29,152.8000030517578
2018-11-30,152.8000030517578
2018-12-03,157.0
2018-12-04,154.39999389648438
2018-12-06,155.0
2018-12-07,156.8000030517578
2018-12-10,166.39999389648438
2018-12-11,183.1999969482422
2018-12-12,194.0
2018-12-13,189.0
2018-12-14,174.60000610351562
2018-12-17,181.1999969482422
2018-12-18,174.0
2018-12-19,169.39999389648438
2018-12-20,155.8000030517578
2018-12-21,152.60000610351562
2018-12-24,154.8000030517578
2018-12-26,161.39999389648438
2018-12-27,152.60000610351562
2018-12-28,155.0
2018-12-31,154.60000610351562
2019-01-02,153.1999969482422
2019-01-03,148.39999389648438
2019-01-04,162.1999969482422
2019-01-07,163.60000610351562
2019-01-08,165.0
2019-01-09,176.0
2019-01-10,177.1999969482422
2019-01-11,169.39999389648438
2019-01-14,166.60000610351562
2019-01-15,172.39999389648438
2019-01-16,171.39999389648438
2019-01-17,173.8000030517578
2019-01-18,171.39999389648438
2019-01-22,165.60000610351562
2019-01-23,155.39999389648438
2019-01-24,162.0
2019-01-25,162.0
2019-01-28,162.39999389648438
2019-01-29,166.60000610351562
2019-01-30,162.39999389648438
2019-01-31,162.0
2019-02-01,168.0
2019-02-04,169.8000030517578
2019-02-05,166.8000030517578
2019-02-06,165.1999969482422
2019-02-07,162.8000030517578
2019-02-08,158.8000030517578
2019-02-11,158.0
2019-02-12,159.8000030517578
2019-02-13,159.8000030517578
2019-02-14,157.39999389648438
2019-02-15,162.8000030517578
2019-02-19,162.60000610351562
2019-02-20,163.60000610351562
2019-02-21,162.1999969482422
2019-02-22,163.1999969482422
2019-02-25,163.39999389648438
2019-02-26,163.39999389648438
2019-02-27,160.60000610351562
2019-02-28,122.4000015258789
2019-03-01,111.4000015258789
2019-03-04,111.0
2019-03-05,110.4000015258789
2019-03-06,112.0
2019-03-07,111.80000305175781
2019-03-08,110.0
2019-03-11,112.80000305175781
2019-03-12,123.80000305175781
2019-03-13,123.4000015258789
2019-03-14,126.4000015258789
2019-03-15,128.8000030517578
2019-03-18,123.5999984741211
2019-03-19,124.80000305175781
2019-03-20,122.5999984741211
2019-03-21,125.80000305175781
2019-03-22,124.0
2019-03-25,120.5999984741211
