,CARV
1994-10-25,114.84375
1994-10-26,113.4375
1994-10-27,112.5
1994-10-28,118.125
1994-10-31,119.0625
1994-11-01,118.125
1994-11-02,120.0
1994-11-03,116.25
1994-11-04,113.4375
1994-11-07,105.0
1994-11-08,105.0
1994-11-09,97.5
1994-11-10,99.375
1994-11-11,102.1875
1994-11-14,101.25
1994-11-15,105.0
1994-11-16,106.875
1994-11-17,101.25
1994-11-18,103.125
1994-11-21,100.3125
1994-11-22,95.625
1994-11-23,95.625
1994-11-25,95.625
1994-11-28,95.625
1994-11-29,97.5
1994-11-30,103.125
1994-12-01,101.25
1994-12-02,101.25
1994-12-05,99.375
1994-12-06,103.125
1994-12-07,100.3125
1994-12-08,98.4375
1994-12-09,101.25
1994-12-12,97.5
1994-12-13,97.5
1994-12-14,93.75
1994-12-15,98.4375
1994-12-16,95.625
1994-12-19,95.625
1994-12-20,95.625
1994-12-21,96.5625
1994-12-22,94.6875
1994-12-23,95.625
1994-12-27,94.6875
1994-12-28,95.625
1994-12-29,95.625
1994-12-30,93.75
1995-01-03,95.625
1995-01-04,97.5
1995-01-05,103.125
1995-01-06,101.25
1995-01-09,99.375
1995-01-10,99.375
1995-01-11,99.375
1995-01-12,99.375
1995-01-13,101.25
1995-01-16,97.5
1995-01-17,101.25
1995-01-18,99.375
1995-01-19,101.25
1995-01-20,100.3125
1995-01-23,101.25
1995-01-24,96.5625
1995-01-25,99.375
1995-01-26,99.375
1995-01-27,101.25
1995-01-30,101.25
1995-01-31,102.65625
1995-02-01,101.25
1995-02-02,110.15625
1995-02-03,110.625
1995-02-06,110.625
1995-02-07,106.875
1995-02-08,108.75
1995-02-09,108.75
1995-02-10,110.625
1995-02-13,107.34375
1995-02-14,108.75
1995-02-15,107.8125
1995-02-16,106.875
1995-02-17,105.0
1995-02-21,103.125
1995-02-22,103.125
1995-02-23,106.875
1995-02-24,108.75
1995-02-27,103.125
1995-02-28,103.125
1995-03-01,103.125
1995-03-02,103.125
1995-03-03,103.125
1995-03-06,101.25
1995-03-07,99.375
1995-03-08,99.375
1995-03-09,101.25
1995-03-10,97.96875
1995-03-13,99.375
1995-03-14,99.375
1995-03-15,101.25
1995-03-16,105.0
1995-03-17,103.125
1995-03-20,99.375
1995-03-21,101.25
1995-03-22,101.25
1995-03-23,99.375
1995-03-24,101.25
1995-03-27,103.125
1995-03-28,103.125
1995-03-29,103.125
1995-03-30,103.125
1995-03-31,103.125
1995-04-03,103.125
1995-04-04,99.375
1995-04-05,103.125
1995-04-06,103.125
1995-04-07,105.0
1995-04-10,105.0
1995-04-11,110.625
1995-04-12,114.375
1995-04-13,114.375
1995-04-17,112.5
1995-04-18,112.5
1995-04-19,110.625
1995-04-20,114.375
1995-04-21,112.5
1995-04-24,112.96875
1995-04-25,118.125
1995-04-26,120.0
1995-04-27,118.125
1995-04-28,116.25
1995-05-01,115.78125
1995-05-02,117.65625
1995-05-03,117.65625
1995-05-04,116.25
1995-05-05,117.65625
1995-05-08,116.25
1995-05-09,116.25
1995-05-10,119.0625
1995-05-11,117.1875
1995-05-12,118.125
1995-05-15,116.25
1995-05-16,116.25
1995-05-17,116.25
1995-05-18,112.5
1995-05-19,114.375
1995-05-22,114.375
1995-05-23,115.78125
1995-05-24,110.625
1995-05-25,108.75
1995-05-26,106.875
1995-05-30,107.8125
1995-05-31,110.625
1995-06-01,114.375
1995-06-02,110.625
1995-06-05,110.625
1995-06-06,111.5625
1995-06-07,111.5625
1995-06-08,111.5625
1995-06-09,111.5625
1995-06-12,112.5
1995-06-13,118.125
1995-06-14,117.65625
1995-06-15,114.375
1995-06-16,114.375
1995-06-19,117.65625
1995-06-20,117.65625
1995-06-21,116.25
1995-06-22,116.25
1995-06-23,116.25
1995-06-26,116.25
1995-06-27,116.25
1995-06-28,116.25
1995-06-29,114.375
1995-06-30,117.1875
1995-07-03,115.3125
1995-07-05,112.5
1995-07-06,114.375
1995-07-07,114.375
1995-07-10,114.375
1995-07-11,113.90625
1995-07-12,110.625
1995-07-13,109.6875
1995-07-14,109.6875
1995-07-17,108.75
1995-07-18,105.0
1995-07-19,102.1875
1995-07-20,108.75
1995-07-21,105.0
1995-07-24,106.875
1995-07-25,110.15625
1995-07-26,110.625
1995-07-27,110.625
1995-07-28,109.6875
1995-07-31,107.8125
1995-08-01,106.875
1995-08-02,106.875
1995-08-03,106.875
1995-08-04,103.125
1995-08-07,108.28125
