,ESQ
2017-06-27,15.25
2017-06-28,15.149999618530273
2017-06-29,14.859999656677246
2017-06-30,15.0
2017-07-03,15.050000190734863
2017-07-05,15.140000343322754
2017-07-06,14.949999809265137
2017-07-07,14.994999885559082
2017-07-10,14.850000381469727
2017-07-11,14.9399995803833
2017-07-12,14.899999618530273
2017-07-13,14.949999809265137
2017-07-14,14.649999618530273
2017-07-17,14.65999984741211
2017-07-18,14.699999809265137
2017-07-19,14.649999618530273
2017-07-20,14.649999618530273
2017-07-21,14.649999618530273
2017-07-24,14.649999618530273
2017-07-25,14.739999771118164
2017-07-26,14.850000381469727
2017-07-27,14.609999656677246
2017-07-28,14.899999618530273
2017-07-31,14.774999618530273
2017-08-01,14.890000343322754
2017-08-02,14.800000190734863
2017-08-03,14.819999694824219
2017-08-04,15.0
2017-08-07,15.010000228881836
2017-08-08,15.149999618530273
2017-08-09,15.180000305175781
2017-08-10,15.170000076293945
2017-08-11,16.059999465942383
2017-08-14,16.0
2017-08-15,15.52400016784668
2017-08-16,15.829999923706055
2017-08-17,16.010000228881836
2017-08-18,15.987000465393066
2017-08-21,15.899999618530273
2017-08-22,15.279999732971191
2017-08-23,15.15999984741211
2017-08-24,15.199999809265137
2017-08-25,15.074999809265137
2017-08-28,14.899999618530273
2017-08-29,14.699999809265137
2017-08-30,15.0600004196167
2017-08-31,15.0
2017-09-01,14.760000228881836
2017-09-05,14.800000190734863
2017-09-06,14.9399995803833
2017-09-07,15.079999923706055
2017-09-08,15.125
2017-09-11,15.100000381469727
2017-09-12,15.199999809265137
2017-09-13,15.0
2017-09-14,15.199999809265137
2017-09-15,14.649999618530273
2017-09-18,14.850000381469727
2017-09-19,15.0
2017-09-20,15.180000305175781
2017-09-21,15.210000038146973
2017-09-22,15.0600004196167
2017-09-25,15.199999809265137
2017-09-26,15.1899995803833
2017-09-27,15.34000015258789
2017-09-28,16.0
2017-09-29,16.09000015258789
2017-10-02,16.079999923706055
2017-10-03,16.010000228881836
2017-10-04,16.100000381469727
2017-10-05,15.84000015258789
2017-10-06,16.049999237060547
2017-10-09,15.949999809265137
2017-10-10,16.049999237060547
2017-10-11,15.890000343322754
2017-10-12,15.65999984741211
2017-10-13,15.609999656677246
2017-10-16,15.220000267028809
2017-10-17,16.030000686645508
2017-10-18,16.010000228881836
2017-10-19,15.989999771118164
2017-10-20,16.149999618530273
2017-10-23,16.0
2017-10-24,15.789999961853027
2017-10-25,16.049999237060547
2017-10-26,16.149999618530273
2017-10-27,16.100000381469727
2017-10-30,16.25
2017-10-31,16.709999084472656
2017-11-01,16.299999237060547
2017-11-02,16.360000610351562
2017-11-03,16.510000228881836
2017-11-06,16.6299991607666
2017-11-07,16.549999237060547
2017-11-08,16.979999542236328
2017-11-09,16.75
2017-11-10,16.75
2017-11-13,16.510000228881836
2017-11-14,16.829999923706055
2017-11-15,16.670000076293945
2017-11-16,16.969999313354492
2017-11-17,16.75
2017-11-20,16.35099983215332
2017-11-21,16.899999618530273
2017-11-22,17.649999618530273
2017-11-24,17.600000381469727
2017-11-27,17.6200008392334
2017-11-28,17.729999542236328
2017-11-29,18.209999084472656
2017-11-30,18.579999923706055
2017-12-01,18.899999618530273
2017-12-04,21.0
2017-12-05,20.270000457763672
2017-12-06,20.31999969482422
2017-12-07,20.520000457763672
2017-12-08,20.450000762939453
2017-12-11,20.5
2017-12-12,20.100000381469727
2017-12-13,19.979999542236328
2017-12-14,19.5
2017-12-15,19.0
2017-12-18,19.100000381469727
2017-12-19,19.0
2017-12-20,19.549999237060547
2017-12-21,19.15999984741211
2017-12-22,19.100000381469727
2017-12-26,19.950000762939453
2017-12-27,19.75
2017-12-28,19.600000381469727
2017-12-29,19.739999771118164
2018-01-02,18.90999984741211
2018-01-03,19.25
2018-01-04,19.700000762939453
2018-01-05,19.8700008392334
2018-01-08,19.75
2018-01-09,19.75
2018-01-10,19.75
2018-01-11,19.65999984741211
2018-01-12,19.700000762939453
2018-01-16,19.809999465942383
2018-01-17,19.809999465942383
2018-01-18,19.735000610351562
2018-01-19,20.0
2018-01-22,20.0
2018-01-23,19.25
2018-01-24,19.299999237060547
2018-01-25,20.4950008392334
2018-01-26,21.510000228881836
2018-01-29,22.316999435424805
2018-01-30,22.809999465942383
2018-01-31,22.760000228881836
2018-02-01,24.75
2018-02-02,24.510000228881836
2018-02-05,22.270000457763672
2018-02-06,23.0
2018-02-07,22.0
2018-02-08,22.0
2018-02-09,21.700000762939453
2018-02-12,22.0
2018-02-13,22.010000228881836
2018-02-14,21.799999237060547
2018-02-15,21.739999771118164
2018-02-16,22.68000030517578
2018-02-20,22.5
2018-02-21,22.594999313354492
2018-02-22,22.5
2018-02-23,23.0
2018-02-26,22.979999542236328
2018-02-27,22.860000610351562
2018-02-28,23.0
2018-03-01,22.540000915527344
2018-03-02,22.90999984741211
2018-03-05,22.75
2018-03-06,22.5
2018-03-07,22.559999465942383
2018-03-08,22.440000534057617
2018-03-09,22.329999923706055
2018-03-12,22.1200008392334
2018-03-13,22.530000686645508
2018-03-14,23.049999237060547
2018-03-15,23.5
2018-03-16,23.93000030517578
2018-03-19,24.219999313354492
2018-03-20,23.709999084472656
2018-03-21,23.420000076293945
2018-03-22,24.469999313354492
2018-03-23,24.6200008392334
2018-03-26,24.700000762939453
2018-03-27,24.200000762939453
2018-03-28,24.450000762939453
2018-03-29,24.399999618530273
2018-04-02,24.979999542236328
2018-04-03,24.68000030517578
2018-04-04,24.8700008392334
2018-04-05,24.6200008392334
2018-04-06,24.110000610351562
2018-04-09,24.579999923706055
2018-04-10,24.5
2018-04-11,24.450000762939453
2018-04-12,24.479999542236328
2018-04-13,24.450000762939453
2018-04-16,24.25
2018-04-17,24.40999984741211
2018-04-18,24.690000534057617
2018-04-19,24.549999237060547
2018-04-20,24.399999618530273
2018-04-23,24.450000762939453
2018-04-24,24.700000762939453
2018-04-25,24.15999984741211
2018-04-26,24.030000686645508
2018-04-27,24.200000762939453
2018-04-30,24.09000015258789
2018-05-01,24.25
2018-05-02,24.5
2018-05-03,24.1200008392334
2018-05-04,24.139999389648438
2018-05-07,24.229999542236328
2018-05-08,24.25
2018-05-09,24.110000610351562
2018-05-10,24.389999389648438
2018-05-11,24.5
2018-05-14,24.110000610351562
2018-05-15,24.469999313354492
2018-05-16,24.700000762939453
2018-05-17,24.350000381469727
2018-05-18,24.360000610351562
2018-05-21,24.850000381469727
2018-05-22,24.780000686645508
2018-05-23,24.985000610351562
2018-05-24,24.850000381469727
2018-05-25,24.81999969482422
2018-05-29,25.280000686645508
2018-05-30,25.010000228881836
2018-05-31,26.149999618530273
2018-06-01,26.239999771118164
2018-06-04,26.139999389648438
2018-06-05,25.5
2018-06-06,25.219999313354492
2018-06-07,25.25
2018-06-08,25.010000228881836
2018-06-11,26.280000686645508
2018-06-12,25.8799991607666
2018-06-13,26.770000457763672
2018-06-14,26.889999389648438
2018-06-15,26.549999237060547
2018-06-18,26.6200008392334
2018-06-19,26.899999618530273
2018-06-20,26.75
2018-06-21,26.209999084472656
2018-06-22,25.84000015258789
2018-06-25,25.809999465942383
2018-06-26,25.969999313354492
2018-06-27,26.3700008392334
2018-06-28,26.90999984741211
2018-06-29,26.389999389648438
2018-07-02,26.399999618530273
2018-07-03,26.450000762939453
2018-07-05,26.399999618530273
2018-07-06,26.700000762939453
2018-07-09,26.540000915527344
2018-07-10,26.690000534057617
2018-07-11,26.540000915527344
2018-07-12,26.59000015258789
2018-07-13,26.360000610351562
2018-07-16,25.93000030517578
2018-07-17,25.989999771118164
2018-07-18,26.0
2018-07-19,26.030000686645508
2018-07-20,25.75
2018-07-23,25.90999984741211
2018-07-24,25.760000228881836
2018-07-25,24.350000381469727
2018-07-26,25.770000457763672
2018-07-27,24.5
2018-07-30,24.700000762939453
