,LMP
2014-07-14,0.3659999966621399
2014-07-15,0.3700000047683716
2014-07-16,0.3709999918937683
2014-07-17,0.3720000088214874
2014-07-18,0.36899998784065247
2014-07-21,0.3840000033378601
2014-07-22,0.36500000953674316
2014-07-23,0.375
2014-07-24,0.38499999046325684
2014-07-25,0.3869999945163727
2014-07-28,0.39800000190734863
2014-07-29,0.40299999713897705
2014-07-30,0.4390000104904175
2014-07-31,0.4399999976158142
2014-08-01,0.4350000023841858
2014-08-04,0.4449999928474426
2014-08-05,0.45399999618530273
2014-08-06,0.44699999690055847
2014-08-07,0.4410000145435333
2014-08-08,0.4399999976158142
2014-08-11,0.4490000009536743
2014-08-12,0.45500001311302185
2014-08-13,0.4620000123977661
2014-08-14,0.45399999618530273
2014-08-15,0.4390000104904175
2014-08-18,0.4410000145435333
2014-08-19,0.44699999690055847
2014-08-20,0.44200000166893005
2014-08-21,0.44200000166893005
2014-08-22,0.45100000500679016
2014-08-25,0.42800000309944153
2014-08-26,0.4429999887943268
2014-08-27,0.4390000104904175
2014-08-28,0.4339999854564667
2014-08-29,0.43700000643730164
2014-09-02,0.4480000138282776
2014-09-03,0.460999995470047
2014-09-04,0.45899999141693115
2014-09-05,0.46700000762939453
2014-09-08,0.4580000042915344
2014-09-09,0.4620000123977661
2014-09-10,0.453000009059906
2014-09-11,0.45500001311302185
2014-09-12,0.4440000057220459
2014-09-15,0.43700000643730164
2014-09-16,0.43299999833106995
2014-09-17,0.4350000023841858
2014-09-18,0.4230000078678131
2014-09-19,0.41499999165534973
2014-09-22,0.4129999876022339
2014-09-23,0.41499999165534973
2014-09-24,0.39800000190734863
2014-09-25,0.4000000059604645
2014-09-26,0.40299999713897705
2014-09-29,0.3970000147819519
2014-09-30,0.3880000114440918
2014-10-01,0.3880000114440918
2014-10-02,0.3869999945163727
2014-10-03,0.3869999945163727
2014-10-06,0.4230000078678131
2014-10-07,0.4129999876022339
2014-10-08,0.41200000047683716
2014-10-09,0.41499999165534973
2014-10-10,0.43299999833106995
2014-10-13,0.43299999833106995
2014-10-14,0.4099999964237213
2014-10-15,0.4059999883174896
2014-10-16,0.40700000524520874
2014-10-17,0.40700000524520874
2014-10-20,0.41499999165534973
2014-10-21,0.4180000126361847
2014-10-22,0.4230000078678131
2014-10-23,0.4309999942779541
2014-10-24,0.4309999942779541
2014-10-27,0.4309999942779541
2014-10-28,0.4309999942779541
2014-10-29,
2014-10-30,
2014-10-31,
2014-11-03,
2014-11-04,
2014-11-05,
2014-11-06,0.4300000071525574
2014-11-07,0.4449999928474426
2014-11-10,0.4399999976158142
2014-11-11,0.44600000977516174
2014-11-12,0.40700000524520874
2014-11-13,0.4090000092983246
2014-11-14,0.40799999237060547
2014-11-17,0.4020000100135803
2014-11-18,0.4059999883174896
2014-11-19,0.4020000100135803
2014-11-20,0.4009999930858612
2014-11-21,0.4020000100135803
2014-11-24,0.42800000309944153
2014-11-25,0.42899999022483826
2014-11-26,0.4390000104904175
2014-11-28,0.4359999895095825
2014-12-01,0.43299999833106995
2014-12-02,0.4429999887943268
2014-12-03,0.4300000071525574
2014-12-04,0.43299999833106995
2014-12-05,0.4180000126361847
2014-12-08,0.42500001192092896
2014-12-09,0.41100001335144043
2014-12-10,0.42800000309944153
2014-12-11,0.42899999022483826
2014-12-12,0.4480000138282776
2014-12-15,0.4429999887943268
2014-12-16,0.4429999887943268
2014-12-17,0.4339999854564667
2014-12-18,0.4429999887943268
2014-12-19,0.44200000166893005
2014-12-22,0.44600000977516174
2014-12-23,0.45399999618530273
2014-12-24,0.45399999618530273
2014-12-26,0.45399999618530273
2014-12-29,0.46000000834465027
2014-12-30,0.46399998664855957
2014-12-31,0.46399998664855957
2015-01-02,0.4560000002384186
2015-01-05,0.47099998593330383
2015-01-06,0.45899999141693115
2015-01-07,0.45100000500679016
2015-01-08,0.44699999690055847
2015-01-09,0.4429999887943268
2015-01-12,0.44600000977516174
2015-01-13,0.4350000023841858
2015-01-14,0.4309999942779541
2015-01-15,0.4309999942779541
2015-01-16,0.4399999976158142
2015-01-20,0.43799999356269836
2015-01-21,0.4440000057220459
2015-01-22,0.4399999976158142
2015-01-23,0.45899999141693115
2015-01-26,0.460999995470047
2015-01-27,0.4560000002384186
2015-01-28,0.4569999873638153
2015-01-29,0.45399999618530273
2015-01-30,0.4560000002384186
2015-02-02,0.4519999921321869
2015-02-03,0.46000000834465027
2015-02-04,0.4480000138282776
2015-02-05,0.4560000002384186
2015-02-06,0.45500001311302185
2015-02-09,0.45399999618530273
2015-02-10,0.46299999952316284
2015-02-11,0.4580000042915344
2015-02-12,0.4580000042915344
2015-02-13,0.453000009059906
2015-02-17,0.4580000042915344
2015-02-18,0.45399999618530273
2015-02-19,0.453000009059906
2015-02-20,0.4560000002384186
2015-02-23,0.45399999618530273
2015-02-24,0.4519999921321869
2015-02-25,0.45399999618530273
2015-02-26,0.4440000057220459
2015-02-27,0.44699999690055847
2015-03-02,0.453000009059906
2015-03-03,0.4480000138282776
2015-03-04,0.4480000138282776
2015-03-05,0.44600000977516174
2015-03-06,0.4519999921321869
2015-03-09,0.45100000500679016
2015-03-10,0.4519999921321869
2015-03-11,0.4429999887943268
2015-03-12,0.44600000977516174
2015-03-13,0.4560000002384186
2015-03-16,0.4410000145435333
2015-03-17,0.4410000145435333
2015-03-18,0.44200000166893005
2015-03-19,0.43799999356269836
2015-03-20,0.43700000643730164
2015-03-23,0.4309999942779541
2015-03-24,0.4129999876022339
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,0.5120000243186951
2015-04-16,0.5120000243186951
2015-04-17,0.5080000162124634
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-04,0.5450000166893005
2015-05-05,0.546999990940094
2015-05-06,0.5180000066757202
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,0.5370000004768372
2015-05-21,
2015-05-22,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,0.6079999804496765
2015-06-02,0.6290000081062317
2015-06-03,0.6290000081062317
2015-06-04,0.6209999918937683
2015-06-05,0.6269999742507935
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-06,0.5740000009536743
2015-07-07,0.5669999718666077
2015-07-08,0.5440000295639038
2015-07-09,0.5770000219345093
2015-07-10,0.5849999785423279
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,0.5690000057220459
2015-07-28,0.5360000133514404
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-03,
2015-09-04,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,0.5149999856948853
2015-09-15,0.5049999952316284
2015-09-16,0.5019999742507935
2015-09-17,0.5149999856948853
2015-09-18,0.4970000088214874
2015-09-21,0.47099998593330383
2015-09-22,0.4779999852180481
2015-09-23,0.45899999141693115
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,0.5189999938011169
2015-10-19,0.5220000147819519
2015-10-20,0.5270000100135803
2015-10-21,0.515999972820282
2015-10-22,0.515999972820282
