,FFNW
2007-10-10,11.729999542236328
2007-10-11,11.6899995803833
2007-10-12,11.649999618530273
2007-10-15,11.510000228881836
2007-10-16,11.529999732971191
2007-10-17,11.5
2007-10-18,11.539999961853027
2007-10-19,11.449999809265137
2007-10-22,11.479999542236328
2007-10-23,11.5
2007-10-24,11.399999618530273
2007-10-25,11.479999542236328
2007-10-26,11.40999984741211
2007-10-29,11.380000114440918
2007-10-30,11.350000381469727
2007-10-31,11.329999923706055
2007-11-01,11.1899995803833
2007-11-02,10.989999771118164
2007-11-05,10.890000343322754
2007-11-06,10.899999618530273
2007-11-07,10.699999809265137
2007-11-08,10.649999618530273
2007-11-09,10.8100004196167
2007-11-12,10.770000457763672
2007-11-13,10.890000343322754
2007-11-14,10.84000015258789
2007-11-15,10.739999771118164
2007-11-16,10.630000114440918
2007-11-19,10.609999656677246
2007-11-20,10.550000190734863
2007-11-21,10.5600004196167
2007-11-23,10.699999809265137
2007-11-26,10.600000381469727
2007-11-27,10.59000015258789
2007-11-28,10.449999809265137
2007-11-29,9.949999809265137
2007-11-30,9.970000267028809
2007-12-03,10.050000190734863
2007-12-04,10.100000381469727
2007-12-05,10.029999732971191
2007-12-06,10.180000305175781
2007-12-07,10.15999984741211
2007-12-10,10.199999809265137
2007-12-11,10.109999656677246
2007-12-12,10.100000381469727
2007-12-13,9.960000038146973
2007-12-14,10.0
2007-12-17,9.890000343322754
2007-12-18,9.850000381469727
2007-12-19,9.899999618530273
2007-12-20,9.899999618530273
2007-12-21,10.0
2007-12-24,10.0
2007-12-26,10.0
2007-12-27,9.949999809265137
2007-12-28,9.970000267028809
2007-12-31,9.84000015258789
2008-01-02,9.899999618530273
2008-01-03,9.800000190734863
2008-01-04,9.479999542236328
2008-01-07,9.399999618530273
2008-01-08,9.4399995803833
2008-01-09,9.380000114440918
2008-01-10,9.989999771118164
2008-01-11,9.510000228881836
2008-01-14,9.770000457763672
2008-01-15,9.300000190734863
2008-01-16,9.5
2008-01-17,9.260000228881836
2008-01-18,9.010000228881836
2008-01-22,9.069999694824219
2008-01-23,9.180000305175781
2008-01-24,9.699999809265137
2008-01-25,9.59000015258789
2008-01-28,9.6899995803833
2008-01-29,9.649999618530273
2008-01-30,9.649999618530273
2008-01-31,9.75
2008-02-01,10.0
2008-02-04,10.0
2008-02-05,9.65999984741211
2008-02-06,9.699999809265137
2008-02-07,9.720000267028809
2008-02-08,9.869999885559082
2008-02-11,9.899999618530273
2008-02-12,9.850000381469727
2008-02-13,9.760000228881836
2008-02-14,9.829999923706055
2008-02-15,9.739999771118164
2008-02-19,9.649999618530273
2008-02-20,9.789999961853027
2008-02-21,9.789999961853027
2008-02-22,9.859999656677246
2008-02-25,9.789999961853027
2008-02-26,9.880000114440918
2008-02-27,9.90999984741211
2008-02-28,9.880000114440918
2008-02-29,9.949999809265137
2008-03-03,9.890000343322754
2008-03-04,9.800000190734863
2008-03-05,9.859999656677246
2008-03-06,9.6899995803833
2008-03-07,9.550000190734863
2008-03-10,9.199999809265137
2008-03-11,9.270000457763672
2008-03-12,9.170000076293945
2008-03-13,9.1899995803833
2008-03-14,9.100000381469727
2008-03-17,8.920000076293945
2008-03-18,8.850000381469727
2008-03-19,9.079999923706055
2008-03-20,9.329999923706055
2008-03-24,9.470000267028809
2008-03-25,9.449999809265137
2008-03-26,9.600000381469727
2008-03-27,9.319999694824219
2008-03-28,9.260000228881836
2008-03-31,9.399999618530273
2008-04-01,9.6899995803833
2008-04-02,9.420000076293945
2008-04-03,9.779999732971191
2008-04-04,9.920000076293945
2008-04-07,9.649999618530273
2008-04-08,9.770000457763672
2008-04-09,9.84000015258789
2008-04-10,9.84000015258789
2008-04-11,9.859999656677246
2008-04-14,9.699999809265137
2008-04-15,9.899999618530273
2008-04-16,9.850000381469727
2008-04-17,9.760000228881836
2008-04-18,9.800000190734863
2008-04-21,9.819999694824219
2008-04-22,9.75
2008-04-23,9.699999809265137
2008-04-24,9.789999961853027
2008-04-25,9.789999961853027
2008-04-28,9.899999618530273
2008-04-29,9.880000114440918
2008-04-30,10.020000457763672
2008-05-01,10.079999923706055
2008-05-02,10.25
2008-05-05,10.34000015258789
