,FDM
2005-09-30,20.229999542236328
2005-10-03,20.309999465942383
2005-10-04,20.1299991607666
2005-10-05,19.59000015258789
2005-10-06,19.3700008392334
2005-10-07,19.68000030517578
2005-10-10,19.549999237060547
2005-10-11,19.420000076293945
2005-10-12,19.06999969482422
2005-10-13,19.200000762939453
2005-10-14,19.260000228881836
2005-10-17,19.229999542236328
2005-10-18,19.1200008392334
2005-10-19,19.540000915527344
2005-10-20,19.219999313354492
2005-10-21,19.440000534057617
2005-10-24,19.719999313354492
2005-10-25,19.559999465942383
2005-10-26,19.450000762939453
2005-10-27,19.1200008392334
2005-10-28,19.329999923706055
2005-10-31,19.75
2005-11-01,19.649999618530273
2005-11-02,19.93000030517578
2005-11-03,20.15999984741211
2005-11-04,20.059999465942383
2005-11-07,20.260000228881836
2005-11-08,20.1299991607666
2005-11-09,20.239999771118164
2005-11-10,20.389999389648438
2005-11-11,20.469999313354492
2005-11-14,20.389999389648438
2005-11-15,20.139999389648438
2005-11-16,20.010000228881836
2005-11-17,20.420000076293945
2005-11-18,20.459999084472656
2005-11-21,20.639999389648438
2005-11-22,20.780000686645508
2005-11-23,20.809999465942383
2005-11-25,20.81999969482422
2005-11-28,20.5
2005-11-29,20.5
2005-11-30,20.75
2005-12-01,21.110000610351562
2005-12-02,21.040000915527344
2005-12-05,21.09000015258789
2005-12-06,21.1200008392334
2005-12-07,21.0
2005-12-08,21.030000686645508
2005-12-09,21.149999618530273
2005-12-12,21.149999618530273
2005-12-13,21.149999618530273
2005-12-14,21.350000381469727
2005-12-15,20.989999771118164
2005-12-16,20.969999313354492
2005-12-19,20.809999465942383
2005-12-20,20.809999465942383
2005-12-21,20.829999923706055
2005-12-22,21.030000686645508
2005-12-23,21.079999923706055
2005-12-27,20.850000381469727
2005-12-28,20.790000915527344
2005-12-29,20.989999771118164
2005-12-30,20.719999313354492
2006-01-03,21.0
2006-01-04,21.110000610351562
2006-01-05,21.209999084472656
2006-01-06,21.440000534057617
2006-01-09,21.549999237060547
2006-01-10,21.649999618530273
2006-01-11,21.639999389648438
2006-01-12,21.549999237060547
2006-01-13,21.579999923706055
2006-01-17,21.31999969482422
2006-01-18,21.360000610351562
2006-01-19,21.700000762939453
2006-01-20,21.5
2006-01-23,21.579999923706055
2006-01-24,21.809999465942383
2006-01-25,21.860000610351562
2006-01-26,22.200000762939453
2006-01-27,22.280000686645508
2006-01-30,22.209999084472656
2006-01-31,22.15999984741211
2006-02-01,22.34000015258789
2006-02-02,22.0
2006-02-03,21.979999542236328
2006-02-06,22.079999923706055
2006-02-07,21.829999923706055
2006-02-08,21.920000076293945
2006-02-09,21.809999465942383
2006-02-10,21.670000076293945
2006-02-13,21.56999969482422
2006-02-14,21.8700008392334
2006-02-15,22.030000686645508
2006-02-16,22.229999542236328
2006-02-17,22.219999313354492
2006-02-21,22.09000015258789
2006-02-22,22.239999771118164
2006-02-23,22.200000762939453
2006-02-24,22.329999923706055
2006-02-27,22.389999389648438
2006-02-28,22.139999389648438
2006-03-01,22.329999923706055
2006-03-02,22.34000015258789
2006-03-03,22.25
2006-03-06,22.0
2006-03-07,21.780000686645508
2006-03-08,21.760000228881836
2006-03-09,21.649999618530273
2006-03-10,21.770000457763672
2006-03-13,21.850000381469727
2006-03-14,22.079999923706055
2006-03-15,22.280000686645508
2006-03-16,22.299999237060547
2006-03-17,22.360000610351562
2006-03-20,22.31999969482422
2006-03-21,22.139999389648438
2006-03-22,22.270000457763672
2006-03-23,22.420000076293945
2006-03-24,22.549999237060547
2006-03-27,22.65999984741211
2006-03-28,22.540000915527344
2006-03-29,22.8799991607666
2006-03-30,22.760000228881836
2006-03-31,22.93000030517578
2006-04-03,22.760000228881836
2006-04-04,22.829999923706055
2006-04-05,22.93000030517578
2006-04-06,22.920000076293945
2006-04-07,22.6299991607666
2006-04-10,22.59000015258789
2006-04-11,22.270000457763672
2006-04-12,22.34000015258789
2006-04-13,22.479999542236328
2006-04-17,22.420000076293945
2006-04-18,22.8700008392334
2006-04-19,23.1299991607666
2006-04-20,23.110000610351562
2006-04-21,23.030000686645508
2006-04-24,22.959999084472656
2006-04-25,22.90999984741211
2006-04-26,23.079999923706055
2006-04-27,22.989999771118164
2006-04-28,23.079999923706055
2006-05-01,22.93000030517578
2006-05-02,23.190000534057617
2006-05-03,23.329999923706055
2006-05-04,23.530000686645508
2006-05-05,23.670000076293945
2006-05-08,23.559999465942383
2006-05-09,23.530000686645508
2006-05-10,23.260000228881836
2006-05-11,22.75
2006-05-12,22.309999465942383
2006-05-15,22.229999542236328
2006-05-16,22.290000915527344
2006-05-17,21.969999313354492
2006-05-18,21.8700008392334
2006-05-19,21.959999084472656
2006-05-22,21.8799991607666
2006-05-23,21.719999313354492
2006-05-24,21.790000915527344
2006-05-25,22.06999969482422
2006-05-26,22.18000030517578
2006-05-30,21.700000762939453
2006-05-31,21.959999084472656
2006-06-01,22.3799991607666
2006-06-02,22.40999984741211
2006-06-05,21.75
2006-06-06,21.6200008392334
2006-06-07,21.469999313354492
2006-06-08,21.489999771118164
2006-06-09,21.209999084472656
2006-06-12,20.799999237060547
2006-06-13,20.399999618530273
2006-06-14,20.5
2006-06-15,21.209999084472656
2006-06-16,20.93000030517578
2006-06-19,20.639999389648438
2006-06-20,20.559999465942383
2006-06-21,20.940000534057617
2006-06-22,20.8700008392334
2006-06-23,20.969999313354492
2006-06-26,21.209999084472656
2006-06-27,20.989999771118164
2006-06-28,20.90999984741211
2006-06-29,21.709999084472656
2006-06-30,21.809999465942383
2006-07-03,21.979999542236328
2006-07-05,21.690000534057617
2006-07-06,21.729999542236328
2006-07-07,21.389999389648438
2006-07-10,21.40999984741211
2006-07-11,21.290000915527344
2006-07-12,21.139999389648438
2006-07-13,20.639999389648438
2006-07-14,20.489999771118164
2006-07-17,20.309999465942383
2006-07-18,20.479999542236328
2006-07-19,21.09000015258789
2006-07-20,20.479999542236328
2006-07-21,20.200000762939453
2006-07-24,20.739999771118164
2006-07-25,20.969999313354492
2006-07-26,20.850000381469727
2006-07-27,20.530000686645508
2006-07-28,21.010000228881836
2006-07-31,21.059999465942383
2006-08-01,20.649999618530273
2006-08-02,20.84000015258789
2006-08-03,21.139999389648438
2006-08-04,20.969999313354492
2006-08-07,20.81999969482422
2006-08-08,20.600000381469727
2006-08-09,20.3700008392334
2006-08-10,20.5
2006-08-11,20.309999465942383
2006-08-14,20.309999465942383
2006-08-15,20.829999923706055
2006-08-16,21.020000457763672
2006-08-17,21.079999923706055
2006-08-18,21.100000381469727
2006-08-21,20.889999389648438
2006-08-22,20.950000762939453
2006-08-23,20.670000076293945
2006-08-24,20.639999389648438
2006-08-25,20.690000534057617
2006-08-28,20.90999984741211
2006-08-29,21.200000762939453
2006-08-30,21.389999389648438
2006-08-31,21.360000610351562
2006-09-01,21.43000030517578
2006-09-05,21.56999969482422
2006-09-06,21.190000534057617
2006-09-07,20.979999542236328
2006-09-08,21.059999465942383
2006-09-11,21.010000228881836
2006-09-12,21.540000915527344
2006-09-13,21.770000457763672
2006-09-14,21.639999389648438
2006-09-15,21.729999542236328
2006-09-18,21.729999542236328
2006-09-19,21.389999389648438
2006-09-20,21.899999618530273
2006-09-21,21.729999542236328
2006-09-22,21.389999389648438
2006-09-25,21.700000762939453
2006-09-26,21.760000228881836
2006-09-27,21.860000610351562
2006-09-28,21.8799991607666
2006-09-29,21.610000610351562
2006-10-02,21.420000076293945
2006-10-03,21.3700008392334
2006-10-04,21.809999465942383
2006-10-05,22.100000381469727
2006-10-06,22.0
2006-10-09,22.1299991607666
2006-10-10,22.239999771118164
2006-10-11,22.049999237060547
2006-10-12,22.559999465942383
2006-10-13,22.760000228881836
2006-10-16,23.010000228881836
2006-10-17,22.84000015258789
2006-10-18,22.790000915527344
2006-10-19,22.920000076293945
2006-10-20,22.739999771118164
2006-10-23,22.809999465942383
2006-10-24,22.790000915527344
2006-10-25,22.93000030517578
2006-10-26,23.239999771118164
2006-10-27,23.040000915527344
2006-10-30,23.1299991607666
2006-10-31,22.940000534057617
2006-11-01,22.469999313354492
2006-11-02,22.40999984741211
2006-11-03,22.510000228881836
2006-11-06,22.8799991607666
2006-11-07,22.920000076293945
2006-11-08,23.1299991607666
2006-11-09,22.829999923706055
2006-11-10,23.030000686645508
2006-11-13,23.149999618530273
2006-11-14,23.540000915527344
2006-11-15,23.799999237060547
2006-11-16,23.770000457763672
2006-11-17,23.579999923706055
2006-11-20,23.639999389648438
2006-11-21,23.690000534057617
2006-11-22,23.649999618530273
2006-11-24,23.610000610351562
2006-11-27,23.079999923706055
2006-11-28,23.110000610351562
2006-11-29,23.450000762939453
2006-11-30,23.520000457763672
2006-12-01,23.239999771118164
2006-12-04,23.829999923706055
2006-12-05,23.889999389648438
2006-12-06,23.889999389648438
2006-12-07,23.799999237060547
2006-12-08,23.829999923706055
2006-12-11,23.850000381469727
2006-12-12,23.68000030517578
2006-12-13,23.780000686645508
2006-12-14,24.030000686645508
2006-12-15,23.950000762939453
2006-12-18,23.649999618530273
2006-12-19,23.639999389648438
2006-12-20,23.780000686645508
2006-12-21,23.709999084472656
2006-12-22,23.649999618530273
2006-12-26,23.780000686645508
2006-12-27,24.229999542236328
2006-12-28,24.15999984741211
2006-12-29,23.950000762939453
2007-01-03,23.90999984741211
2007-01-04,23.979999542236328
2007-01-05,23.479999542236328
2007-01-08,23.530000686645508
2007-01-09,23.510000228881836
2007-01-10,23.479999542236328
2007-01-11,23.809999465942383
2007-01-12,23.920000076293945
2007-01-16,23.809999465942383
2007-01-17,23.81999969482422
2007-01-18,23.59000015258789
2007-01-19,23.700000762939453
2007-01-22,23.6200008392334
2007-01-23,23.770000457763672
2007-01-24,23.959999084472656
