,CRNX
2018-07-18,24.510000228881836
2018-07-19,22.65999984741211
2018-07-20,23.0
2018-07-23,25.1299991607666
2018-07-24,25.110000610351562
2018-07-25,25.350000381469727
2018-07-26,24.899999618530273
2018-07-27,24.389999389648438
2018-07-30,25.579999923706055
2018-07-31,24.610000610351562
2018-08-01,25.399999618530273
2018-08-02,26.299999237060547
2018-08-03,25.84000015258789
2018-08-06,26.6200008392334
2018-08-07,26.200000762939453
2018-08-08,28.0
2018-08-09,29.84000015258789
2018-08-10,30.68000030517578
2018-08-13,31.3799991607666
2018-08-14,30.649999618530273
2018-08-15,29.969999313354492
2018-08-16,30.809999465942383
2018-08-17,32.70000076293945
2018-08-20,31.989999771118164
2018-08-21,31.649999618530273
2018-08-22,31.93000030517578
2018-08-23,33.06999969482422
2018-08-24,32.7400016784668
2018-08-27,32.02000045776367
2018-08-28,32.7599983215332
2018-08-29,30.8700008392334
2018-08-30,30.31999969482422
2018-08-31,29.989999771118164
2018-09-04,30.100000381469727
2018-09-05,30.209999084472656
2018-09-06,33.47999954223633
2018-09-07,36.630001068115234
2018-09-10,36.59000015258789
2018-09-11,35.869998931884766
2018-09-12,36.79999923706055
2018-09-13,36.29999923706055
2018-09-14,33.70000076293945
2018-09-17,31.709999084472656
2018-09-18,31.649999618530273
2018-09-19,31.75
2018-09-20,30.559999465942383
2018-09-21,31.18000030517578
2018-09-24,30.110000610351562
2018-09-25,28.010000228881836
2018-09-26,26.739999771118164
2018-09-27,26.889999389648438
2018-09-28,28.649999618530273
2018-10-01,27.489999771118164
2018-10-02,27.540000915527344
2018-10-03,26.690000534057617
2018-10-04,24.170000076293945
2018-10-05,23.239999771118164
2018-10-08,23.450000762939453
2018-10-09,23.31999969482422
2018-10-10,22.5
2018-10-11,23.610000610351562
2018-10-12,23.90999984741211
2018-10-15,22.850000381469727
2018-10-16,23.43000030517578
2018-10-17,23.469999313354492
2018-10-18,23.399999618530273
2018-10-19,22.8700008392334
2018-10-22,22.399999618530273
2018-10-23,22.40999984741211
2018-10-24,22.469999313354492
2018-10-25,25.0
2018-10-26,25.329999923706055
2018-10-29,23.940000534057617
2018-10-30,24.0
2018-10-31,24.90999984741211
2018-11-01,25.989999771118164
2018-11-02,26.329999923706055
2018-11-05,26.670000076293945
2018-11-06,27.0
2018-11-07,27.219999313354492
2018-11-08,28.15999984741211
2018-11-09,26.84000015258789
