,DDMXU
2020-12-08,10.25
2020-12-09,10.479999542236328
2020-12-10,10.3100004196167
2020-12-11,10.470000267028809
2020-12-14,10.390000343322754
2020-12-15,10.350000381469727
2020-12-16,10.350000381469727
2020-12-17,10.449999809265137
2020-12-18,10.385000228881836
2020-12-21,10.359999656677246
2020-12-22,10.489999771118164
2020-12-23,10.40999984741211
2020-12-24,10.47700023651123
2020-12-28,10.484999656677246
2020-12-29,10.40999984741211
2020-12-30,10.510000228881836
2020-12-31,10.5
2021-01-04,10.520000457763672
2021-01-05,10.449999809265137
2021-01-06,10.5
2021-01-07,10.600000381469727
2021-01-08,10.600000381469727
2021-01-11,10.479999542236328
2021-01-12,10.63700008392334
2021-01-13,10.65999984741211
2021-01-14,10.600000381469727
2021-01-15,10.510000228881836
2021-01-19,10.619999885559082
2021-01-20,10.63599967956543
2021-01-21,10.619999885559082
2021-01-22,10.850000381469727
2021-01-25,10.850000381469727
2021-01-26,10.699999809265137
2021-01-27,10.510000228881836
2021-01-28,10.600000381469727
2021-01-29,10.579999923706055
2021-02-01,10.84000015258789
2021-02-02,11.039999961853027
2021-02-03,11.524999618530273
2021-02-04,11.619999885559082
2021-02-05,11.449999809265137
2021-02-08,11.220000267028809
2021-02-09,11.25
2021-02-10,11.24899959564209
2021-02-11,11.220000267028809
2021-02-12,11.399999618530273
2021-02-16,11.199999809265137
2021-02-17,11.336999893188477
2021-02-18,11.300000190734863
2021-02-19,11.359999656677246
2021-02-22,11.399999618530273
2021-02-23,11.180000305175781
2021-02-24,11.300000190734863
2021-02-25,11.100000381469727
2021-02-26,10.899999618530273
2021-03-01,10.8100004196167
2021-03-02,10.59000015258789
2021-03-03,10.470000267028809
2021-03-04,10.220000267028809
2021-03-05,10.399999618530273
2021-03-08,10.670000076293945
2021-03-09,10.640000343322754
2021-03-10,10.380000114440918
2021-03-11,10.75
2021-03-12,10.739999771118164
2021-03-15,10.600000381469727
2021-03-16,10.449999809265137
2021-03-17,10.399999618530273
2021-03-18,10.630000114440918
2021-03-19,10.600000381469727
2021-03-22,10.600000381469727
2021-03-23,10.5
2021-03-24,10.359999656677246
2021-03-25,10.300000190734863
2021-03-26,10.229999542236328
2021-03-29,10.260000228881836
2021-03-30,10.3100004196167
2021-03-31,10.260000228881836
2021-04-01,10.279999732971191
2021-04-05,10.279999732971191
2021-04-06,10.359999656677246
2021-04-07,10.260000228881836
2021-04-08,10.359999656677246
2021-04-09,10.359999656677246
2021-04-12,10.371000289916992
2021-04-13,10.371000289916992
2021-04-14,10.449999809265137
2021-04-15,10.380000114440918
2021-04-16,10.350000381469727
2021-04-19,10.420000076293945
2021-04-20,10.420000076293945
2021-04-21,10.380000114440918
2021-04-22,10.359999656677246
2021-04-23,10.260000228881836
2021-04-26,10.3100004196167
2021-04-27,10.359999656677246
2021-04-28,10.359999656677246
2021-04-29,10.359999656677246
2021-04-30,10.449999809265137
2021-05-03,10.449999809265137
2021-05-04,10.3100004196167
2021-05-05,10.430000305175781
2021-05-06,10.550000190734863
2021-05-07,10.550000190734863
2021-05-10,10.550000190734863
2021-05-11,10.550000190734863
2021-05-12,10.449999809265137
2021-05-13,10.430000305175781
2021-05-14,10.430000305175781
