,DVY
2003-11-07,50.54999923706055
2003-11-10,50.18000030517578
2003-11-11,50.06999969482422
2003-11-12,50.63999938964844
2003-11-13,50.7599983215332
2003-11-14,50.61000061035156
2003-11-17,50.290000915527344
2003-11-18,49.93000030517578
2003-11-19,50.13999938964844
2003-11-20,49.83000183105469
2003-11-21,49.95000076293945
2003-11-24,50.630001068115234
2003-11-25,51.08000183105469
2003-11-26,51.290000915527344
2003-11-28,51.310001373291016
2003-12-01,51.88999938964844
2003-12-02,51.849998474121094
2003-12-03,51.900001525878906
2003-12-04,52.08000183105469
2003-12-05,51.720001220703125
2003-12-08,52.209999084472656
2003-12-09,51.959999084472656
2003-12-10,51.79999923706055
2003-12-11,52.130001068115234
2003-12-12,52.36000061035156
2003-12-15,51.97999954223633
2003-12-16,52.08000183105469
2003-12-17,52.08000183105469
2003-12-18,52.65999984741211
2003-12-19,52.61000061035156
2003-12-22,52.88999938964844
2003-12-23,53.06999969482422
2003-12-24,53.119998931884766
2003-12-26,53.2400016784668
2003-12-29,53.849998474121094
2003-12-30,53.959999084472656
2003-12-31,53.84000015258789
2004-01-02,53.790000915527344
2004-01-05,54.040000915527344
2004-01-06,53.95000076293945
2004-01-07,53.939998626708984
2004-01-08,54.15999984741211
2004-01-09,53.79999923706055
2004-01-12,53.970001220703125
2004-01-13,53.689998626708984
2004-01-14,54.0
2004-01-15,54.2599983215332
2004-01-16,54.40999984741211
2004-01-20,54.52000045776367
2004-01-21,55.119998931884766
2004-01-22,54.970001220703125
2004-01-23,54.880001068115234
2004-01-26,55.220001220703125
2004-01-27,55.09000015258789
2004-01-28,54.7400016784668
2004-01-29,54.720001220703125
2004-01-30,54.72999954223633
2004-02-02,54.7400016784668
2004-02-03,54.900001525878906
2004-02-04,54.47999954223633
2004-02-05,54.470001220703125
2004-02-06,55.04999923706055
2004-02-09,54.959999084472656
2004-02-10,55.43000030517578
2004-02-11,55.939998626708984
2004-02-12,55.79999923706055
2004-02-13,55.59000015258789
2004-02-17,56.04999923706055
2004-02-18,55.939998626708984
2004-02-19,55.95000076293945
2004-02-20,55.7599983215332
2004-02-23,55.83000183105469
2004-02-24,55.83000183105469
2004-02-25,56.09000015258789
2004-02-26,56.18000030517578
2004-02-27,56.58000183105469
2004-03-01,56.90999984741211
2004-03-02,56.790000915527344
2004-03-03,56.84000015258789
2004-03-04,57.0
2004-03-05,57.34000015258789
2004-03-08,57.130001068115234
2004-03-09,56.70000076293945
2004-03-10,55.90999984741211
2004-03-11,55.099998474121094
2004-03-12,55.61000061035156
2004-03-15,54.810001373291016
2004-03-16,55.150001525878906
2004-03-17,55.77000045776367
2004-03-18,55.61000061035156
2004-03-19,55.11000061035156
2004-03-22,54.279998779296875
2004-03-23,54.290000915527344
2004-03-24,53.95000076293945
2004-03-25,54.52000045776367
2004-03-26,54.060001373291016
2004-03-29,54.599998474121094
2004-03-30,55.0099983215332
2004-03-31,55.290000915527344
2004-04-01,55.720001220703125
2004-04-02,55.59000015258789
2004-04-05,55.720001220703125
2004-04-06,55.7400016784668
2004-04-07,55.43000030517578
2004-04-08,55.20000076293945
2004-04-12,55.15999984741211
2004-04-13,54.25
2004-04-14,53.779998779296875
2004-04-15,53.83000183105469
2004-04-16,54.45000076293945
2004-04-19,54.380001068115234
2004-04-20,53.79999923706055
2004-04-21,54.0
2004-04-22,54.9900016784668
2004-04-23,54.81999969482422
2004-04-26,54.849998474121094
2004-04-27,54.900001525878906
2004-04-28,54.150001525878906
2004-04-29,53.66999816894531
2004-04-30,53.75
2004-05-03,54.16999816894531
2004-05-04,54.349998474121094
2004-05-05,54.599998474121094
2004-05-06,54.33000183105469
2004-05-07,53.099998474121094
2004-05-10,52.349998474121094
2004-05-11,52.54999923706055
2004-05-12,52.84000015258789
2004-05-13,52.88999938964844
2004-05-14,53.040000915527344
2004-05-17,52.540000915527344
2004-05-18,52.900001525878906
2004-05-19,52.810001373291016
2004-05-20,53.08000183105469
2004-05-21,53.25
2004-05-24,53.349998474121094
2004-05-25,54.060001373291016
2004-05-26,54.439998626708984
2004-05-27,54.65999984741211
2004-05-28,54.810001373291016
2004-06-01,54.75
2004-06-02,54.83000183105469
2004-06-03,54.439998626708984
2004-06-04,54.68000030517578
2004-06-07,55.349998474121094
2004-06-08,55.31999969482422
2004-06-09,54.84000015258789
2004-06-10,55.130001068115234
2004-06-14,54.47999954223633
2004-06-15,54.900001525878906
2004-06-16,54.849998474121094
2004-06-17,54.95000076293945
2004-06-18,55.09000015258789
2004-06-21,55.189998626708984
2004-06-22,55.220001220703125
2004-06-23,55.650001525878906
2004-06-24,55.060001373291016
2004-06-25,54.97999954223633
2004-06-28,55.130001068115234
2004-06-29,55.310001373291016
2004-06-30,55.650001525878906
2004-07-01,55.029998779296875
2004-07-02,55.18000030517578
2004-07-06,54.88999938964844
2004-07-07,54.869998931884766
2004-07-08,54.459999084472656
2004-07-09,54.689998626708984
2004-07-12,54.81999969482422
2004-07-13,54.88999938964844
2004-07-14,54.88999938964844
2004-07-15,54.880001068115234
2004-07-16,54.900001525878906
2004-07-19,55.04999923706055
2004-07-20,55.5
2004-07-21,54.70000076293945
