,BSJP
2017-09-27,25.110000610351562
2017-09-28,25.049999237060547
2017-09-29,25.06999969482422
2017-10-02,25.09000015258789
2017-10-03,25.09000015258789
2017-10-04,25.08799934387207
2017-10-05,25.139999389648438
2017-10-06,25.106000900268555
2017-10-09,25.1299991607666
2017-10-10,25.15999984741211
2017-10-11,25.12700080871582
2017-10-12,25.118999481201172
2017-10-13,25.1200008392334
2017-10-16,25.1200008392334
2017-10-17,25.15999984741211
2017-10-18,25.190000534057617
2017-10-19,25.165000915527344
2017-10-20,25.229999542236328
2017-10-23,25.229999542236328
2017-10-24,25.229999542236328
2017-10-25,25.110000610351562
2017-10-26,25.079999923706055
2017-10-27,25.079999923706055
2017-10-30,25.020000457763672
2017-10-31,25.110000610351562
2017-11-01,25.110000610351562
2017-11-02,24.989999771118164
2017-11-03,24.9950008392334
2017-11-06,24.93000030517578
2017-11-07,24.899999618530273
2017-11-08,24.815000534057617
2017-11-09,24.6299991607666
2017-11-10,24.700000762939453
2017-11-13,24.650999069213867
2017-11-14,24.577999114990234
2017-11-15,24.510000228881836
2017-11-16,24.709999084472656
2017-11-17,24.768999099731445
2017-11-20,24.809999465942383
2017-11-21,24.871999740600586
2017-11-22,24.899999618530273
2017-11-24,24.950000762939453
2017-11-27,24.829999923706055
2017-11-28,24.969999313354492
2017-11-29,24.950000762939453
2017-11-30,24.969999313354492
2017-12-01,24.989999771118164
2017-12-04,24.989999771118164
2017-12-05,24.909000396728516
2017-12-06,24.889999389648438
2017-12-07,24.8799991607666
2017-12-08,24.940000534057617
2017-12-11,24.940000534057617
2017-12-12,24.858999252319336
2017-12-13,24.889999389648438
2017-12-14,24.809999465942383
2017-12-15,24.809999465942383
2017-12-18,24.8799991607666
2017-12-19,24.8700008392334
2017-12-20,24.84000015258789
2017-12-21,24.889999389648438
2017-12-22,24.860000610351562
2017-12-26,24.860000610351562
2017-12-27,24.950000762939453
2017-12-28,24.860000610351562
2017-12-29,24.8700008392334
2018-01-02,24.899999618530273
2018-01-03,25.007999420166016
2018-01-04,25.18000030517578
2018-01-05,25.190000534057617
2018-01-08,25.200000762939453
2018-01-09,25.15999984741211
2018-01-10,25.100000381469727
2018-01-11,25.15999984741211
2018-01-12,25.1200008392334
2018-01-16,25.09000015258789
2018-01-17,25.139999389648438
2018-01-18,24.989999771118164
2018-01-19,24.940000534057617
2018-01-22,24.959999084472656
2018-01-23,25.023000717163086
2018-01-24,25.020000457763672
2018-01-25,25.040000915527344
2018-01-26,25.040000915527344
2018-01-29,24.959999084472656
2018-01-30,24.850000381469727
2018-01-31,24.875
2018-02-01,24.770000457763672
2018-02-02,24.489999771118164
2018-02-05,24.280000686645508
2018-02-06,24.520000457763672
2018-02-07,24.420000076293945
2018-02-08,24.190000534057617
2018-02-09,24.1299991607666
2018-02-12,24.260000228881836
2018-02-13,24.1200008392334
2018-02-14,24.200000762939453
2018-02-15,24.41900062561035
2018-02-16,24.459999084472656
2018-02-20,24.440000534057617
2018-02-21,24.3799991607666
2018-02-22,24.3799991607666
2018-02-23,24.450000762939453
2018-02-26,24.510000228881836
2018-02-27,24.458999633789062
2018-02-28,24.3799991607666
2018-03-01,24.329999923706055
2018-03-02,24.25
2018-03-05,24.290000915527344
2018-03-06,24.280000686645508
2018-03-07,24.260000228881836
2018-03-08,24.204999923706055
2018-03-09,24.375
