,CHRW
1998-09-24,5.125
1998-09-25,5.0625
1998-09-28,5.09375
1998-09-29,5.0625
1998-09-30,5.03125
1998-10-01,4.75
1998-10-02,4.71875
1998-10-05,4.34375
1998-10-06,4.234375
1998-10-07,4.125
1998-10-08,3.6875
1998-10-09,3.921875
1998-10-12,4.5625
1998-10-13,4.515625
1998-10-14,4.5
1998-10-15,5.0
1998-10-16,4.75
1998-10-19,4.828125
1998-10-20,5.0
1998-10-21,5.25
1998-10-22,5.234375
1998-10-23,5.1875
1998-10-26,5.296875
1998-10-27,5.25
1998-10-28,5.265625
1998-10-29,5.34375
1998-10-30,5.546875
1998-11-02,5.6875
1998-11-03,5.703125
1998-11-04,5.953125
1998-11-05,5.859375
1998-11-06,5.921875
1998-11-09,5.984375
1998-11-10,6.015625
1998-11-11,5.992187976837158
1998-11-12,6.0
1998-11-13,5.984375
1998-11-16,5.578125
1998-11-17,5.75
1998-11-18,5.84375
1998-11-19,5.828125
1998-11-20,5.765625
1998-11-23,5.75
1998-11-24,5.65625
1998-11-25,5.5625
1998-11-27,5.609375
1998-11-30,5.640625
1998-12-01,5.859375
1998-12-02,5.71875
1998-12-03,5.90625
1998-12-04,6.0625
1998-12-07,5.96875
1998-12-08,6.0625
1998-12-09,5.90625
1998-12-10,5.984375
1998-12-11,5.9375
1998-12-14,5.875
1998-12-15,5.875
1998-12-16,6.0625
1998-12-17,6.171875
1998-12-18,6.234375
1998-12-21,6.25
1998-12-22,6.25
1998-12-23,6.375
1998-12-24,6.34375
1998-12-28,6.46875
1998-12-29,6.5
1998-12-30,6.421875
1998-12-31,6.484375
1999-01-04,6.375
1999-01-05,6.4375
1999-01-06,6.375
1999-01-07,6.4375
1999-01-08,6.25
1999-01-11,6.390625
1999-01-12,6.359375
1999-01-13,6.5
1999-01-14,6.5
1999-01-15,6.515625
1999-01-19,6.484375
1999-01-20,6.46875
1999-01-21,6.59375
1999-01-22,6.59375
1999-01-25,6.65625
1999-01-26,6.625
1999-01-27,6.6875
1999-01-28,6.734375
1999-01-29,6.84375
1999-02-01,7.046875
1999-02-02,7.34375
1999-02-03,7.40625
1999-02-04,7.25
1999-02-05,7.21875
1999-02-08,7.3125
1999-02-09,6.84375
1999-02-10,6.8125
1999-02-11,6.75
1999-02-12,6.296875
1999-02-16,6.421875
1999-02-17,6.421875
1999-02-18,6.34375
1999-02-19,6.28125
1999-02-22,6.5
1999-02-23,6.4375
1999-02-24,6.296875
1999-02-25,6.375
1999-02-26,6.5625
1999-03-01,6.90625
1999-03-02,6.875
1999-03-03,6.875
1999-03-04,6.875
1999-03-05,6.9375
1999-03-08,6.875
1999-03-09,6.796875
1999-03-10,6.8125
1999-03-11,6.78125
1999-03-12,6.71875
1999-03-15,6.695312976837158
1999-03-16,6.46875
1999-03-17,6.5
1999-03-18,6.46875
1999-03-19,6.4375
1999-03-22,6.382812976837158
1999-03-23,6.34375
1999-03-24,6.359375
1999-03-25,6.40625
1999-03-26,6.5
1999-03-29,6.679687976837158
1999-03-30,6.5625
1999-03-31,6.359375
1999-04-01,6.4375
1999-04-05,6.484375
1999-04-06,6.59375
1999-04-07,6.515625
1999-04-08,6.46875
1999-04-09,6.484375
1999-04-12,6.484375
1999-04-13,6.515625
1999-04-14,6.6875
1999-04-15,6.75
1999-04-16,6.773437976837158
1999-04-19,6.96875
1999-04-20,6.84375
1999-04-21,7.21875
1999-04-22,7.328125
1999-04-23,7.21875
1999-04-26,7.34375
1999-04-27,7.3125
1999-04-28,7.25
1999-04-29,7.25
1999-04-30,7.484375
1999-05-03,7.640625
1999-05-04,7.921875
1999-05-05,7.984375
1999-05-06,8.125
1999-05-07,7.9375
1999-05-10,8.125
1999-05-11,8.171875
1999-05-12,8.5
1999-05-13,8.53125
1999-05-14,8.125
1999-05-17,8.15625
1999-05-18,7.875
1999-05-19,7.84375
1999-05-20,7.9375
1999-05-21,8.0
1999-05-24,7.6875
1999-05-25,7.90625
1999-05-26,8.0625
1999-05-27,8.03125
1999-05-28,8.078125
1999-06-01,8.5625
1999-06-02,8.734375
1999-06-03,8.5625
1999-06-04,8.375
1999-06-07,8.265625
1999-06-08,8.203125
1999-06-09,7.8125
1999-06-10,7.875
1999-06-11,7.953125
1999-06-14,7.9375
1999-06-15,7.96875
1999-06-16,8.46875
1999-06-17,8.640625
1999-06-18,8.859375
1999-06-21,8.90625
1999-06-22,8.796875
1999-06-23,8.9375
1999-06-24,8.734375
1999-06-25,8.890625
1999-06-28,9.171875
1999-06-29,9.15625
1999-06-30,9.1875
1999-07-01,9.125
1999-07-02,9.34375
1999-07-06,9.21875
1999-07-07,8.4375
1999-07-08,8.765625
1999-07-09,8.78125
1999-07-12,8.796875
1999-07-13,8.71875
1999-07-14,8.5625
1999-07-15,8.640625
1999-07-16,8.609375
1999-07-19,8.78125
1999-07-20,9.09375
1999-07-21,9.03125
1999-07-22,8.8125
1999-07-23,8.78125
1999-07-26,8.953125
1999-07-27,8.96875
1999-07-28,8.78125
1999-07-29,8.75
1999-07-30,8.84375
1999-08-02,8.90625
1999-08-03,8.609375
1999-08-04,8.46875
1999-08-05,8.96875
1999-08-06,8.828125
1999-08-09,8.578125
1999-08-10,8.53125
1999-08-11,8.5
1999-08-12,8.125
1999-08-13,8.3125
1999-08-16,8.3125
1999-08-17,8.25
1999-08-18,8.109375
1999-08-19,8.21875
1999-08-20,8.328125
1999-08-23,8.3125
1999-08-24,8.28125
1999-08-25,8.359375
1999-08-26,8.25
1999-08-27,7.96875
1999-08-30,7.6875
1999-08-31,7.875
1999-09-01,7.890625
1999-09-02,7.765625
1999-09-03,8.359375
1999-09-07,8.34375
1999-09-08,8.25
1999-09-09,8.625
1999-09-10,8.5
1999-09-13,8.21875
1999-09-14,8.484375
1999-09-15,8.625
1999-09-16,8.234375
1999-09-17,8.375
1999-09-20,8.34375
1999-09-21,8.34375
1999-09-22,8.25
1999-09-23,8.21875
1999-09-24,8.1875
1999-09-27,8.429688453674316
1999-09-28,8.554688453674316
1999-09-29,8.5625
1999-09-30,8.421875
1999-10-01,8.28125
1999-10-04,8.140625
1999-10-05,8.234375
1999-10-06,8.359375
1999-10-07,8.4375
1999-10-08,8.5625
1999-10-11,8.625
1999-10-12,8.375
1999-10-13,8.125
1999-10-14,8.1875
1999-10-15,8.125
1999-10-18,8.1875
1999-10-19,8.203125
1999-10-20,8.3125
1999-10-21,8.265625
1999-10-22,8.296875
1999-10-25,8.171875
1999-10-26,7.84375
1999-10-27,8.25
1999-10-28,8.15625
1999-10-29,8.453125
1999-11-01,8.28125
1999-11-02,8.34375
1999-11-03,8.25
1999-11-04,7.8125
1999-11-05,7.421875
1999-11-08,7.203125
1999-11-09,7.03125
1999-11-10,7.8125
1999-11-11,7.90625
1999-11-12,7.96875
1999-11-15,8.015625
1999-11-16,8.0
1999-11-17,7.84375
1999-11-18,8.390625
1999-11-19,8.125
1999-11-22,8.375
1999-11-23,8.6875
1999-11-24,8.71875
1999-11-26,8.625
1999-11-29,8.53125
1999-11-30,8.71875
1999-12-01,8.875
1999-12-02,8.78125
1999-12-03,8.90625
1999-12-06,8.78125
1999-12-07,8.78125
1999-12-08,8.765625
1999-12-09,8.640625
1999-12-10,8.359375
1999-12-13,8.5
1999-12-14,8.6875
1999-12-15,8.78125
1999-12-16,8.875
1999-12-17,9.046875
1999-12-20,9.5625
1999-12-21,9.75
1999-12-22,9.492188453674316
1999-12-23,9.65625
1999-12-27,10.0
1999-12-28,10.515625
1999-12-29,10.125
1999-12-30,9.9375
1999-12-31,9.9375
2000-01-03,9.78125
2000-01-04,9.453125
2000-01-05,9.328125
2000-01-06,9.375
2000-01-07,9.5
2000-01-10,9.921875
2000-01-11,9.765625
2000-01-12,9.84375
2000-01-13,9.9375
2000-01-14,10.0
2000-01-18,9.921875
2000-01-19,10.21875
2000-01-20,10.109375
2000-01-21,9.828125
2000-01-24,10.296875
2000-01-25,10.125
2000-01-26,10.1875
2000-01-27,9.984375
2000-01-28,10.375
2000-01-31,10.171875
2000-02-01,10.3125
2000-02-02,10.640625
2000-02-03,10.625
2000-02-04,10.703125
2000-02-07,10.875
2000-02-08,11.046875
2000-02-09,11.96875
2000-02-10,11.796875
2000-02-11,10.890625
2000-02-14,10.8125
2000-02-15,10.4375
2000-02-16,10.65625
2000-02-17,10.53125
2000-02-18,10.1875
2000-02-22,10.375
2000-02-23,11.171875
2000-02-24,11.3125
2000-02-25,11.476563453674316
2000-02-28,12.375
2000-02-29,12.75
2000-03-01,12.5625
2000-03-02,12.414063453674316
2000-03-03,12.40625
2000-03-06,12.390625
2000-03-07,12.734375
2000-03-08,12.71875
2000-03-09,12.59375
2000-03-10,12.359375
2000-03-13,12.15625
2000-03-14,11.515625
2000-03-15,11.359375
2000-03-16,11.015625
2000-03-17,10.421875
2000-03-20,10.03125
2000-03-21,10.265625
2000-03-22,10.515625
2000-03-23,10.515625
2000-03-24,10.5
2000-03-27,10.46875
2000-03-28,10.46875
2000-03-29,10.125
2000-03-30,9.890625
2000-03-31,9.3125
2000-04-03,8.75
2000-04-04,10.09375
2000-04-05,9.84375
2000-04-06,10.09375
2000-04-07,10.859375
2000-04-10,10.421875
2000-04-11,10.53125
2000-04-12,11.5
2000-04-13,11.015625
2000-04-14,10.3125
2000-04-17,10.328125
2000-04-18,11.25
2000-04-19,11.726563453674316
2000-04-20,12.0
2000-04-24,12.21875
2000-04-25,12.359375
2000-04-26,12.046875
2000-04-27,12.3125
2000-04-28,12.5
2000-05-01,12.59375
2000-05-02,12.65625
2000-05-03,11.84375
2000-05-04,12.09375
2000-05-05,12.96875
2000-05-08,12.90625
2000-05-09,12.953125
2000-05-10,12.859375
2000-05-11,12.9375
2000-05-12,12.929688453674316
2000-05-15,12.921875
2000-05-16,12.1875
2000-05-17,11.421875
2000-05-18,11.09375
2000-05-19,11.03125
2000-05-22,11.109375
2000-05-23,11.90625
2000-05-24,11.828125
2000-05-25,11.5
2000-05-26,11.5
2000-05-30,11.34375
2000-05-31,11.234375
2000-06-01,11.953125
2000-06-02,11.5
2000-06-05,11.390625
2000-06-06,11.257813453674316
2000-06-07,11.21875
2000-06-08,10.78125
2000-06-09,10.804688453674316
2000-06-12,11.59375
2000-06-13,11.71875
2000-06-14,11.765625
2000-06-15,11.703125
2000-06-16,11.8125
2000-06-19,11.5
2000-06-20,11.015625
2000-06-21,10.625
2000-06-22,10.375
2000-06-23,10.4375
2000-06-26,10.4375
2000-06-27,10.390625
2000-06-28,10.625
2000-06-29,10.390625
2000-06-30,12.375
2000-07-03,11.859375
2000-07-05,11.9375
2000-07-06,11.75
2000-07-07,11.875
2000-07-10,12.5
2000-07-11,12.875
2000-07-12,13.296875
2000-07-13,13.28125
2000-07-14,13.546875
2000-07-17,13.84375
2000-07-18,13.90625
2000-07-19,13.3125
2000-07-20,14.09375
2000-07-21,14.171875
2000-07-24,13.96875
2000-07-25,14.25
2000-07-26,14.921875
2000-07-27,14.734375
2000-07-28,14.984375
2000-07-31,15.94140625
2000-08-01,14.953125
2000-08-02,14.625
2000-08-03,14.515625
2000-08-04,14.453125
2000-08-07,14.515625
2000-08-08,14.19140625
2000-08-09,14.53125
2000-08-10,14.78125
2000-08-11,15.03125
2000-08-14,15.03125
2000-08-15,14.40625
2000-08-16,15.0625
2000-08-17,15.265625
2000-08-18,15.28125
2000-08-21,15.14453125
2000-08-22,14.703125
2000-08-23,14.4375
2000-08-24,14.875
2000-08-25,15.4375
2000-08-28,14.75
2000-08-29,14.84375
2000-08-30,14.828125
2000-08-31,14.796875
2000-09-01,14.65625
2000-09-05,14.546875
2000-09-06,14.546875
2000-09-07,14.6875
2000-09-08,14.609375
2000-09-11,14.21875
2000-09-12,14.328125
2000-09-13,14.757813453674316
2000-09-14,14.890625
2000-09-15,14.875
2000-09-18,14.03125
2000-09-19,14.046875
2000-09-20,14.125
2000-09-21,14.5625
2000-09-22,14.453125
2000-09-25,14.40625
2000-09-26,14.078125
2000-09-27,13.91015625
2000-09-28,14.140625
2000-09-29,14.08984375
2000-10-02,13.390625
2000-10-03,13.125
2000-10-04,13.734375
2000-10-05,13.703125
2000-10-06,13.203125
2000-10-09,11.984375
2000-10-10,13.15625
2000-10-11,13.546875
2000-10-12,13.328125
2000-10-13,13.90625
2000-10-16,14.125
2000-10-17,14.0
2000-10-18,12.78125
2000-10-19,12.66015625
2000-10-20,13.0
2000-10-23,12.765625
2000-10-24,12.80859375
2000-10-25,12.90625
2000-10-26,14.1875
2000-10-27,13.89453125
2000-10-30,13.765625
2000-10-31,13.671875
2000-11-01,13.890625
2000-11-02,14.0
2000-11-03,13.71875
2000-11-06,13.71875
2000-11-07,13.5
2000-11-08,13.75
2000-11-09,13.71875
2000-11-10,13.296875
2000-11-13,13.421875
2000-11-14,13.71875
2000-11-15,13.84375
2000-11-16,13.90625
2000-11-17,14.1875
2000-11-20,14.25
2000-11-21,14.53125
2000-11-22,15.0
2000-11-24,15.125
2000-11-27,15.265625
2000-11-28,14.890625
2000-11-29,14.734375
2000-11-30,14.15625
2000-12-01,14.5625
2000-12-04,15.09375
2000-12-05,15.09375
2000-12-06,15.4375
2000-12-07,15.9375
2000-12-08,16.25
2000-12-11,16.25
2000-12-12,15.1875
2000-12-13,14.71875
2000-12-14,14.6875
2000-12-15,13.75
2000-12-18,14.78125
2000-12-19,14.96875
2000-12-20,14.78125
2000-12-21,14.75
2000-12-22,14.75
2000-12-26,14.5
2000-12-27,16.0625
2000-12-28,15.90625
2000-12-29,15.71875
2001-01-02,14.9375
2001-01-03,15.96875
2001-01-04,15.8125
2001-01-05,15.625
2001-01-08,15.03125
2001-01-09,14.875
2001-01-10,14.71875
2001-01-11,14.0
2001-01-12,13.65625
2001-01-16,13.90625
2001-01-17,14.03125
2001-01-18,14.1875
2001-01-19,14.03125
2001-01-22,14.0625
2001-01-23,14.25
2001-01-24,13.40625
2001-01-25,13.90625
2001-01-26,13.71875
2001-01-29,13.945313453674316
2001-01-30,13.875
2001-01-31,14.96875
2001-02-01,14.0
2001-02-02,14.6875
2001-02-05,14.4375
2001-02-06,14.78125
2001-02-07,14.765625
2001-02-08,14.65625
2001-02-09,14.625
2001-02-12,14.53125
2001-02-13,14.875
2001-02-14,14.8125
2001-02-15,15.09375
2001-02-16,15.007813453674316
2001-02-20,15.125
2001-02-21,14.78125
2001-02-22,14.8125
2001-02-23,14.84375
2001-02-26,14.90625
2001-02-27,14.8125
2001-02-28,14.9375
2001-03-01,15.0
2001-03-02,14.875
2001-03-05,14.78125
2001-03-06,15.164063453674316
2001-03-07,15.5
2001-03-08,15.25
2001-03-09,15.1875
2001-03-12,14.28125
2001-03-13,14.125
2001-03-14,13.195313453674316
2001-03-15,12.71875
2001-03-16,11.8125
2001-03-19,12.9375
2001-03-20,13.65625
2001-03-21,13.632813453674316
2001-03-22,13.53125
2001-03-23,13.882813453674316
2001-03-26,13.96875
2001-03-27,13.53125
2001-03-28,12.804688453674316
2001-03-29,13.15625
2001-03-30,13.6875
2001-04-02,13.21875
2001-04-03,12.40625
2001-04-04,12.6875
2001-04-05,12.75
2001-04-06,12.59375
2001-04-09,12.114999771118164
2001-04-10,12.524999618530273
2001-04-11,12.149999618530273
2001-04-12,11.789999961853027
2001-04-16,12.074999809265137
