,ACWX
2008-04-01,51.36000061035156
2008-04-02,51.86000061035156
2008-04-03,52.31999969482422
2008-04-04,52.45000076293945
2008-04-07,52.709999084472656
2008-04-08,52.459999084472656
2008-04-09,52.279998779296875
2008-04-10,51.97999954223633
2008-04-11,51.47999954223633
2008-04-14,51.13999938964844
2008-04-15,51.650001525878906
2008-04-16,53.11000061035156
2008-04-17,53.04999923706055
2008-04-18,53.5099983215332
2008-04-21,53.95000076293945
2008-04-22,53.369998931884766
2008-04-23,53.65999984741211
2008-04-24,53.66999816894531
2008-04-25,53.54999923706055
2008-04-28,54.560001373291016
2008-04-29,53.61000061035156
2008-04-30,54.439998626708984
2008-05-01,53.84000015258789
2008-05-02,54.15999984741211
2008-05-05,54.599998474121094
2008-05-06,55.02000045776367
2008-05-07,54.150001525878906
2008-05-08,54.279998779296875
2008-05-09,54.2400016784668
2008-05-12,54.810001373291016
2008-05-13,54.70000076293945
2008-05-14,54.720001220703125
2008-05-15,55.459999084472656
2008-05-16,56.209999084472656
2008-05-19,56.400001525878906
2008-05-20,55.70000076293945
2008-05-21,55.09000015258789
2008-05-22,55.52000045776367
2008-05-23,54.959999084472656
2008-05-27,54.470001220703125
2008-05-28,54.459999084472656
2008-05-29,54.7599983215332
2008-05-30,54.869998931884766
2008-06-02,54.70000076293945
2008-06-03,54.33000183105469
2008-06-04,53.900001525878906
2008-06-05,54.709999084472656
2008-06-06,53.560001373291016
2008-06-09,53.099998474121094
2008-06-10,52.439998626708984
2008-06-11,51.810001373291016
2008-06-12,51.619998931884766
2008-06-13,52.0
2008-06-16,52.529998779296875
2008-06-17,52.83000183105469
2008-06-18,52.369998931884766
2008-06-19,52.130001068115234
2008-06-20,50.97999954223633
2008-06-23,50.93000030517578
2008-06-24,50.650001525878906
2008-06-25,51.25
2008-06-26,50.22999954223633
2008-06-27,50.33000183105469
2008-06-30,50.2400016784668
2008-07-01,49.65999984741211
2008-07-02,49.310001373291016
2008-07-03,49.25
2008-07-07,48.68000030517578
2008-07-08,49.38999938964844
2008-07-09,48.529998779296875
2008-07-10,48.560001373291016
2008-07-11,48.25
2008-07-14,48.34000015258789
2008-07-15,47.84000015258789
2008-07-16,47.95000076293945
2008-07-17,48.790000915527344
2008-07-18,48.81999969482422
2008-07-21,49.209999084472656
2008-07-22,49.27000045776367
2008-07-23,49.40999984741211
2008-07-24,48.439998626708984
2008-07-25,48.380001068115234
2008-07-28,47.90999984741211
2008-07-29,48.16999816894531
2008-07-30,48.630001068115234
2008-07-31,48.33000183105469
2008-08-01,47.689998626708984
2008-08-04,47.11000061035156
2008-08-05,47.619998931884766
2008-08-06,47.95000076293945
2008-08-07,47.130001068115234
2008-08-08,47.099998474121094
2008-08-11,47.02000045776367
2008-08-12,46.5
2008-08-13,46.2599983215332
2008-08-14,46.099998474121094
2008-08-15,45.720001220703125
2008-08-18,45.279998779296875
2008-08-19,44.72999954223633
2008-08-20,45.0
2008-08-21,45.529998779296875
2008-08-22,45.380001068115234
2008-08-25,44.66999816894531
2008-08-26,45.0099983215332
2008-08-27,45.5
2008-08-28,45.9900016784668
2008-08-29,45.95000076293945
2008-09-02,44.97999954223633
2008-09-03,44.709999084472656
2008-09-04,42.97999954223633
2008-09-05,42.72999954223633
2008-09-08,43.54999923706055
2008-09-09,41.81999969482422
2008-09-10,42.349998474121094
2008-09-11,41.63999938964844
2008-09-12,42.88999938964844
2008-09-15,40.83000183105469
2008-09-16,40.5
2008-09-17,39.11000061035156
2008-09-18,40.83000183105469
2008-09-19,43.59000015258789
2008-09-22,42.93000030517578
2008-09-23,42.040000915527344
2008-09-24,42.25
2008-09-25,43.06999969482422
2008-09-26,42.54999923706055
2008-09-29,38.099998474121094
2008-09-30,39.90999984741211
2008-10-01,39.689998626708984
2008-10-02,37.720001220703125
2008-10-03,37.38999938964844
2008-10-06,35.02000045776367
2008-10-07,33.189998626708984
2008-10-08,32.650001525878906
2008-10-09,30.420000076293945
2008-10-10,29.8799991607666
2008-10-13,34.38999938964844
2008-10-14,33.56999969482422
2008-10-15,29.90999984741211
2008-10-16,31.329999923706055
2008-10-17,31.040000915527344
2008-10-20,32.599998474121094
2008-10-21,30.8799991607666
2008-10-22,28.5
2008-10-23,28.299999237060547
2008-10-24,27.09000015258789
2008-10-27,25.540000915527344
2008-10-28,28.600000381469727
2008-10-29,29.260000228881836
2008-10-30,30.489999771118164
2008-10-31,30.729999542236328
2008-11-03,31.06999969482422
2008-11-04,33.040000915527344
2008-11-05,31.540000915527344
2008-11-06,29.329999923706055
2008-11-07,30.93000030517578
2008-11-10,30.610000610351562
2008-11-11,29.1200008392334
2008-11-12,27.579999923706055
2008-11-13,29.780000686645508
2008-11-14,27.860000610351562
2008-11-17,27.899999618530273
2008-11-18,27.549999237060547
2008-11-19,25.489999771118164
2008-11-20,24.1299991607666
2008-11-21,25.700000762939453
2008-11-24,27.690000534057617
2008-11-25,27.899999618530273
2008-11-26,28.59000015258789
2008-11-28,28.579999923706055
2008-12-01,26.5
2008-12-02,27.399999618530273
2008-12-03,27.670000076293945
2008-12-04,26.639999389648438
2008-12-05,27.239999771118164
2008-12-08,28.690000534057617
2008-12-09,28.459999084472656
2008-12-10,29.3799991607666
2008-12-11,29.350000381469727
2008-12-12,29.5
2008-12-15,29.479999542236328
2008-12-16,31.0
2008-12-17,30.90999984741211
2008-12-18,30.030000686645508
2008-12-19,29.6200008392334
2008-12-22,29.389999389648438
2008-12-23,29.0
2008-12-24,29.18000030517578
2008-12-26,29.489999771118164
2008-12-29,29.639999389648438
2008-12-30,30.350000381469727
2008-12-31,30.719999313354492
2009-01-02,31.209999084472656
2009-01-05,31.170000076293945
2009-01-06,31.56999969482422
2009-01-07,30.760000228881836
2009-01-08,31.010000228881836
2009-01-09,30.100000381469727
2009-01-12,29.200000762939453
2009-01-13,28.56999969482422
2009-01-14,27.40999984741211
2009-01-15,27.760000228881836
2009-01-16,27.809999465942383
2009-01-20,25.760000228881836
2009-01-21,27.1299991607666
2009-01-22,26.34000015258789
2009-01-23,26.209999084472656
2009-01-26,26.65999984741211
2009-01-27,27.329999923706055
2009-01-28,28.25
2009-01-29,26.959999084472656
2009-01-30,26.600000381469727
2009-02-02,26.43000030517578
2009-02-03,27.190000534057617
2009-02-04,27.06999969482422
2009-02-05,27.530000686645508
2009-02-06,28.309999465942383
2009-02-09,28.34000015258789
2009-02-10,26.829999923706055
2009-02-11,27.200000762939453
2009-02-12,27.020000457763672
2009-02-13,26.780000686645508
2009-02-17,25.280000686645508
2009-02-18,25.18000030517578
2009-02-19,25.100000381469727
2009-02-20,24.649999618530273
2009-02-23,23.84000015258789
2009-02-24,24.790000915527344
2009-02-25,24.260000228881836
2009-02-26,24.139999389648438
2009-02-27,24.040000915527344
2009-03-02,22.65999984741211
2009-03-03,22.670000076293945
2009-03-04,23.610000610351562
2009-03-05,22.690000534057617
2009-03-06,22.729999542236328
2009-03-09,22.229999542236328
2009-03-10,23.639999389648438
2009-03-11,23.829999923706055
2009-03-12,24.520000457763672
2009-03-13,24.760000228881836
2009-03-16,25.030000686645508
2009-03-17,25.639999389648438
2009-03-18,26.260000228881836
2009-03-19,26.239999771118164
2009-03-20,25.90999984741211
2009-03-23,27.829999923706055
2009-03-24,27.020000457763672
2009-03-25,27.3799991607666
2009-03-26,27.940000534057617
2009-03-27,26.979999542236328
2009-03-30,25.93000030517578
2009-03-31,26.549999237060547
2009-04-01,27.31999969482422
2009-04-02,28.549999237060547
2009-04-03,28.81999969482422
2009-04-06,28.389999389648438
2009-04-07,27.809999465942383
2009-04-08,28.030000686645508
2009-04-09,28.979999542236328
2009-04-13,29.270000457763672
2009-04-14,28.989999771118164
2009-04-15,29.149999618530273
2009-04-16,29.420000076293945
2009-04-17,29.469999313354492
2009-04-20,28.239999771118164
2009-04-21,28.809999465942383
2009-04-22,28.540000915527344
2009-04-23,29.299999237060547
2009-04-24,29.729999542236328
2009-04-27,29.25
2009-04-28,29.15999984741211
2009-04-29,29.920000076293945
2009-04-30,30.190000534057617
2009-05-01,30.530000686645508
2009-05-04,32.08000183105469
2009-05-05,31.809999465942383
2009-05-06,32.540000915527344
2009-05-07,31.959999084472656
2009-05-08,33.31999969482422
2009-05-11,32.4900016784668
2009-05-12,32.66999816894531
2009-05-13,31.510000228881836
2009-05-14,31.860000610351562
2009-05-15,31.549999237060547
2009-05-18,32.9900016784668
2009-05-19,33.16999816894531
2009-05-20,33.439998626708984
2009-05-21,33.04999923706055
2009-05-22,33.25
2009-05-26,33.83000183105469
2009-05-27,33.29999923706055
2009-05-28,33.849998474121094
2009-05-29,34.4900016784668
2009-06-01,35.41999816894531
2009-06-02,35.61000061035156
2009-06-03,34.470001220703125
2009-06-04,34.779998779296875
2009-06-05,34.33000183105469
2009-06-08,34.2400016784668
2009-06-09,34.66999816894531
2009-06-10,34.849998474121094
2009-06-11,35.470001220703125
2009-06-12,35.20000076293945
2009-06-15,33.90999984741211
2009-06-16,33.599998474121094
2009-06-17,33.52000045776367
2009-06-18,33.209999084472656
2009-06-19,33.72999954223633
2009-06-22,32.52000045776367
2009-06-23,32.220001220703125
2009-06-24,32.40999984741211
2009-06-25,33.290000915527344
