,CPZ
2019-11-26,19.979999542236328
2019-11-27,19.979999542236328
2019-11-29,20.0
2019-12-02,19.899999618530273
2019-12-03,19.950000762939453
2019-12-04,19.920000076293945
2019-12-05,19.959999084472656
2019-12-06,19.600000381469727
2019-12-09,19.864999771118164
2019-12-10,19.829999923706055
2019-12-11,19.899999618530273
2019-12-12,19.98900032043457
2019-12-13,19.972000122070312
2019-12-16,20.010000228881836
2019-12-17,20.0
2019-12-18,20.010000228881836
2019-12-19,20.020000457763672
2019-12-20,20.149999618530273
2019-12-23,20.09000015258789
2019-12-24,19.739999771118164
2019-12-26,19.610000610351562
2019-12-27,19.700000762939453
2019-12-30,19.808000564575195
2019-12-31,19.610000610351562
2020-01-02,19.69700050354004
2020-01-03,19.670000076293945
2020-01-06,19.75
2020-01-07,19.889999389648438
2020-01-08,19.84000015258789
2020-01-09,20.100000381469727
2020-01-10,19.989999771118164
2020-01-13,19.979999542236328
2020-01-14,19.979999542236328
2020-01-15,19.899999618530273
2020-01-16,19.950000762939453
2020-01-17,19.75
2020-01-21,19.709999084472656
2020-01-22,19.5
2020-01-23,19.350000381469727
2020-01-24,19.399999618530273
2020-01-27,19.399999618530273
2020-01-28,19.424999237060547
2020-01-29,19.399999618530273
2020-01-30,19.5
2020-01-31,19.540000915527344
2020-02-03,19.486000061035156
2020-02-04,19.600000381469727
2020-02-05,19.700000762939453
2020-02-06,19.40999984741211
2020-02-07,19.360000610351562
2020-02-10,19.280000686645508
2020-02-11,19.5
2020-02-12,19.483999252319336
2020-02-13,19.329999923706055
2020-02-14,19.395000457763672
2020-02-18,19.447999954223633
2020-02-19,19.34000015258789
2020-02-20,19.34000015258789
2020-02-21,18.969999313354492
2020-02-24,18.399999618530273
2020-02-25,17.969999313354492
2020-02-26,18.402000427246094
2020-02-27,18.201000213623047
2020-02-28,18.239999771118164
2020-03-02,17.84000015258789
2020-03-03,17.601999282836914
2020-03-04,18.09000015258789
2020-03-05,18.100000381469727
2020-03-06,17.979999542236328
2020-03-09,16.110000610351562
2020-03-10,16.260000228881836
2020-03-11,15.050000190734863
2020-03-12,14.039999961853027
2020-03-13,13.84000015258789
2020-03-16,11.239999771118164
2020-03-17,12.069999694824219
2020-03-18,9.640000343322754
2020-03-19,11.15999984741211
2020-03-20,10.90999984741211
2020-03-23,11.100000381469727
2020-03-24,11.824999809265137
2020-03-25,12.550000190734863
2020-03-26,13.510000228881836
2020-03-27,14.100000381469727
2020-03-30,14.380000114440918
2020-03-31,14.4399995803833
2020-04-01,13.5
2020-04-02,13.180000305175781
2020-04-03,12.859999656677246
2020-04-06,13.949999809265137
2020-04-07,13.890000343322754
2020-04-08,14.140000343322754
2020-04-09,15.539999961853027
2020-04-13,14.710000038146973
2020-04-14,14.890000343322754
2020-04-15,14.75
2020-04-16,14.15999984741211
2020-04-17,14.460000038146973
2020-04-20,14.5
2020-04-21,14.4399995803833
2020-04-22,14.890000343322754
2020-04-23,14.279999732971191
2020-04-24,14.220000267028809
2020-04-27,14.210000038146973
2020-04-28,14.25
2020-04-29,14.920000076293945
2020-04-30,15.229999542236328
2020-05-01,15.050000190734863
2020-05-04,15.0
2020-05-05,14.960000038146973
2020-05-06,14.779999732971191
2020-05-07,14.944999694824219
2020-05-08,14.979999542236328
2020-05-11,15.156999588012695
2020-05-12,14.880000114440918
2020-05-13,14.225000381469727
2020-05-14,13.960000038146973
2020-05-15,13.770000457763672
2020-05-18,14.260000228881836
2020-05-19,14.675000190734863
2020-05-20,14.760000228881836
2020-05-21,14.649999618530273
2020-05-22,14.805000305175781
2020-05-26,15.0
2020-05-27,15.09000015258789
2020-05-28,15.557999610900879
2020-05-29,15.654999732971191
2020-06-01,15.6899995803833
2020-06-02,15.609999656677246
2020-06-03,16.18000030517578
2020-06-04,16.280000686645508
2020-06-05,17.170000076293945
2020-06-08,17.700000762939453
2020-06-09,17.545000076293945
2020-06-10,17.260000228881836
2020-06-11,16.149999618530273
2020-06-12,16.479999542236328
2020-06-15,16.600000381469727
2020-06-16,17.030000686645508
2020-06-17,16.81999969482422
